algorithm, task, matrix_size, tile_size, mem_boundness, arithm_intensity, bmr, ilp, l3_cache_ratio
cholesky, potrf, 16384, 512, 0.283921, 0.002970, 0.003187, 2.605393, 0.078301
cholesky, trsm, 16384, 512, 0.337442, 0.001343, 0.002565, 2.389391, 1.294467
cholesky, syrk, 16384, 512, 0.320541, 0.006029, 0.004545, 2.612256, 2.344086
cholesky, gemm, 16384, 512, 0.227562, 0.003445, 0.002034, 3.017335, 23.512834
cholesky, potrf, 16384, 1024, 0.293426, 0.002392, 0.002609, 2.597479, 0.168616
cholesky, trsm, 16384, 1024, 0.314482, 0.001434, 0.002474, 2.524666, 1.799740
cholesky, syrk, 16384, 1024, 0.255636, 0.003776, 0.006840, 2.905679, 2.593576
cholesky, gemm, 16384, 1024, 0.197838, 0.002832, 0.007555, 3.155390, 16.916638
cholesky, potrf, 16384, 2048, 0.307771, 0.002016, 0.002256, 2.574248, 0.410081
cholesky, trsm, 16384, 2048, 0.281096, 0.002184, 0.002345, 2.709722, 3.832741
cholesky, syrk, 16384, 2048, 0.222237, 0.003297, 0.002739, 3.062284, 4.026216
cholesky, gemm, 16384, 2048, 0.182276, 0.003285, 0.001437, 3.232686, 15.462754
cholesky, potrf, 32768, 512, 0.288827, 0.003173, 0.003142, 2.585568, 0.167294
cholesky, trsm, 32768, 512, 0.337498, 0.001308, 0.002568, 2.390223, 5.124650
cholesky, syrk, 32768, 512, 0.322971, 0.006184, 0.004446, 2.602528, 9.772318
cholesky, gemm, 32768, 512, 0.228341, 0.003513, 0.002043, 3.014601, 201.413626
cholesky, potrf, 32768, 1024, 0.294731, 0.002583, 0.002624, 2.587235, 0.364150
cholesky, trsm, 32768, 1024, 0.313573, 0.001359, 0.002474, 2.527834, 7.047416
cholesky, syrk, 32768, 1024, 0.255839, 0.003861, 0.006935, 2.904895, 10.960794
cholesky, gemm, 32768, 1024, 0.197279, 0.002775, 0.007650, 3.157858, 146.849540
cholesky, potrf, 32768, 2048, 0.308652, 0.002060, 0.002281, 2.570173, 0.838061
cholesky, trsm, 32768, 2048, 0.280777, 0.002160, 0.002345, 2.711010, 16.242027
cholesky, syrk, 32768, 2048, 0.221866, 0.003298, 0.002767, 3.063925, 17.263912
cholesky, gemm, 32768, 2048, 0.181681, 0.003268, 0.001466, 3.235424, 153.832355
