algorithm,task,matrix_size,tile_size,frequency,mem_boundness,arithm_intensity,bmr,ilp,l3_cache_ratio,weight
cholesky,potrf,16384,512,2801000,0.236809,0.003324,0.002653,2.116933,0.077595,32
cholesky,trsm,16384,512,2801000,0.285530,0.001460,0.002192,2.010005,1.261534,496
cholesky,syrk,16384,512,2801000,0.326992,0.006136,0.005359,2.592636,2.332786,496
cholesky,gemm,16384,512,2801000,0.232650,0.003456,0.002380,3.004301,23.272466,4960
cholesky,potrf,16384,512,1200000,0.179602,0.003430,0.002654,2.279291,0.080056,32
cholesky,trsm,16384,512,1200000,0.264442,0.001531,0.002173,2.066921,1.322881,496
cholesky,syrk,16384,512,1200000,0.237547,0.006385,0.005407,2.938460,2.427200,496
cholesky,gemm,16384,512,1200000,0.187748,0.003519,0.002377,3.180866,23.692971,4960
cholesky,potrf,16384,1024,2801000,0.256251,0.002685,0.002174,2.210708,0.172271,16
cholesky,trsm,16384,1024,2801000,0.277073,0.001497,0.002121,2.214813,1.737903,120
cholesky,syrk,16384,1024,2801000,0.259015,0.003923,0.007360,2.896725,2.660503,120
cholesky,gemm,16384,1024,2801000,0.199128,0.002826,0.007751,3.153829,16.763777,560
cholesky,potrf,16384,1024,1200000,0.214886,0.002555,0.002237,2.332475,0.163969,16
cholesky,trsm,16384,1024,1200000,0.254754,0.001597,0.002117,2.273050,1.854120,120
cholesky,syrk,16384,1024,1200000,0.190433,0.003862,0.007311,3.166092,2.619473,120
cholesky,gemm,16384,1024,1200000,0.162794,0.002982,0.007638,3.298196,17.690162,560
cholesky,potrf,16384,2048,2801000,0.276537,0.002119,0.001991,2.318988,0.404327,8
cholesky,trsm,16384,2048,2801000,0.252378,0.002269,0.002031,2.479739,3.786648,28
cholesky,syrk,16384,2048,2801000,0.222671,0.003291,0.002988,3.062953,3.992819,28
cholesky,gemm,16384,2048,2801000,0.181779,0.003242,0.001447,3.236742,15.208510,56
cholesky,potrf,16384,2048,1200000,0.246056,0.002089,0.001987,2.418680,0.398612,8
cholesky,trsm,16384,2048,1200000,0.229677,0.002298,0.002023,2.555876,3.836109,28
cholesky,syrk,16384,2048,1200000,0.167858,0.003348,0.002945,3.284498,4.062445,28
cholesky,gemm,16384,2048,1200000,0.149119,0.003288,0.001447,3.371959,15.422004,56
cholesky,potrf,24576,512,2801000,0.237953,0.003405,0.002702,2.111433,0.119238,48
cholesky,trsm,24576,512,2801000,0.285802,0.001436,0.002174,2.010201,2.822301,1128
cholesky,syrk,24576,512,2801000,0.328992,0.006284,0.005328,2.584241,5.432695,1128
cholesky,gemm,24576,512,2801000,0.233253,0.003509,0.002392,3.001951,82.391412,17296
cholesky,potrf,24576,512,1200000,0.179779,0.003531,0.002660,2.278687,0.123627,48
cholesky,trsm,24576,512,1200000,0.264272,0.001488,0.002168,2.067499,2.924173,1128
cholesky,syrk,24576,512,1200000,0.237270,0.006402,0.005348,2.939728,5.534380,1128
cholesky,gemm,24576,512,1200000,0.187983,0.003559,0.002383,3.179891,83.580304,17296
cholesky,potrf,24576,1024,2801000,0.256352,0.002677,0.002207,2.211660,0.257647,24
cholesky,trsm,24576,1024,2801000,0.272754,0.001459,0.002112,2.220952,3.896550,276
cholesky,syrk,24576,1024,2801000,0.258461,0.003841,0.007393,2.899000,5.991681,276
cholesky,gemm,24576,1024,2801000,0.198318,0.002765,0.007745,3.157634,59.283677,2024
cholesky,potrf,24576,1024,1200000,0.219552,0.002676,0.002184,2.328183,0.257577,24
cholesky,trsm,24576,1024,1200000,0.254996,0.001616,0.002125,2.272585,4.317133,276
cholesky,syrk,24576,1024,1200000,0.190999,0.003958,0.007300,3.164004,6.174355,276
cholesky,gemm,24576,1024,1200000,0.162808,0.003032,0.007631,3.298291,65.001973,2024
cholesky,potrf,24576,2048,2801000,0.276935,0.002221,0.001991,2.317655,0.635611,12
cholesky,trsm,24576,2048,2801000,0.252929,0.002278,0.002017,2.478875,8.964817,66
cholesky,syrk,24576,2048,2801000,0.223083,0.003320,0.003139,3.060462,9.495159,66
cholesky,gemm,24576,2048,2801000,0.181940,0.003277,0.001697,3.235774,60.388631,220
cholesky,potrf,24576,2048,1200000,0.248645,0.002271,0.002015,2.415591,0.649840,12
cholesky,trsm,24576,2048,1200000,0.229555,0.002368,0.002045,2.555621,9.315673,66
cholesky,syrk,24576,2048,1200000,0.167776,0.003498,0.002962,3.284724,10.003331,66
cholesky,gemm,24576,2048,1200000,0.149286,0.003373,0.001471,3.370994,62.149930,220
cholesky,potrf,32768,512,2801000,0.238780,0.003450,0.002669,2.107949,0.161062,64
cholesky,trsm,32768,512,2801000,0.284974,0.001431,0.002163,2.011449,5.025725,2016
cholesky,syrk,32768,512,2801000,0.330612,0.006126,0.005493,2.577126,9.465479,2016
cholesky,gemm,32768,512,2801000,0.233780,0.003524,0.002358,3.000069,199.320475,41664
cholesky,potrf,32768,512,1200000,0.178981,0.003621,0.002709,2.278048,0.169063,64
cholesky,trsm,32768,512,1200000,0.263811,0.001435,0.002166,2.067921,5.040206,2016
cholesky,syrk,32768,512,1200000,0.236999,0.006423,0.005421,2.939528,9.924866,2016
cholesky,gemm,32768,512,1200000,0.187715,0.003521,0.002365,3.180676,199.178491,41664
cholesky,potrf,32768,1024,2801000,0.259096,0.002615,0.002179,2.210313,0.335549,32
cholesky,trsm,32768,1024,2801000,0.273060,0.001510,0.002111,2.219091,7.245397,496
cholesky,syrk,32768,1024,2801000,0.257879,0.003774,0.007384,2.901479,10.578825,496
cholesky,gemm,32768,1024,2801000,0.197783,0.002780,0.007757,3.159718,146.062219,4960
cholesky,potrf,32768,1024,1200000,0.216012,0.002682,0.002194,2.332601,0.344164,32
cholesky,trsm,32768,1024,1200000,0.254863,0.001624,0.002113,2.273657,7.792589,496
cholesky,syrk,32768,1024,1200000,0.190460,0.003910,0.007318,3.166219,10.961200,496
cholesky,gemm,32768,1024,1200000,0.162862,0.002998,0.007720,3.297941,157.540760,4960
cholesky,potrf,32768,2048,2801000,0.277435,0.002147,0.002014,2.316378,0.819282,16
cholesky,trsm,32768,2048,2801000,0.252420,0.002259,0.002032,2.479245,16.157283,120
cholesky,syrk,32768,2048,2801000,0.222793,0.003184,0.002955,3.063260,16.554350,120
cholesky,gemm,32768,2048,2801000,0.181803,0.003238,0.001452,3.237028,151.884802,560
cholesky,potrf,32768,2048,1200000,0.245723,0.002215,0.002013,2.419366,0.845166,16
cholesky,trsm,32768,2048,1200000,0.229599,0.002292,0.002027,2.556233,16.394266,120
cholesky,syrk,32768,2048,1200000,0.167693,0.003355,0.002973,3.284865,17.442836,120
cholesky,gemm,32768,2048,1200000,0.149029,0.003251,0.001460,3.372310,152.501215,560
