algorithm,task,matrix_size,tile_size,frequency,papi_l3_tcm,papi_tot_ins,papi_res_stl,papi_tot_cyc,papi_br_msp,weight,l3_cache_size
cholesky,potrf,8192,512,2801000,811207,269253729,29286538,126365584,89633,16,23068672
cholesky,trsm,8192,512,2801000,7086246,4822198307,680757284,2394732787,1132537,120,23068672
cholesky,syrk,8192,512,2801000,12182209,2121664205,255427163,806101182,179743,120,23068672
cholesky,gemm,8192,512,2801000,56446990,17538439362,1303384033,5788501967,350001,560,23068672
cholesky,potrf,8192,512,1200000,845225,269254219,21860090,118549493,93343,16,23068672
cholesky,trsm,8192,512,1200000,7296381,4822198444,617317133,2333362318,1154922,120,23068672
cholesky,syrk,8192,512,1200000,12303468,2121668235,170265248,720753743,174208,120,23068672
cholesky,gemm,8192,512,1200000,56271420,17538439231,1034793971,5519571328,352626,560,23068672
cholesky,potrf,8192,1024,2801000,1836311,740124847,84246076,333605684,170265,8,23068672
cholesky,trsm,8192,1024,2801000,8572876,6250333308,768271806,2814819838,1066925,28,23068672
cholesky,syrk,8192,1024,2801000,13131233,3650789346,323383097,1257948254,320065,28,23068672
cholesky,gemm,8192,1024,2801000,35791659,13685393530,866261089,4346478393,789188,56,23068672
cholesky,potrf,8192,1024,1200000,1782188,740124976,68267968,317431180,167728,8,23068672
cholesky,trsm,8192,1024,1200000,8960480,6250333691,702017629,2749419873,1068561,28,23068672
cholesky,syrk,8192,1024,1200000,12736011,3650787796,221229441,1154602393,319628,28,23068672
cholesky,gemm,8192,1024,1200000,36758725,13685393410,681067891,4156048179,785133,56,23068672
cholesky,potrf,8192,2048,2801000,4041140,2200775067,272418970,959991487,347797,4,23068672
cholesky,trsm,8192,2048,2801000,15933589,8251475097,840123197,3322443649,941476,6,23068672
cholesky,syrk,8192,2048,2801000,19473912,5997581683,458319494,1983777343,168265,6,23068672
cholesky,gemm,8192,2048,2801000,24266592,7729406530,468513476,2427954065,80139,4,23068672
cholesky,potrf,8192,2048,1200000,4082533,2200775029,224506635,911343151,341168,4,23068672
cholesky,trsm,8192,2048,1200000,16009890,8251475586,743975599,3231624600,924506,6,23068672
cholesky,syrk,8192,2048,1200000,19844429,5997581656,316530112,1837869893,171562,6,23068672
cholesky,gemm,8192,2048,1200000,25400145,7729406847,353420309,2306898059,79941,4,23068672
cholesky,potrf,12288,512,2801000,1256794,403872857,44740045,190489312,134143,24,23068672
cholesky,trsm,12288,512,2801000,16431713,11091054925,1574572563,5513365453,2565202,276,23068672
cholesky,syrk,12288,512,2801000,29676877,4879837466,613752068,1880397088,409131,276,23068672
cholesky,gemm,12288,512,2801000,216904766,63388904398,4896698139,21103780991,1272868,2024,23068672
cholesky,potrf,12288,512,1200000,1383783,403873087,31731880,177363779,141964,24,23068672
cholesky,trsm,12288,512,1200000,16827565,11091056274,1450943301,5379863592,2612341,276,23068672
cholesky,syrk,12288,512,1200000,30387323,4879838538,393826119,1659298539,399979,276,23068672
cholesky,gemm,12288,512,1200000,219970857,63388930159,3738329919,19938787509,1298065,2024,23068672
cholesky,potrf,12288,1024,2801000,2804259,1110179045,127335533,501189520,252834,12,23068672
cholesky,trsm,12288,1024,2801000,21912633,14732927817,1814932032,6638547688,2512734,66,23068672
cholesky,syrk,12288,1024,2801000,32323865,8605431465,779994753,2981687147,747171,66,23068672
cholesky,gemm,12288,1024,2801000,148639380,53764040131,3443666609,17107723688,3097928,220,23068672
cholesky,potrf,12288,1024,1200000,2878981,1110179252,102330667,476133036,252654,12,23068672
cholesky,trsm,12288,1024,1200000,22899010,14732928934,1651591879,6480161194,2528051,66,23068672
cholesky,syrk,12288,1024,1200000,33249577,8605431805,521442994,2721241587,746377,66,23068672
cholesky,gemm,12288,1024,1200000,158033479,53764046604,2671089761,16324848229,3097481,220,23068672
cholesky,potrf,12288,2048,2801000,6912724,3301153754,393436236,1423832472,515357,6,23068672
cholesky,trsm,12288,2048,2801000,43789068,20628687675,2097376902,8309105511,2306173,15,23068672
cholesky,syrk,12288,2048,2801000,50815786,14993953939,1119961256,4927330503,430882,15,23068672
cholesky,gemm,12288,2048,2801000,128532819,38647029706,2236028413,12015435322,398137,20,23068672
cholesky,potrf,12288,2048,1200000,7053847,3301153561,336124249,1365717616,512196,6,23068672
cholesky,trsm,12288,2048,1200000,45294246,20628688797,1856213899,8071963901,2312416,15,23068672
cholesky,syrk,12288,2048,1200000,51923540,14993954578,776389937,4576143761,423194,15,23068672
cholesky,gemm,12288,2048,1200000,131142641,38647031184,1741314990,11497658309,400129,20,23068672
cholesky,potrf,16384,512,2801000,1775121,538492015,61664316,255264196,184807,32,23068672
cholesky,trsm,16384,512,2801000,29745126,19931751784,2836095661,9921690313,4789761,496,23068672
cholesky,syrk,16384,512,2801000,54501523,8769555173,1122026527,3398200335,715392,496,23068672
cholesky,gemm,16384,512,2801000,544897066,155340450840,12126552488,51842170574,3110539,4960,23068672
