algorithm, task, matrix_size, tile_size, mem_boundness, arithm_intensity, bmr, ilp, l3_cache_ratio
cholesky,potrf,32768,512,0.288396,0.003186,inf,2.587977,0.167995
cholesky,trsm,32768,512,0.336502,0.001275,inf,2.393117,4.997158
cholesky,syrk,32768,512,0.322028,0.006031,inf,2.606293,9.530725
cholesky,gemm,32768,512,0.227295,0.003428,inf,3.015860,196.561730
cholesky,potrf,32768,1024,0.295432,0.002520,inf,2.582915,0.355276
cholesky,trsm,32768,1024,0.313271,0.001318,inf,2.527853,6.837185
cholesky,syrk,32768,1024,0.256094,0.003835,inf,2.904195,10.887217
cholesky,gemm,32768,1024,0.196247,0.002706,inf,3.159807,143.212710
cholesky,potrf,32768,2048,0.308139,0.002007,inf,2.571185,0.816598
cholesky,trsm,32768,2048,0.280284,0.002136,inf,2.710558,16.064140
cholesky,syrk,32768,2048,0.221739,0.003212,inf,3.063166,16.809471
cholesky,gemm,32768,2048,0.181004,0.003219,inf,3.235389,151.517916
