algorithm, task, matrix_size, tile_size, mem_boundness, arithm_intensity, bmr, ilp, l3_cache_ratio
cholesky,potrf,16384,512,0.226568,0.003113,inf,2.822964,0.082071
cholesky,trsm,16384,512,0.319524,0.001314,inf,2.451007,1.266603
cholesky,syrk,16384,512,0.237911,0.006003,inf,2.929998,2.333890
cholesky,gemm,16384,512,0.188785,0.003347,inf,3.169806,22.845090
cholesky,potrf,16384,1024,0.252320,0.002496,inf,2.748026,0.175881
cholesky,trsm,16384,1024,0.295308,0.001329,inf,2.592432,1.667449
cholesky,syrk,16384,1024,0.192382,0.003772,inf,3.152918,2.590656
cholesky,gemm,16384,1024,0.163464,0.002701,inf,3.288596,16.133993
cholesky,potrf,16384,2048,0.276656,0.001928,inf,2.692691,0.392234
cholesky,trsm,16384,2048,0.257933,0.002170,inf,2.796623,3.806799
cholesky,syrk,16384,2048,0.168269,0.003269,inf,3.277917,3.992663
cholesky,gemm,16384,2048,0.149290,0.003248,inf,3.365974,15.292438
