algorithm,task,matrix_size,tile_size,mem_boundness,arithm_intensity,bmr,ilp,l3_cache_ratio
cholesky,potrf,32768,512,0.227925,0.003277,inf,2.817062,0.172797
cholesky,trsm,32768,512,0.319372,0.001296,inf,2.450141,5.077766
cholesky,syrk,32768,512,0.239571,0.006125,inf,2.924529,9.680119
cholesky,gemm,32768,512,0.188773,0.003419,inf,3.166905,196.064798
cholesky,potrf,32768,1024,0.255004,0.002557,inf,2.735533,0.360432
cholesky,trsm,32768,1024,0.295255,0.001474,inf,2.591987,7.644591
cholesky,syrk,32768,1024,0.192641,0.003911,inf,3.151644,11.101449
cholesky,gemm,32768,1024,0.163213,0.002981,inf,3.289248,157.736625
cholesky,potrf,32768,2048,0.277830,0.002076,inf,2.687421,0.844398
cholesky,trsm,32768,2048,0.258092,0.002167,inf,2.795891,16.294927
cholesky,syrk,32768,2048,0.168008,0.003335,inf,3.278832,17.454015
cholesky,gemm,32768,2048,0.149349,0.003247,inf,3.365241,152.866655
