algorithm, matrix_size, tile_size, case, PKG1, PKG2, DRAM1, DRAM2, time
cholesky, 16384, 512, 1, 271454566, 238803954, 49825980, 18775992, 2.216250
cholesky, 16384, 512, 2, 276737512, 243034901, 50706372, 19157130, 2.257660
cholesky, 16384, 512, 3, 228102382, 197418196, 53602051, 19068895, 2.371370
cholesky, 16384, 512, 4, 231001789, 200844457, 54622515, 19081639, 2.424820
cholesky, 16384, 512, 5, 267645555, 236393438, 50965845, 18609879, 2.271210
cholesky, 16384, 512, 6, 241445732, 255361834, 23017258, 41899463, 2.255680
cholesky, 16384, 512, 7, 223361671, 194244193, 53839369, 19177448, 2.403670
cholesky, 16384, 512, 8, 224031043, 194415274, 54081109, 19163633, 2.413590
cholesky, 16384, 512, 9, 268940107, 238502014, 50388622, 18607232, 2.244800
cholesky, 16384, 512, 10, 270548136, 238260071, 50499471, 18845286, 2.255360
cholesky, 16384, 512, 11, 227275663, 196955184, 54450069, 19235267, 2.416460
cholesky, 16384, 512, 12, 224667271, 195145191, 53547292, 19243911, 2.377310
cholesky, 16384, 512, 13, 236102972, 251584806, 22972782, 41592163, 2.240800
cholesky, 16384, 512, 14, 263962520, 230703999, 50669790, 18497945, 2.266900
cholesky, 16384, 512, 15, 226197663, 195736193, 55310663, 19079651, 2.465850
cholesky, 16384, 512, 16, 221040266, 190911560, 53580355, 19086291, 2.401850 
cholesky, 16384, 1024, 1, 243474658, 218598257, 44061108, 19756110, 1.961260
cholesky, 16384, 1024, 2, 249284640, 222798502, 45089070, 19703509, 2.008980
cholesky, 16384, 1024, 3, 195012501, 178498445, 44803832, 19338634, 1.979260
cholesky, 16384, 1024, 4, 194898305, 178863556, 44539172, 19774317, 1.978690
cholesky, 16384, 1024, 5, 233670300, 212056403, 44856264, 19473396, 2.010380
cholesky, 16384, 1024, 6, 232414200, 211294442, 44189353, 19561646, 1.995090
cholesky, 16384, 1024, 7, 196954757, 175211893, 46129255, 20629557, 2.061030
cholesky, 16384, 1024, 8, 195598193, 175378335, 46258953, 20067251, 2.073070
cholesky, 16384, 1024, 9, 229059961, 208038286, 42531827, 19653217, 1.895190
cholesky, 16384, 1024, 10, 229163537, 208228226, 42217841, 19682303, 1.887020
cholesky, 16384, 1024, 11, 204337673, 178175447, 47142681, 19909722, 2.090740
cholesky, 16384, 1024, 12, 196355210, 176080604, 45586871, 21037821, 2.026450
cholesky, 16384, 1024, 13, 225493990, 201828219, 43689272, 20148264, 1.957250
cholesky, 16384, 1024, 14, 213685244, 221649457, 24465389, 36625293, 1.994450
cholesky, 16384, 1024, 15, 192549007, 171025258, 46061782, 20404937, 2.063470
cholesky, 16384, 1024, 16, 192740717, 171848437, 46108508, 21071466, 2.070990
cholesky, 16384, 2048, 1, 236758671, 222469767, 40505373, 19097185, 1.830740
cholesky, 16384, 2048, 2, 251981288, 229797385, 43253269, 19301639, 1.979760
cholesky, 16384, 2048, 3, 215957882, 194332388, 45159067, 19242947, 2.033470
cholesky, 16384, 2048, 4, 217822196, 192110714, 44590274, 20202778, 2.049720
cholesky, 16384, 2048, 5, 243921983, 224143347, 43596402, 19679733, 2.030550
cholesky, 16384, 2048, 6, 247830115, 225276462, 44399009, 20170097, 2.094450
cholesky, 16384, 2048, 7, 209120436, 190093385, 45004262, 19792860, 2.099530
cholesky, 16384, 2048, 8, 211432503, 193487542, 45682985, 21201516, 2.171230
cholesky, 16384, 2048, 9, 231364887, 215923580, 41578744, 18569335, 1.887640
cholesky, 16384, 2048, 10, 239208555, 224877293, 43578990, 19501365, 1.995140
cholesky, 16384, 2048, 11, 193999687, 192588862, 24539302, 36141598, 1.994270
cholesky, 16384, 2048, 12, 204987024, 188617376, 44666774, 20445956, 2.055880
cholesky, 16384, 2048, 13, 229045312, 214192078, 42909294, 20282461, 2.015200
cholesky, 16384, 2048, 14, 247596839, 223262856, 46677286, 19892892, 2.206240
cholesky, 16384, 2048, 15, 201147190, 188841558, 45943345, 19307897, 2.159990
cholesky, 16384, 2048, 16, 202465851, 184023943, 45587850, 21152969, 2.169570
