algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,24576,512,1,899269793,845093722,140028216,70378102,7.093310
cholesky,24576,512,2,895146329,841728985,139549755,69774395,7.075960
cholesky,24576,512,3,733876905,655898284,151185818,73965341,7.672300
cholesky,24576,512,4,682561424,737862124,71719806,160968791,7.815340
cholesky,24576,512,5,837517387,784954961,133210123,66984701,6.787710
cholesky,24576,512,6,852827041,795987403,135734394,68001385,6.916550
cholesky,24576,512,7,731743305,651767496,154110489,74102046,7.833660
cholesky,24576,512,8,731083578,651039349,153672971,73808608,7.831230
cholesky,24576,512,9,893510835,839577136,141415880,69932750,7.162830
cholesky,24576,512,10,898569294,844076391,142888291,69954140,7.236410
cholesky,24576,512,11,737667301,658183679,153716330,73922990,7.799890
cholesky,24576,512,12,716499142,639172009,147052523,74025500,7.511120
cholesky,24576,512,13,855668952,809877016,138784662,68198817,7.085650
cholesky,24576,512,14,856344121,809020695,138807261,68027289,7.097690
cholesky,24576,512,15,738633363,653915013,156422044,75412659,7.968170
cholesky,24576,512,16,729860437,646385003,154066624,73227605,7.867650
cholesky,24576,1024,1,812056637,762473817,125922672,75305697,6.353720
cholesky,24576,1024,2,815701892,768870224,126102110,76037573,6.379240
cholesky,24576,1024,3,614035781,573404355,123757294,76752894,6.249430
cholesky,24576,1024,4,610718591,648825976,78053317,137400043,6.655760
cholesky,24576,1024,5,768292406,725292882,124148790,74620227,6.289020
cholesky,24576,1024,6,800364040,745814436,129042357,74150716,6.541540
cholesky,24576,1024,7,636434101,575319145,132088220,79171150,6.713020
cholesky,24576,1024,8,628832191,571363162,129715511,77877780,6.599690
cholesky,24576,1024,9,794255962,743580677,126490823,75096929,6.394650
cholesky,24576,1024,10,741582391,812087215,72995535,132104040,6.419220
cholesky,24576,1024,11,645186154,587971029,132607242,77717880,6.692950
cholesky,24576,1024,12,648240223,583673859,131667485,76903737,6.674040
cholesky,24576,1024,13,768035509,716423215,125884774,74160738,6.391450
cholesky,24576,1024,14,781014052,739498290,129152931,72345239,6.565770
cholesky,24576,1024,15,629012062,568909737,132664097,78856384,6.742950
cholesky,24576,1024,16,635983540,570069036,133372013,79284294,6.810090
cholesky,24576,2048,1,757782301,739122497,116965318,68631225,5.890820
cholesky,24576,2048,2,787703367,764304440,121784007,68979301,6.164740
cholesky,24576,2048,3,622863335,595256716,121081415,73247633,6.114720
cholesky,24576,2048,4,655675445,606875522,125647899,72218112,6.393640
cholesky,24576,2048,5,757189590,729385035,121965572,69221040,6.222990
cholesky,24576,2048,6,754807821,720809434,120374035,71397695,6.181150
cholesky,24576,2048,7,602155746,567943248,121470280,75351352,6.226320
cholesky,24576,2048,8,608026764,571038027,122716848,74170422,6.302460
cholesky,24576,2048,9,757846327,723439127,120115465,66599232,6.061200
cholesky,24576,2048,10,747484964,727170013,118513540,70892213,6.036340
cholesky,24576,2048,11,624426685,565128925,123674306,70148342,6.266090
cholesky,24576,2048,12,612574665,583205355,122800906,73952442,6.270460
cholesky,24576,2048,13,723140787,682294457,119973236,69198626,6.118320
cholesky,24576,2048,14,743673572,682174889,120981215,69914528,6.213960
cholesky,24576,2048,15,607006808,554523239,125938186,74230964,6.482200
cholesky,24576,2048,16,595416139,545052315,122936678,73289203,6.315400
