algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,32768,512,1,2034076844.3333333,1792876859.6666667,360219976.6666667,136599690.0,16.1228
cholesky,32768,512,2,2039417529.0,1794774702.3333333,359549326.6666667,139060669.66666666,16.124833333333335
cholesky,32768,512,3,1711230198.0,1474224884.0,401317597.6666667,138644188.66666666,17.9719
cholesky,32768,512,4,1706326869.6666667,1471195106.3333333,399624749.3333333,137135511.66666666,17.908833333333334
cholesky,32768,512,5,2008690598.0,1764027344.3333333,361655330.6666667,134455634.66666666,16.225633333333334
cholesky,32768,512,6,2034649678.6666667,1791661734.3333333,367110581.3333333,134987738.66666666,16.455333333333332
cholesky,32768,512,7,1706144293.3333333,1471135780.3333333,406836496.6666667,137444250.33333334,18.236933333333333
cholesky,32768,512,8,1648698985.6666667,1520003555.3333333,328476424.0,203739436.0,18.197766666666666
cholesky,32768,512,9,2075732255.0,1814583285.6666667,370061712.3333333,138469922.0,16.576266666666665
cholesky,32768,512,10,1989249770.0,1860382749.6666667,300799494.3333333,191984568.0,16.336100000000002
cholesky,32768,512,11,1712889210.3333333,1478289469.3333333,401702515.0,136855231.0,17.974666666666668
cholesky,32768,512,12,1657888659.6666667,1520645277.0,328471518.0,200346594.66666666,18.050833333333333
cholesky,32768,512,13,1990326427.3333333,1757110573.3333333,359102419.0,133570382.0,16.114733333333334
cholesky,32768,512,14,1995166787.6666667,1752258453.6666667,359146355.3333333,132132733.0,16.135166666666667
cholesky,32768,512,15,1702244177.6666667,1470956989.3333333,405565514.6666667,139224013.0,18.19803333333333
cholesky,32768,512,16,1643937645.3333333,1517777385.0,328845975.0,204326578.66666666,18.167333333333332
cholesky,32768,1024,1,1883600341.3333333,1657087656.3333333,332438119.3333333,152653577.33333334,14.848533333333334
cholesky,32768,1024,2,1885919854.3333333,1658371792.3333333,331619691.6666667,153339247.0,14.8266
cholesky,32768,1024,3,1499843959.0,1321145665.6666667,346495621.6666667,156989893.66666666,15.471433333333332
cholesky,32768,1024,4,1509072288.3333333,1323988737.0,348206371.0,159032718.66666666,15.579366666666667
cholesky,32768,1024,5,1800488066.3333333,1677313129.0,283541334.3333333,194031616.66666666,14.933966666666668
cholesky,32768,1024,6,1849379583.6666667,1631767042.6666667,334479277.6666667,152811922.33333334,14.987533333333333
cholesky,32768,1024,7,1483629909.3333333,1302108889.3333333,349633141.6666667,158692385.0,15.6924
cholesky,32768,1024,8,1487485612.6666667,1304450965.6666667,350062664.0,159217986.33333334,15.727566666666666
cholesky,32768,1024,9,1858241479.0,1639047378.6666667,331818938.6666667,152978069.66666666,14.844666666666667
cholesky,32768,1024,10,1866421695.0,1649516183.3333333,332088208.3333333,152804400.0,14.8641
cholesky,32768,1024,11,1493486492.3333333,1316754706.0,347886733.3333333,157601862.33333334,15.576133333333333
cholesky,32768,1024,12,1491841640.3333333,1313438959.6666667,347867894.0,157652689.66666666,15.5717
cholesky,32768,1024,13,1828516783.0,1610551012.0,333944048.0,152541632.66666666,14.972333333333333
cholesky,32768,1024,14,1826480533.6666667,1607548558.3333333,333531223.0,153055222.66666666,14.9726
cholesky,32768,1024,15,1438698913.0,1334673483.3333333,297344244.3333333,202790331.33333334,15.799266666666668
cholesky,32768,1024,16,1480960767.3333333,1297020727.6666667,352336448.0,159847846.33333334,15.836166666666665
cholesky,32768,2048,1,1728046764.3333333,1681535185.3333333,216695506.0,220982668.66666666,13.869066666666667
cholesky,32768,2048,2,1735541923.6666667,1700358643.6666667,213704315.33333334,223208905.0,13.997433333333333
cholesky,32768,2048,3,1418136140.0,1307678516.3333333,274998767.6666667,178195611.33333334,14.239666666666666
cholesky,32768,2048,4,1393262017.6666667,1334336651.6666667,224892246.66666666,222013230.66666666,14.248233333333332
cholesky,32768,2048,5,1663992892.0,1652335796.6666667,219337694.0,221236883.0,14.1006
cholesky,32768,2048,6,1673289926.3333333,1658508754.3333333,214368386.66666666,225414272.33333334,14.195033333333333
cholesky,32768,2048,7,1360125037.6666667,1332961492.6666667,223634637.66666666,229001928.66666666,14.645033333333332
cholesky,32768,2048,8,1346581391.3333333,1316500536.0,219928473.0,226558794.33333334,14.5205
cholesky,32768,2048,9,1669002685.3333333,1628716330.0,213198110.33333334,219915768.66666666,13.711833333333333
cholesky,32768,2048,10,1692530680.6666667,1655986340.6666667,218714112.33333334,220738919.0,13.9745
cholesky,32768,2048,11,1336339820.0,1365875084.0,170127524.0,272263061.3333333,14.576333333333332
cholesky,32768,2048,12,1348577500.3333333,1322390413.6666667,220794249.0,227751128.33333334,14.3332
cholesky,32768,2048,13,1603826643.6666667,1655572605.0,170077625.33333334,266066347.0,14.273533333333333
cholesky,32768,2048,14,1600748323.3333333,1636089134.6666667,170369677.33333334,263325974.33333334,14.1603
cholesky,32768,2048,15,1284498847.6666667,1308424303.0,176616947.66666666,267170650.33333334,14.411566666666667
cholesky,32768,2048,16,1312938167.3333333,1288362363.0,223966688.66666666,226747168.0,14.498866666666666
