algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time,arithm_intensity_task1,arithm_intensity_task2,arithm_intensity_task3,arithm_intensity_task4,bmr_task1,bmr_task2,bmr_task3,bmr_task4,ilp_task1,ilp_task2,ilp_task3,ilp_task4,l3_cache_ratio_task1,l3_cache_ratio_task2,l3_cache_ratio_task3,l3_cache_ratio_task4,mem_boundness_task1,mem_boundness_task2,mem_boundness_task3,mem_boundness_task4
cholesky,16384,512,1,272750949.6666667,240524611.66666663,50545136.0,18907821.666666668,2.2471366666666666,0.00297,0.001343,0.006029,0.003445,0.003187,0.002565,0.004545,0.002034,2.605393,2.389391,2.612256,3.017335,0.078301,1.294467,2.344086,23.512834,0.283921,0.337442,0.320541,0.227562
cholesky,16384,512,2,275242195.0,242448964.66666663,50851222.333333336,19154427.0,2.2636566666666664,0.00297,0.001343,0.006029,0.003445,0.003187,0.002565,0.004545,0.002034,2.605393,2.389391,2.612256,3.017335,0.078301,1.294467,2.344086,23.512834,0.283921,0.337442,0.320541,0.227562
cholesky,16384,512,3,227737698.0,197411563.66666663,53843500.0,18880475.666666668,2.3841,0.00297,0.001343,0.006029,0.003445,0.003187,0.002565,0.004545,0.002034,2.605393,2.389391,2.612256,3.017335,0.078301,1.294467,2.344086,23.512834,0.283921,0.337442,0.320541,0.227562
cholesky,16384,512,4,228527287.66666663,198279827.0,54203131.66666666,18936498.33333333,2.40435,0.00297,0.001343,0.006029,0.003445,0.003187,0.002565,0.004545,0.002034,2.605393,2.389391,2.612256,3.017335,0.078301,1.294467,2.344086,23.512834,0.283921,0.337442,0.320541,0.227562
cholesky,16384,512,5,258990690.3333333,242542714.0,41767964.333333336,26407392.0,2.2760933333333333,0.00297,0.001343,0.006029,0.003445,0.003187,0.002565,0.004545,0.002034,2.605393,2.389391,2.612256,3.017335,0.078301,1.294467,2.344086,23.512834,0.283921,0.337442,0.320541,0.227562
cholesky,16384,512,6,256783461.3333333,240666010.0,41464055.333333336,26370850.666666668,2.26226,0.00297,0.001343,0.006029,0.003445,0.003187,0.002565,0.004545,0.002034,2.605393,2.389391,2.612256,3.017335,0.078301,1.294467,2.344086,23.512834,0.283921,0.337442,0.320541,0.227562
cholesky,16384,512,7,223017637.66666663,193403395.0,53868933.66666666,19059393.33333333,2.4023566666666665,0.00297,0.001343,0.006029,0.003445,0.003187,0.002565,0.004545,0.002034,2.605393,2.389391,2.612256,3.017335,0.078301,1.294467,2.344086,23.512834,0.283921,0.337442,0.320541,0.227562
cholesky,16384,512,8,224093176.3333333,194531322.0,54516812.0,19198517.0,2.4304366666666666,0.00297,0.001343,0.006029,0.003445,0.003187,0.002565,0.004545,0.002034,2.605393,2.389391,2.612256,3.017335,0.078301,1.294467,2.344086,23.512834,0.283921,0.337442,0.320541,0.227562
cholesky,16384,512,9,267952642.66666663,236121527.0,50343461.66666666,18708880.666666668,2.241,0.00297,0.001343,0.006029,0.003445,0.003187,0.002565,0.004545,0.002034,2.605393,2.389391,2.612256,3.017335,0.078301,1.294467,2.344086,23.512834,0.283921,0.337442,0.320541,0.227562
cholesky,16384,512,10,270815876.3333333,238058513.3333333,50753160.0,18758065.666666668,2.26065,0.00297,0.001343,0.006029,0.003445,0.003187,0.002565,0.004545,0.002034,2.605393,2.389391,2.612256,3.017335,0.078301,1.294467,2.344086,23.512834,0.283921,0.337442,0.320541,0.227562
