algorithm,task,matrix_size,tile_size,frequency,mem_boundness,arithm_intensity,bmr,ilp,l3_cache_ratio,weight
cholesky,potrf,16384,512,2801000,0.235296,0.003322,0.002610,2.117876,0.077538,32
cholesky,trsm,16384,512,2801000,0.287099,0.001495,0.002169,2.008554,1.291772,496
cholesky,syrk,16384,512,2801000,0.329135,0.006308,0.005404,2.583269,2.398152,496
cholesky,gemm,16384,512,2801000,0.232642,0.003485,0.002382,3.004125,23.468569,4960
cholesky,potrf,16384,512,1200000,0.178945,0.003460,0.002681,2.278765,0.080776,32
cholesky,trsm,16384,512,1200000,0.270808,0.001520,0.002196,2.059655,1.313032,496
cholesky,syrk,16384,512,1200000,0.237617,0.006401,0.005502,2.937832,2.433371,496
cholesky,gemm,16384,512,1200000,0.187754,0.003501,0.002376,3.180791,23.574227,4960
cholesky,potrf,16384,1024,2801000,0.254106,0.002676,0.002180,2.215808,0.171707,16
cholesky,trsm,16384,1024,2801000,0.272779,0.001459,0.002112,2.220305,1.693847,120
cholesky,syrk,16384,1024,2801000,0.258353,0.003806,0.007405,2.899247,2.581413,120
cholesky,gemm,16384,1024,2801000,0.198462,0.002746,0.007762,3.156701,16.291322,560
cholesky,potrf,16384,1024,1200000,0.215561,0.002669,0.002177,2.331568,0.171266,16
cholesky,trsm,16384,1024,1200000,0.254976,0.001620,0.002114,2.273002,1.880879,120
cholesky,syrk,16384,1024,1200000,0.190813,0.003931,0.007326,3.164751,2.666036,120
cholesky,gemm,16384,1024,1200000,0.162859,0.003005,0.007672,3.298021,17.829420,560
cholesky,potrf,16384,2048,2801000,0.276447,0.002117,0.001971,2.318136,0.403986,8
cholesky,trsm,16384,2048,2801000,0.254967,0.002268,0.002021,2.476184,3.785683,28
cholesky,syrk,16384,2048,2801000,0.223099,0.003347,0.003115,3.060437,4.061426,28
cholesky,gemm,16384,2048,2801000,0.181585,0.003251,0.001694,3.236997,15.251794,56
cholesky,potrf,16384,2048,1200000,0.248261,0.002116,0.001992,2.415968,0.403805,8
cholesky,trsm,16384,2048,1200000,0.229697,0.002290,0.002024,2.555813,3.821934,28
cholesky,syrk,16384,2048,1200000,0.167611,0.003374,0.002957,3.285031,4.093349,28
cholesky,gemm,16384,2048,1200000,0.149248,0.003293,0.001459,3.371388,15.447319,56
cholesky,potrf,24576,512,2801000,0.244223,0.003448,0.002645,2.105270,0.120719,48
cholesky,trsm,24576,512,2801000,0.285397,0.001466,0.002161,2.010476,2.880202,1128
cholesky,syrk,24576,512,2801000,0.329037,0.006330,0.005489,2.584083,5.472781,1128
cholesky,gemm,24576,512,2801000,0.233473,0.003528,0.002344,3.001095,82.841026,17296
cholesky,potrf,24576,512,1200000,0.179188,0.003575,0.003155,2.271732,0.125178,48
cholesky,trsm,24576,512,1200000,0.263859,0.001486,0.002843,2.060629,2.920715,1128
cholesky,syrk,24576,512,1200000,0.237192,0.006317,0.005296,2.940113,5.460861,1128
cholesky,gemm,24576,512,1200000,0.188071,0.003558,0.002330,3.179768,83.546847,17296
cholesky,potrf,24576,1024,2801000,0.256306,0.002762,0.002190,2.210204,0.265816,24
cholesky,trsm,24576,1024,2801000,0.272507,0.001468,0.002111,2.220896,3.919779,276
cholesky,syrk,24576,1024,2801000,0.258554,0.003939,0.007417,2.898594,6.144951,276
cholesky,gemm,24576,1024,2801000,0.198180,0.002811,0.007747,3.158071,60.277269,2024
cholesky,potrf,24576,1024,1200000,0.216030,0.002879,0.002186,2.331184,0.277122,24
cholesky,trsm,24576,1024,1200000,0.254646,0.001546,0.002119,2.273821,4.128580,276
cholesky,syrk,24576,1024,1200000,0.191082,0.004045,0.007384,3.163579,6.310450,276
cholesky,gemm,24576,1024,1200000,0.162943,0.002933,0.007732,3.297613,62.882913,2024
cholesky,potrf,24576,2048,2801000,0.278046,0.002192,0.001996,2.314640,0.627243,12
cholesky,trsm,24576,2048,2801000,0.256061,0.002300,0.002022,2.474446,9.050084,66
cholesky,syrk,24576,2048,2801000,0.223605,0.003356,0.002960,3.058696,9.597078,66
cholesky,gemm,24576,2048,2801000,0.181524,0.003279,0.001459,3.237471,60.420449,220
cholesky,potrf,24576,2048,1200000,0.245772,0.002203,0.002006,2.419732,0.630554,12
cholesky,trsm,24576,2048,1200000,0.229659,0.002279,0.002023,2.556190,8.965597,66
cholesky,syrk,24576,2048,1200000,0.167482,0.003366,0.002955,3.285727,9.627015,66
cholesky,gemm,24576,2048,1200000,0.149027,0.003290,0.001468,3.372401,60.634703,220
cholesky,potrf,32768,512,2801000,0.238989,0.003489,0.002612,2.108741,0.162908,64
cholesky,trsm,32768,512,2801000,0.284934,0.001447,0.002161,2.011235,5.081318,2016
cholesky,syrk,32768,512,2801000,0.327677,0.006158,0.005432,2.589832,9.514332,2016
cholesky,gemm,32768,512,2801000,0.233715,0.003522,0.002399,3.000334,199.192694,41664
cholesky,potrf,32768,512,1200000,0.179431,0.003618,0.003247,2.270376,0.168900,64
cholesky,trsm,32768,512,1200000,0.264147,0.001462,0.002284,2.066386,5.133932,2016
cholesky,syrk,32768,512,1200000,0.237148,0.006359,0.005505,2.939559,9.826222,2016
cholesky,gemm,32768,512,1200000,0.188180,0.003577,0.002387,3.179123,202.308057,41664
cholesky,potrf,32768,1024,2801000,0.254937,0.002603,0.002181,2.215320,0.334025,32
cholesky,trsm,32768,1024,2801000,0.273212,0.001510,0.002111,2.219200,7.249137,496
cholesky,syrk,32768,1024,2801000,0.258325,0.003766,0.007363,2.899994,10.558236,496
cholesky,gemm,32768,1024,2801000,0.197914,0.002784,0.007766,3.159186,146.281560,4960
cholesky,potrf,32768,1024,1200000,0.216444,0.002810,0.002192,2.331297,0.360662,32
cholesky,trsm,32768,1024,1200000,0.254761,0.001481,0.002113,2.273966,7.106186,496
cholesky,syrk,32768,1024,1200000,0.190714,0.003916,0.007334,3.165291,10.978146,496
cholesky,gemm,32768,1024,1200000,0.162927,0.002810,0.007739,3.297795,147.676164,4960
cholesky,potrf,32768,2048,2801000,0.277540,0.002158,0.002006,2.316876,0.823603,16
cholesky,trsm,32768,2048,2801000,0.252853,0.002238,0.002063,2.478943,16.009515,120
cholesky,syrk,32768,2048,2801000,0.222325,0.003252,0.002945,3.064017,16.910880,120
cholesky,gemm,32768,2048,2801000,0.181899,0.003214,0.001453,3.236629,150.753225,560
