algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,16384,512,1,260865116,252763147,44675082,19314062,2.206520
cholesky,16384,512,2,238989317,278346028,20004536,42051423,2.219330
cholesky,16384,512,3,197936383,222368205,20543998,44318913,2.334940
cholesky,16384,512,4,200302161,225219211,20416595,44835442,2.364170
cholesky,16384,512,5,226870879,263178099,19208783,41181740,2.191200
cholesky,16384,512,6,228896569,265093926,19519923,41613659,2.216130
cholesky,16384,512,7,197379804,219808397,20455335,45366779,2.410400
cholesky,16384,512,8,195368030,218528005,20477872,44833437,2.385760
cholesky,16384,512,9,261606264,251369290,45436166,19467674,2.243030
cholesky,16384,512,10,236531804,273968842,20076492,42404302,2.245250
cholesky,16384,512,11,198032147,222326702,20472594,44993291,2.377120
cholesky,16384,512,12,195106678,219741869,20338857,44000137,2.334390
cholesky,16384,512,13,233779248,270071513,19655175,43310628,2.293030
cholesky,16384,512,14,228202541,264674982,19894758,42105707,2.238460
cholesky,16384,512,15,194715078,216364802,20542759,45054415,2.388890
cholesky,16384,512,16,196278245,217709037,20669413,45398497,2.413550
cholesky,16384,1024,1,223611183,252520350,20389009,37342113,1.979820
cholesky,16384,1024,2,213926088,231098590,20811672,34187376,1.820700
cholesky,16384,1024,3,174724955,182669516,22963097,34493529,1.833730
cholesky,16384,1024,4,181796592,196203660,22175774,37128097,1.972290
cholesky,16384,1024,5,228232875,223303933,39588505,19882947,1.987620
cholesky,16384,1024,6,215200194,241379753,21158049,37624581,2.007670
cholesky,16384,1024,7,181171106,198268963,22051722,38851091,2.083960
cholesky,16384,1024,8,176724096,191176757,21749608,37945745,2.038430
cholesky,16384,1024,9,211556160,234715464,20878380,35624214,1.906210
cholesky,16384,1024,10,214516968,241543571,20698896,36817078,1.957820
cholesky,16384,1024,11,174698344,182568990,21964925,35685108,1.889070
cholesky,16384,1024,12,182126487,199916602,21631645,38793961,2.063940
cholesky,16384,1024,13,206157675,238969359,21721104,37393843,2.011410
cholesky,16384,1024,14,206620015,232264420,21490579,37139312,1.985930
cholesky,16384,1024,15,187283822,175010538,40698428,22005944,2.044680
cholesky,16384,1024,16,177129002,191159789,22350393,38922145,2.082090
cholesky,16384,2048,1,225502230,241701957,21535117,33773373,1.849930
cholesky,16384,2048,2,235435981,258974679,22219150,35665080,1.998980
cholesky,16384,2048,3,201093358,218643910,22426419,36912902,2.062440
cholesky,16384,2048,4,212165899,200264808,39635339,20828226,2.048220
cholesky,16384,2048,5,230889911,241954032,22222240,35701632,2.020270
cholesky,16384,2048,6,231527545,249957246,23988059,35900455,2.106490
cholesky,16384,2048,7,206109519,217495048,25676842,38650141,2.264230
cholesky,16384,2048,8,211816413,204317531,41953824,21635149,2.271710
cholesky,16384,2048,9,223689491,238983519,21232621,35724444,1.940730
cholesky,16384,2048,10,222493937,237000492,23065255,34384287,1.939840
cholesky,16384,2048,11,185210890,197845685,23249375,35254444,1.942720
cholesky,16384,2048,12,192747249,203837552,23262656,36524619,2.052860
cholesky,16384,2048,13,217777396,234434825,23096100,35252516,2.020360
cholesky,16384,2048,14,233910106,247301919,23686940,37780030,2.227550
cholesky,16384,2048,15,193137323,190978454,39944781,22181665,2.107100
cholesky,16384,2048,16,199064676,214154237,25446440,39604525,2.354610
