algorithm, matrix_size, tile_size, case, PKG1, PKG2, DRAM1, DRAM2, time
cholesky, 32768, 512, 1, 2057561383, 1816562366, 360092232, 136215028, 16.139000
cholesky, 32768, 512, 2, 2047809821, 1811622925, 355570256, 139954592, 15.965500
cholesky, 32768, 512, 3, 1745304981, 1505140617, 406813873, 139497597, 18.236200
cholesky, 32768, 512, 4, 1725426857, 1488697849, 399291107, 135076631, 17.909200
cholesky, 32768, 512, 5, 2042242026, 1798153417, 364691044, 135217437, 16.369400
cholesky, 32768, 512, 6, 2044551590, 1805173785, 365596361, 133210001, 16.410200
cholesky, 32768, 512, 7, 1711704419, 1476138005, 403395195, 138574395, 18.127200
cholesky, 32768, 512, 8, 1555825363, 1635012416, 173380778, 335626155, 18.209500
cholesky, 32768, 512, 9, 2102095265, 1825545558, 371184059, 140097051, 16.659100
cholesky, 32768, 512, 10, 1880813850, 1993138818, 173354508, 302806125, 16.361100
cholesky, 32768, 512, 11, 1738571232, 1502010743, 405966742, 141614536, 18.188600
cholesky, 32768, 512, 12, 1704262727, 1472401626, 397454097, 141601699, 17.876000
cholesky, 32768, 512, 13, 1990231416, 1758557143, 356217079, 134305924, 16.025500
cholesky, 32768, 512, 14, 1963951637, 1735923656, 350070885, 130871182, 15.760700
cholesky, 32768, 512, 15, 1722867294, 1485491010, 408867209, 140467066, 18.374900
cholesky, 32768, 512, 16, 1680644867, 1457633354, 398089981, 138324653, 17.896300 
cholesky, 32768, 1024, 1, 1903484751, 1675828534, 330922904, 152005178, 14.815300
cholesky, 32768, 1024, 2, 1917959994, 1678622046, 332020373, 153727056, 14.858100
cholesky, 32768, 1024, 3, 1514370513, 1331395029, 346947206, 158070084, 15.503900
cholesky, 32768, 1024, 4, 1514606779, 1330477612, 346283584, 158536917, 15.514300
cholesky, 32768, 1024, 5, 1874003076, 1645991086, 334999008, 153137211, 14.996200
cholesky, 32768, 1024, 6, 1874174950, 1644353334, 335048535, 154137326, 15.027200
cholesky, 32768, 1024, 7, 1495637467, 1309964358, 349171642, 159255099, 15.721500
cholesky, 32768, 1024, 8, 1504797234, 1320901953, 351922935, 160490436, 15.840500
cholesky, 32768, 1024, 9, 1863488332, 1650954941, 330433136, 152823422, 14.806200
cholesky, 32768, 1024, 10, 1878808240, 1665468881, 332113871, 152471095, 14.873900
cholesky, 32768, 1024, 11, 1507145556, 1326630148, 350008476, 158452155, 15.670300
cholesky, 32768, 1024, 12, 1491761501, 1317942244, 346448167, 157273168, 15.505500
cholesky, 32768, 1024, 13, 1833235786, 1615835097, 332922309, 152539409, 14.938100
cholesky, 32768, 1024, 14, 1832289682, 1607945469, 331756219, 152757281, 14.925900
cholesky, 32768, 1024, 15, 1478916563, 1298782564, 351176034, 157787493, 15.786100
cholesky, 32768, 1024, 16, 1486970925, 1301018032, 351977510, 159581188, 15.844300
cholesky, 32768, 2048, 1, 1683749290, 1707178552, 168986495, 259924953, 13.799700
cholesky, 32768, 2048, 2, 1709041340, 1726573278, 166080230, 263167022, 14.017800
cholesky, 32768, 2048, 3, 1465470919, 1313492242, 327702836, 143111426, 14.601000
cholesky, 32768, 2048, 4, 1345340367, 1334678102, 173061650, 260222966, 13.908800
cholesky, 32768, 2048, 5, 1625553517, 1681302336, 170959721, 261657295, 14.025700
cholesky, 32768, 2048, 6, 1685092855, 1761582465, 163111617, 275657254, 14.819900
cholesky, 32768, 2048, 7, 1349985924, 1385430414, 174771716, 275280690, 14.870500
cholesky, 32768, 2048, 8, 1324242032, 1338888357, 170850663, 269719523, 14.508300
cholesky, 32768, 2048, 9, 1656942169, 1686730179, 165018349, 264012363, 14.038800
cholesky, 32768, 2048, 10, 1671583001, 1717333555, 172254989, 264630545, 14.163900
cholesky, 32768, 2048, 11, 1327501057, 1360520870, 170511248, 271646711, 14.475300
cholesky, 32768, 2048, 12, 1335022766, 1365893720, 174924594, 271880128, 14.572200
cholesky, 32768, 2048, 13, 1618364753, 1688043042, 167039601, 272758088, 14.572500
cholesky, 32768, 2048, 14, 1607577855, 1648498771, 170682271, 265760923, 14.257500
cholesky, 32768, 2048, 15, 1265692011, 1281701613, 180845495, 260565686, 14.067900
cholesky, 32768, 2048, 16, 1286842897, 1313279413, 180061446, 265375409, 14.369900
