algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dgetrf_nopiv,getrfnpiv,8192,320,23068672,1200000,26,67298,179535321,13308987,76773607,108244,
dgetrf_nopiv,trsm,8192,320,23068672,1200000,650,11570576,6969471521,1282027279,3726354750,2743251,
dgetrf_nopiv,gemm,8192,320,23068672,1200000,5525,142026177,40229114326,2472542469,12725260355,4275126,
dgetrf_nopiv,getrfnpiv,8192,320,23068672,2801000,26,58914,179535200,14599085,78395377,107578,
dgetrf_nopiv,trsm,8192,320,23068672,2801000,650,11655880,6969469863,1487353534,3909300884,2337908,
dgetrf_nopiv,gemm,8192,320,23068672,2801000,5525,142654365,40229107596,3633436652,13892427593,4384239,
dgetrf_nopiv,getrfnpiv,8192,320,23068672,1200000,26,63744,179535320,13265592,76897490,117192,
dgetrf_nopiv,trsm,8192,320,23068672,1200000,650,11594027,6969471517,1303156284,3729961240,2383749,
dgetrf_nopiv,gemm,8192,320,23068672,1200000,5525,141806353,40229110551,2479666148,12731008907,4228540,
dgetrf_nopiv,getrfnpiv,8192,320,23068672,2801000,26,53114,179535310,14451076,78393431,118014,
dgetrf_nopiv,trsm,8192,320,23068672,2801000,650,11640156,6969469035,1523500191,3933948636,2549405,
dgetrf_nopiv,gemm,8192,320,23068672,2801000,5525,143047866,40229110744,3619508312,13882409954,4550449,
dgetrf_nopiv,getrfnpiv,8192,320,23068672,1200000,26,69966,179535322,13295127,76773583,112725,
dgetrf_nopiv,trsm,8192,320,23068672,1200000,650,11559030,6969471315,1290719051,3722453490,2350799,
dgetrf_nopiv,gemm,8192,320,23068672,1200000,5525,141816214,40229113113,2471440388,12717491369,4448801,
dgetrf_nopiv,getrfnpiv,8192,320,23068672,2801000,26,55218,179535031,14672521,78464752,107206,
