algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dgetrs_nopiv,trsm,8192,320,23068672,1200000,52,370788,11903276,6639682,10357345,4272,
dgetrs_nopiv,gemm,8192,320,23068672,1200000,650,8088970,18981007,94324112,102083287,7092,
dgetrs_nopiv,trsm,8192,320,23068672,2801000,52,371815,11903881,16446566,20207386,4263,
dgetrs_nopiv,gemm,8192,320,23068672,2801000,650,8075980,18978587,236012103,243980099,7594,
dgetrs_nopiv,trsm,8192,320,23068672,1200000,52,373236,11903807,6637838,10353376,4168,
dgetrs_nopiv,gemm,8192,320,23068672,1200000,650,8090620,18982893,94267646,102120545,8011,
dgetrs_nopiv,trsm,8192,320,23068672,2801000,52,373954,11903959,16435948,20172750,4611,
dgetrs_nopiv,gemm,8192,320,23068672,2801000,650,8086725,18979191,237156457,245158640,7626,
dgetrs_nopiv,trsm,8192,320,23068672,1200000,52,368814,11904146,6619629,10334591,4246,
dgetrs_nopiv,gemm,8192,320,23068672,1200000,650,8087796,18974173,94333071,102092518,7112,
dgetrs_nopiv,trsm,8192,320,23068672,2801000,52,376922,11903713,16383781,20128961,4721,
dgetrs_nopiv,gemm,8192,320,23068672,2801000,650,8087949,18984115,236570731,244616845,7619,
dgetrs_nopiv,trsm,8192,320,23068672,1200000,52,372919,11904015,6621395,10337056,4570,
dgetrs_nopiv,gemm,8192,320,23068672,1200000,650,8085808,18985771,94342262,102089856,7579,
dgetrs_nopiv,trsm,8192,320,23068672,2801000,52,369073,11904059,16467246,20216559,4240,
dgetrs_nopiv,gemm,8192,320,23068672,2801000,650,8082927,18979197,236799209,244725045,7262,
dgetrs_nopiv,trsm,8192,640,23068672,1200000,26,800552,14718319,11693892,16247178,4971,
dgetrs_nopiv,gemm,8192,640,23068672,1200000,156,8471274,17715300,105492498,112600465,3886,
dgetrs_nopiv,trsm,8192,640,23068672,2801000,26,782070,14718342,27851728,32519977,5058,
dgetrs_nopiv,gemm,8192,640,23068672,2801000,156,8481095,17714433,270449613,277800109,3767,
dgetrs_nopiv,trsm,8192,640,23068672,1200000,26,805262,14718391,11729927,16305639,5639,
dgetrs_nopiv,gemm,8192,640,23068672,1200000,156,8475168,17713872,105554429,112650409,3693,
dgetrs_nopiv,trsm,8192,640,23068672,2801000,26,782603,14718233,27764239,32400306,5000,
dgetrs_nopiv,gemm,8192,640,23068672,2801000,156,8471367,17714535,269850691,277190931,3697,
dgetrs_nopiv,trsm,8192,640,23068672,1200000,26,793331,14718181,11667303,16224706,5005,
dgetrs_nopiv,gemm,8192,640,23068672,1200000,156,8478377,17713705,105549742,112667718,3822,
dgetrs_nopiv,trsm,8192,640,23068672,2801000,26,778859,14718376,27816605,32462740,4970,
dgetrs_nopiv,gemm,8192,640,23068672,2801000,156,8470028,17714644,269662826,277036824,3660,
dgetrs_nopiv,trsm,8192,640,23068672,1200000,26,795084,14717956,11704094,16273256,4943,
dgetrs_nopiv,gemm,8192,640,23068672,1200000,156,8471291,17713521,105533176,112658324,3663,
dgetrs_nopiv,trsm,8192,640,23068672,2801000,26,786642,14718442,26892567,31522882,5714,
dgetrs_nopiv,gemm,8192,640,23068672,2801000,156,8474696,17714169,264381400,271750822,3818,
dgetrs_nopiv,trsm,8192,960,23068672,1200000,18,1172580,17253496,14953859,20300255,6022,
dgetrs_nopiv,gemm,8192,960,23068672,1200000,72,7919849,16902568,97555593,104259814,2363,
dgetrs_nopiv,trsm,8192,960,23068672,2801000,18,1137240,17253421,32499341,37951251,6598,
dgetrs_nopiv,gemm,8192,960,23068672,2801000,72,7931624,16902355,242170492,249052347,2395,
dgetrs_nopiv,trsm,8192,960,23068672,1200000,18,1178582,17253397,14978364,20317063,5578,
dgetrs_nopiv,gemm,8192,960,23068672,1200000,72,7925669,16902331,97593257,104304214,2414,
dgetrs_nopiv,trsm,8192,960,23068672,2801000,18,1133768,17253551,34744842,40187182,5510,
dgetrs_nopiv,gemm,8192,960,23068672,2801000,72,7913976,16902452,246728205,253598748,2464,
dgetrs_nopiv,trsm,8192,960,23068672,1200000,18,1170136,17253586,14956982,20295093,5757,
dgetrs_nopiv,gemm,8192,960,23068672,1200000,72,7930675,16902556,97654888,104361365,2459,
dgetrs_nopiv,trsm,8192,960,23068672,2801000,18,1140801,17253518,33477195,38882247,5402,
dgetrs_nopiv,gemm,8192,960,23068672,2801000,72,7925608,16902510,247914604,254823534,2464,
dgetrs_nopiv,trsm,8192,960,23068672,1200000,18,1164359,17253322,15007247,20384022,6629,
dgetrs_nopiv,gemm,8192,960,23068672,1200000,72,7919346,16902397,97528808,104252159,2526,
dgetrs_nopiv,trsm,8192,960,23068672,2801000,18,1136396,17253487,32842283,38276189,6123,
dgetrs_nopiv,gemm,8192,960,23068672,2801000,72,7940231,16902056,242757753,249613192,2327,
dgetrs_nopiv,trsm,8192,1280,23068672,1200000,14,1576511,19884618,20113977,26292746,7156,
dgetrs_nopiv,gemm,8192,1280,23068672,1200000,42,8547805,48559930,88860152,104322728,13116,
dgetrs_nopiv,trsm,8192,1280,23068672,2801000,14,1528189,19884856,44772578,51044642,6620,
dgetrs_nopiv,gemm,8192,1280,23068672,2801000,42,8248057,48559892,182447836,198105911,12759,
dgetrs_nopiv,trsm,8192,1280,23068672,1200000,14,1565119,19884789,20031292,26205060,6065,
