algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dlauum,lauum,8192,320,23068672,1200000,26,276333,52306397,4539761,19373983,28351,
dlauum,syrk,8192,320,23068672,1200000,325,4853471,1436621427,139821499,507467578,177521,
dlauum,trmm,8192,320,23068672,1200000,325,2877208,1271237437,117777575,441811513,219760,
dlauum,gemm,8192,320,23068672,1200000,2600,42820512,19252101538,1356262716,6234498950,1405684,
dlauum,lauum,8192,320,23068672,2801000,26,265208,52306411,7750256,22883312,27478,
dlauum,syrk,8192,320,23068672,2801000,325,4845830,1436621068,243564845,611402886,180484,
dlauum,trmm,8192,320,23068672,2801000,325,2760016,1271236413,186618339,511896789,219777,
dlauum,gemm,8192,320,23068672,2801000,2600,41383019,19252095849,2194350032,7078668747,1458214,
dlauum,lauum,8192,320,23068672,1200000,26,268549,52306584,4503180,19342772,29803,
dlauum,syrk,8192,320,23068672,1200000,325,4958239,1436623218,140185783,507516109,179965,
dlauum,trmm,8192,320,23068672,1200000,325,2753831,1271237694,117178512,441267111,222990,
dlauum,gemm,8192,320,23068672,1200000,2600,41738637,19252101588,1354800350,6238063668,1429928,
dlauum,lauum,8192,320,23068672,2801000,26,277754,52306252,7980716,23112616,28320,
dlauum,syrk,8192,320,23068672,2801000,325,4846318,1436621339,246418088,614502478,177116,
dlauum,trmm,8192,320,23068672,2801000,325,2993949,1271236849,195740013,522031002,221361,
dlauum,gemm,8192,320,23068672,2801000,2600,44742956,19252098671,2257059727,7148543644,1404851,
dlauum,lauum,8192,320,23068672,1200000,26,276122,52306451,4510411,19360039,29452,
dlauum,syrk,8192,320,23068672,1200000,325,4736000,1436622874,140200063,507441479,177697,
dlauum,trmm,8192,320,23068672,1200000,325,2869070,1271237725,117623534,441685281,219223,
dlauum,gemm,8192,320,23068672,1200000,2600,42280444,19252101111,1353530861,6236383479,1408739,
dlauum,lauum,8192,320,23068672,2801000,26,273896,52306183,7915605,23132864,28351,
dlauum,syrk,8192,320,23068672,2801000,325,4720533,1436622812,242451727,610493515,179316,
dlauum,trmm,8192,320,23068672,2801000,325,2753983,1271237608,186104402,511473522,220550,
dlauum,gemm,8192,320,23068672,2801000,2600,41493630,19252101254,2188930140,7074326230,1408581,
dlauum,lauum,8192,320,23068672,1200000,26,271885,52306425,4468361,19306867,28374,
dlauum,syrk,8192,320,23068672,1200000,325,4896725,1436623166,139767607,507109512,179516,
dlauum,trmm,8192,320,23068672,1200000,325,2774125,1271237741,117145465,441274131,220997,
dlauum,gemm,8192,320,23068672,1200000,2600,41540680,19252102763,1350564706,6233313871,1416230,
dlauum,lauum,8192,320,23068672,2801000,26,269468,52306500,7771665,22961816,29357,
dlauum,syrk,8192,320,23068672,2801000,325,4925841,1436622876,245441884,613431159,179057,
dlauum,trmm,8192,320,23068672,2801000,325,2889387,1271237592,189035853,514057940,221465,
dlauum,gemm,8192,320,23068672,2801000,2600,42803099,19252100249,2203785734,7086828847,1406130,
dlauum,lauum,8192,320,23068672,1200000,26,275216,52306250,4472432,19320100,29050,
dlauum,syrk,8192,320,23068672,1200000,325,4857445,1436622534,139200758,506703192,175729,
dlauum,trmm,8192,320,23068672,1200000,325,2788423,1271237761,117274463,441225955,221091,
dlauum,gemm,8192,320,23068672,1200000,2600,41868012,19252101034,1354408259,6232404005,1407052,
dlauum,lauum,8192,320,23068672,2801000,26,274728,52305933,7878475,23055246,27964,
dlauum,syrk,8192,320,23068672,2801000,325,4848028,1436622456,244846444,612954973,177073,
dlauum,trmm,8192,320,23068672,2801000,325,2868806,1271237108,189912671,515342566,220581,
dlauum,gemm,8192,320,23068672,2801000,2600,42567887,19252098795,2201494571,7087825338,1464428,
dlauum,lauum,8192,320,23068672,1200000,26,272531,52306679,4491366,19354072,29091,
dlauum,syrk,8192,320,23068672,1200000,325,4921629,1436623059,140064713,507277603,173386,
dlauum,trmm,8192,320,23068672,1200000,325,2770412,1271237981,117227789,441438087,219446,
dlauum,gemm,8192,320,23068672,1200000,2600,41638352,19252102484,1353562341,6235702550,1407122,
dlauum,lauum,8192,320,23068672,2801000,26,272523,52306430,7849252,23059475,27883,
dlauum,syrk,8192,320,23068672,2801000,325,4915391,1436622397,244763215,612924235,178950,
dlauum,trmm,8192,320,23068672,2801000,325,2767593,1271237341,186091213,511359197,217243,
dlauum,gemm,8192,320,23068672,2801000,2600,41774150,19252100543,2198278001,7082822297,1401076,
dlauum,lauum,8192,320,23068672,1200000,26,271643,52306882,4472484,19373883,30015,
dlauum,syrk,8192,320,23068672,1200000,325,4960101,1436623167,140914672,508156006,176383,
dlauum,trmm,8192,320,23068672,1200000,325,2789150,1271237910,117536543,441572679,220938,
dlauum,gemm,8192,320,23068672,1200000,2600,42209306,19252102393,1356700653,6238995189,1412174,
dlauum,lauum,8192,320,23068672,2801000,26,268652,52306330,7742792,22973034,28635,
dlauum,syrk,8192,320,23068672,2801000,325,4828139,1436621403,242347880,610125147,174277,
dlauum,trmm,8192,320,23068672,2801000,325,2798499,1271236860,187299484,512704976,219809,
dlauum,gemm,8192,320,23068672,2801000,2600,41609684,19252100165,2190892564,7074520251,1423674,
dlauum,lauum,8192,320,23068672,1200000,26,270120,52306521,4434319,19405087,32893,
dlauum,syrk,8192,320,23068672,1200000,325,5019151,1436622956,140784758,508427523,183769,
dlauum,trmm,8192,320,23068672,1200000,325,2990573,1271237543,117794576,442164043,225567,
dlauum,gemm,8192,320,23068672,1200000,2600,45461272,19252101630,1373656015,6253493462,1408493,
dlauum,lauum,8192,320,23068672,2801000,26,271561,52306279,7824800,23011789,27771,
dlauum,syrk,8192,320,23068672,2801000,325,4708833,1436622327,245350260,613532871,175652,
dlauum,trmm,8192,320,23068672,2801000,325,2981909,1271237031,190908972,516530620,221046,
dlauum,gemm,8192,320,23068672,2801000,2600,43762622,19252101134,2256116991,7148870655,1406042,
dlauum,lauum,8192,320,23068672,1200000,26,271337,52306665,4486836,19362256,29660,
dlauum,syrk,8192,320,23068672,1200000,325,4989917,1436623118,140451380,507801219,176259,
dlauum,trmm,8192,320,23068672,1200000,325,2798083,1271237747,117814178,441919170,220700,
dlauum,gemm,8192,320,23068672,1200000,2600,41973636,19252101298,1355423551,6238605523,1463215,
dlauum,lauum,8192,320,23068672,2801000,26,270469,52306215,7802637,22999922,28288,
dlauum,syrk,8192,320,23068672,2801000,325,4785861,1436622416,242922172,610832182,178589,
dlauum,trmm,8192,320,23068672,2801000,325,2798634,1271237528,187064865,512252743,218256,
dlauum,gemm,8192,320,23068672,2801000,2600,41654391,19252101354,2190401903,7072912207,1416289,
dlauum,lauum,8192,320,23068672,1200000,26,274984,52306688,4527399,19380237,29492,
dlauum,syrk,8192,320,23068672,1200000,325,4921169,1436623279,140903265,508210157,174804,
dlauum,trmm,8192,320,23068672,1200000,325,2944514,1271237518,118217480,442503618,222123,
dlauum,gemm,8192,320,23068672,1200000,2600,44605228,19252101558,1369628488,6253481788,1410058,
dlauum,lauum,8192,320,23068672,2801000,26,273244,52306699,7853554,23096994,28718,
dlauum,syrk,8192,320,23068672,2801000,325,4777989,1436621547,243669680,611505340,176904,
dlauum,trmm,8192,320,23068672,2801000,325,2774573,1271236912,187442483,512591589,218392,
dlauum,gemm,8192,320,23068672,2801000,2600,41391614,19252096874,2191669547,7076888525,1414019,
dlauum,lauum,8192,320,23068672,1200000,26,276106,52306691,4491931,19330915,28888,
dlauum,syrk,8192,320,23068672,1200000,325,4830799,1436623189,140174006,507411037,176809,
dlauum,trmm,8192,320,23068672,1200000,325,2825553,1271237840,117399518,441528164,216837,
dlauum,gemm,8192,320,23068672,1200000,2600,42587134,19252101473,1352712983,6234867153,1411967,
dlauum,lauum,8192,320,23068672,2801000,26,275184,52306685,7849772,23047904,28016,
dlauum,syrk,8192,320,23068672,2801000,325,4780041,1436622198,242908741,610954708,179147,
dlauum,trmm,8192,320,23068672,2801000,325,2792444,1271237080,188568208,513711675,220348,
dlauum,gemm,8192,320,23068672,2801000,2600,41752593,19252097215,2195459152,7078988138,1403282,
dlauum,lauum,8192,320,23068672,1200000,26,272471,52306653,4507100,19392006,28766,
dlauum,syrk,8192,320,23068672,1200000,325,4838673,1436623195,139910148,507057588,173730,
dlauum,trmm,8192,320,23068672,1200000,325,2795012,1271237726,117493839,441708400,216572,
dlauum,gemm,8192,320,23068672,1200000,2600,41932664,19252102211,1352552880,6235190034,1403695,
dlauum,lauum,8192,320,23068672,2801000,26,280868,52305856,8005398,23144052,28372,
dlauum,syrk,8192,320,23068672,2801000,325,4795764,1436621747,244714168,612668217,177939,
dlauum,trmm,8192,320,23068672,2801000,325,2830544,1271236807,187569516,512966462,222951,
dlauum,gemm,8192,320,23068672,2801000,2600,42106510,19252098674,2199817532,7085824936,1461923,
dlauum,lauum,8192,320,23068672,1200000,26,273698,52306791,4523882,19391694,29176,
dlauum,syrk,8192,320,23068672,1200000,325,4979151,1436623204,140423161,507670412,176624,
dlauum,trmm,8192,320,23068672,1200000,325,2853473,1271237861,117966701,442045375,220672,
dlauum,gemm,8192,320,23068672,1200000,2600,43113106,19252102244,1359504125,6243290386,1412034,
dlauum,lauum,8192,320,23068672,2801000,26,271007,52306086,7765727,23074931,28626,
dlauum,syrk,8192,320,23068672,2801000,325,4820054,1436622543,244089560,611956109,176856,
dlauum,trmm,8192,320,23068672,2801000,325,2787769,1271237286,187140684,512185227,216002,
dlauum,gemm,8192,320,23068672,2801000,2600,41596051,19252101039,2195091646,7079331681,1407698,
dlauum,lauum,8192,320,23068672,1200000,26,276722,52306922,4491733,19354875,28546,
