algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dpotrf,potrf,8192,320,23068672,1200000,26,162897,136575478,3670233,55803617,44479,
dpotrf,trsm,8192,320,23068672,1200000,325,5403089,4273362486,600449755,2187952021,1205648,
dpotrf,syrk,8192,320,23068672,1200000,325,3578778,1443993176,103702507,481517661,235425,
dpotrf,gemm,8192,320,23068672,1200000,2600,56232205,19423633108,1112803172,6107067574,1980699,
dpotrf,potrf,8192,320,23068672,2801000,26,167286,136574916,5639161,58075669,48867,
dpotrf,trsm,8192,320,23068672,2801000,325,5402364,4273361210,679383125,2266308179,1214195,
dpotrf,syrk,8192,320,23068672,2801000,325,3618500,1443989029,142225222,520079199,242107,
dpotrf,gemm,8192,320,23068672,2801000,2600,56307762,19423629190,1428548791,6422632885,2085224,
dpotrf,potrf,8192,320,23068672,1200000,26,159478,136575368,3670044,55742091,42307,
dpotrf,trsm,8192,320,23068672,1200000,325,5359869,4273362194,600408610,2187771201,1184564,
dpotrf,syrk,8192,320,23068672,1200000,325,3548697,1443991609,103289081,480963603,241203,
dpotrf,gemm,8192,320,23068672,1200000,2600,55922313,19423588931,1107486144,6101728828,2076180,
dpotrf,potrf,8192,320,23068672,2801000,26,170221,136574857,5706642,58104197,41845,
dpotrf,trsm,8192,320,23068672,2801000,325,5469651,4273360985,681466376,2267138630,1203498,
dpotrf,syrk,8192,320,23068672,2801000,325,3615748,1443991531,141127303,519160393,239746,
dpotrf,gemm,8192,320,23068672,2801000,2600,56126710,19423632038,1414966050,6409850588,2129287,
dpotrf,potrf,8192,320,23068672,1200000,26,162224,136575705,3718539,55778970,42542,
dpotrf,trsm,8192,320,23068672,1200000,325,5452452,4273362237,601498030,2188170232,1178509,
dpotrf,syrk,8192,320,23068672,1200000,325,3621491,1443994321,103980370,481789157,242833,
dpotrf,gemm,8192,320,23068672,1200000,2600,56104625,19423625408,1108708605,6103024902,2082659,
dpotrf,potrf,8192,320,23068672,2801000,26,162237,136575197,5580933,57979589,43772,
dpotrf,trsm,8192,320,23068672,2801000,325,5437361,4273361560,680439122,2266921549,1205721,
dpotrf,syrk,8192,320,23068672,2801000,325,3567346,1443993505,143288794,521500319,245875,
dpotrf,gemm,8192,320,23068672,2801000,2600,56131266,19423631830,1432184795,6427201175,2102880,
dpotrf,potrf,8192,320,23068672,1200000,26,164244,136575558,3781371,55815891,41762,
dpotrf,trsm,8192,320,23068672,1200000,325,5443829,4273362306,600735463,2187951484,1177661,
dpotrf,syrk,8192,320,23068672,1200000,325,3616919,1443993180,103611482,481248830,233282,
dpotrf,gemm,8192,320,23068672,1200000,2600,56318777,19423632422,1103908208,6096497799,1979550,
dpotrf,potrf,8192,320,23068672,2801000,26,167636,136575445,5671295,58029203,41967,
dpotrf,trsm,8192,320,23068672,2801000,325,5467903,4273361834,681029074,2267062589,1178017,
dpotrf,syrk,8192,320,23068672,2801000,325,3611672,1443990208,143301777,521415297,240365,
dpotrf,gemm,8192,320,23068672,2801000,2600,56353480,19423629716,1436699780,6431614656,2090365,
dpotrf,potrf,8192,320,23068672,1200000,26,167459,136575273,3666722,55741946,41555,
