algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dpotrs,trsm,8192,320,23068672,1200000,52,338238,13274231,5033182,8860934,4652,
dpotrs,gemm,8192,320,23068672,1200000,650,7753175,19834408,73793236,83668348,29690,
dpotrs,trsm,8192,320,23068672,2801000,52,339952,13273917,12398751,16278198,4784,
dpotrs,gemm,8192,320,23068672,2801000,650,7771003,19831978,184508822,194616288,30220,
dpotrs,trsm,8192,320,23068672,1200000,52,340480,13274029,5035637,8883423,4698,
dpotrs,gemm,8192,320,23068672,1200000,650,7756434,19827495,73838954,83770150,29281,
dpotrs,trsm,8192,320,23068672,2801000,52,337630,13274215,12426533,16281558,4107,
dpotrs,gemm,8192,320,23068672,2801000,650,7755058,19817572,184551589,194685567,30265,
dpotrs,trsm,8192,320,23068672,1200000,52,341231,13274166,5096896,8937513,4598,
dpotrs,gemm,8192,320,23068672,1200000,650,7755437,19832858,73845655,83720273,29609,
dpotrs,trsm,8192,320,23068672,2801000,52,332222,13274035,12273751,16149368,4102,
dpotrs,gemm,8192,320,23068672,2801000,650,7760301,19806152,183884218,194053785,30521,
dpotrs,trsm,8192,320,23068672,1200000,52,335012,13274153,4983017,8828992,4922,
dpotrs,gemm,8192,320,23068672,1200000,650,7759098,19826201,73889266,83757838,29397,
dpotrs,trsm,8192,320,23068672,2801000,52,335224,13274107,12353919,16213487,4147,
dpotrs,gemm,8192,320,23068672,2801000,650,7756595,19827522,183606359,193746229,30244,
dpotrs,trsm,8192,640,23068672,1200000,26,734530,18458709,8771411,14269946,5181,
dpotrs,gemm,8192,640,23068672,1200000,156,7993589,17636759,77985051,86798188,14499,
dpotrs,trsm,8192,640,23068672,2801000,26,705758,18458661,19410250,24931334,5129,
dpotrs,gemm,8192,640,23068672,2801000,156,7976376,17635088,190581722,199643491,14971,
dpotrs,trsm,8192,640,23068672,1200000,26,731528,18458660,8773447,14275682,5194,
dpotrs,gemm,8192,640,23068672,1200000,156,7985312,17637000,77866540,86672935,14615,
dpotrs,trsm,8192,640,23068672,2801000,26,698005,18458696,19938302,25473120,5823,
dpotrs,gemm,8192,640,23068672,2801000,156,7977375,17636946,197575189,206659643,15342,
dpotrs,trsm,8192,640,23068672,1200000,26,739224,18458618,8801646,14309634,5792,
dpotrs,gemm,8192,640,23068672,1200000,156,7985154,17637039,77870127,86688658,14508,
dpotrs,trsm,8192,640,23068672,2801000,26,698342,18458663,19664541,25204875,6201,
dpotrs,gemm,8192,640,23068672,2801000,156,7974308,17635772,192206107,201270554,14755,
dpotrs,trsm,8192,640,23068672,1200000,26,735973,18458234,8753676,14246531,5216,
dpotrs,gemm,8192,640,23068672,1200000,156,7995120,17634464,77936232,86754869,14238,
dpotrs,trsm,8192,640,23068672,2801000,26,698869,18458658,20135687,25669814,5275,
dpotrs,gemm,8192,640,23068672,2801000,156,7977929,17637089,196951021,206032807,14917,
dpotrs,trsm,8192,960,23068672,1200000,18,1112121,23305262,12423827,19481049,6053,
