algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dtrtri,trsm,8192,320,23068672,1200000,650,10941935,7280717931,1323764731,3765974600,2455627,
dtrtri,trtri,8192,320,23068672,1200000,26,131536,214069980,30392142,99989646,105243,
dtrtri,gemm,8192,320,23068672,1200000,2600,61395287,18919432716,1197570345,6015716153,1954301,
dtrtri,trsm,8192,320,23068672,2801000,650,11036372,7280716906,1519924402,3959465208,2506569,
dtrtri,trtri,8192,320,23068672,2801000,26,136876,214069501,31793625,102404630,147609,
dtrtri,gemm,8192,320,23068672,2801000,2600,60979944,18919431440,1801112152,6625754667,2067210,
dtrtri,trsm,8192,320,23068672,1200000,650,11035291,7280717957,1347652627,3782660520,2494086,
dtrtri,trtri,8192,320,23068672,1200000,26,132464,214070086,32270093,101594640,78667,
dtrtri,gemm,8192,320,23068672,1200000,2600,61756318,18919433284,1189907324,6013270398,2052743,
dtrtri,trsm,8192,320,23068672,2801000,650,11017489,7280715102,1502595261,3948564837,2463389,
dtrtri,trtri,8192,320,23068672,2801000,26,135322,214069930,31579957,101488296,115702,
dtrtri,gemm,8192,320,23068672,2801000,2600,60797399,18919425016,1801784992,6627480323,2097161,
dtrtri,trsm,8192,320,23068672,1200000,650,10961120,7280717779,1316772389,3763951180,2459686,
dtrtri,trtri,8192,320,23068672,1200000,26,136503,214070066,30287318,99861203,106281,
dtrtri,gemm,8192,320,23068672,1200000,2600,61327658,18919432743,1197192697,6018939944,2004309,
dtrtri,trsm,8192,320,23068672,2801000,650,11030027,7280716804,1512290118,3952956784,2464631,
dtrtri,trtri,8192,320,23068672,2801000,26,140600,214069949,31351002,101317163,120045,
dtrtri,gemm,8192,320,23068672,2801000,2600,61320288,18919430463,1800355468,6625211279,2033983,
dtrtri,trsm,8192,320,23068672,1200000,650,11022437,7280717957,1331366567,3776127775,2592414,
dtrtri,trtri,8192,320,23068672,1200000,26,134363,214070172,32015962,101741255,103309,
dtrtri,gemm,8192,320,23068672,1200000,2600,61703512,18919433566,1200189870,6022163137,1969890,
dtrtri,trsm,8192,320,23068672,2801000,650,11109714,7280715960,1524082819,3960519301,2450502,
dtrtri,trtri,8192,320,23068672,2801000,26,138210,214070039,31635700,101724975,120819,
dtrtri,gemm,8192,320,23068672,2801000,2600,61115567,18919424119,1804835653,6629690013,2023883,
dtrtri,trsm,8192,320,23068672,1200000,650,11070888,7280718095,1339416942,3776091044,2455914,
dtrtri,trtri,8192,320,23068672,1200000,26,136567,214070084,30610866,100272100,107326,
dtrtri,gemm,8192,320,23068672,1200000,2600,61976732,18919432778,1193799398,6016492016,2047381,
dtrtri,trsm,8192,320,23068672,2801000,650,11144878,7280716417,1529303541,3966752587,2491947,
dtrtri,trtri,8192,320,23068672,2801000,26,138095,214069215,31380281,101992269,145771,
dtrtri,gemm,8192,320,23068672,2801000,2600,61122998,18919431998,1798652549,6623020819,2033579,
dtrtri,trsm,8192,320,23068672,1200000,650,11107621,7280718032,1321125521,3770333160,2617156,
dtrtri,trtri,8192,320,23068672,1200000,26,137927,214069978,30952915,100230250,83430,
dtrtri,gemm,8192,320,23068672,1200000,2600,60596576,18919432359,1214188762,6037353788,2052771,
dtrtri,trsm,8192,320,23068672,2801000,650,11078362,7280716678,1484422023,3973313765,3693465,
dtrtri,trtri,8192,320,23068672,2801000,26,136930,214069606,32589639,102674394,117436,
dtrtri,gemm,8192,320,23068672,2801000,2600,60697404,18919431952,1810108330,6637129225,2184787,
dtrtri,trsm,8192,320,23068672,1200000,650,11037602,7280717875,1316152462,3762335315,2442787,
dtrtri,trtri,8192,320,23068672,1200000,26,129912,214070063,30692335,99861742,80499,
dtrtri,gemm,8192,320,23068672,1200000,2600,61837499,18919433517,1193882543,6016433940,1969106,
dtrtri,trsm,8192,320,23068672,2801000,650,11060368,7280716180,1518663566,3958796454,2495550,
dtrtri,trtri,8192,320,23068672,2801000,26,139325,214069544,32051480,101354116,81739,
dtrtri,gemm,8192,320,23068672,2801000,2600,61111054,18919431011,1797172066,6621362643,2054419,
dtrtri,trsm,8192,320,23068672,1200000,650,11043842,7280717984,1319214064,3764581336,2448584,
dtrtri,trtri,8192,320,23068672,1200000,26,140701,214070014,31448763,100633054,79872,
dtrtri,gemm,8192,320,23068672,1200000,2600,61385970,18919433940,1195618552,6019150452,2001370,
dtrtri,trsm,8192,320,23068672,2801000,650,11118955,7280715556,1512991983,3954249569,2444056,
dtrtri,trtri,8192,320,23068672,2801000,26,133177,214069760,32184822,101519745,86254,
dtrtri,gemm,8192,320,23068672,2801000,2600,60937257,18919432543,1803904706,6629627734,2149378,
dtrtri,trsm,8192,640,23068672,1200000,156,17466162,9245394170,1446312043,4365216715,2242312,
dtrtri,trtri,8192,640,23068672,1200000,13,614374,384195609,66506875,188757212,188319,
dtrtri,gemm,8192,640,23068672,1200000,286,47023804,16298109237,870785873,5008091747,1461954,
dtrtri,trsm,8192,640,23068672,2801000,156,17330374,9245393462,1637397467,4555369009,2253447,
dtrtri,trtri,8192,640,23068672,2801000,13,665985,384195672,75051691,196142795,152067,
dtrtri,gemm,8192,640,23068672,2801000,286,46592378,16298108704,1192902056,5331138138,1500259,
dtrtri,trsm,8192,640,23068672,1200000,156,17543282,9245393211,1462542455,4373185053,2217353,
dtrtri,trtri,8192,640,23068672,1200000,13,622842,384195846,65782775,187968584,213836,
dtrtri,gemm,8192,640,23068672,1200000,286,47400345,16298109444,870545933,5007757084,1458298,
dtrtri,trsm,8192,640,23068672,2801000,156,17432022,9245393509,1659297371,4567825130,2225929,
dtrtri,trtri,8192,640,23068672,2801000,13,705152,384195326,77849316,198521134,143002,
dtrtri,gemm,8192,640,23068672,2801000,286,46445839,16298108684,1198296003,5335547880,1462189,
dtrtri,trsm,8192,640,23068672,1200000,156,17560196,9245393868,1441726463,4369957368,2765264,
dtrtri,trtri,8192,640,23068672,1200000,13,769206,384195486,65889402,187758732,186364,
dtrtri,gemm,8192,640,23068672,1200000,286,48125113,16298109309,857772857,4993204364,1469523,
dtrtri,trsm,8192,640,23068672,2801000,156,17220150,9245393098,1637090508,4552430590,2251341,
dtrtri,trtri,8192,640,23068672,2801000,13,641917,384195704,75057372,196246326,148897,
