algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dcesca,laset,8000,500,23068672,1200000,1040,2072,7186280,252753,3334507,1792,
dcesca,gesum,8000,500,23068672,1200000,256,8001248,321894938,137233821,249652851,129571,
dcesca,gessq,8000,500,23068672,1200000,256,5133299,1090409274,257417602,575203816,129977,
dcesca,geadd,8000,500,23068672,1200000,240,16159,2380490,29080,858440,265,
dcesca,cesca,8000,500,23068672,1200000,256,7697386,1475466321,2710074,390695680,129018,
dcesca,plssq,8000,500,23068672,1200000,240,27794,3925896,212226,1241739,521,
dcesca,plssq2,8000,500,23068672,1200000,16,10,93823,21648,55185,22,
dcesca,laset,8000,500,23068672,2801000,1040,1824,7198593,280201,3329777,1838,
dcesca,gesum,8000,500,23068672,2801000,256,8001716,321894665,174074997,283548854,129340,
dcesca,gessq,8000,500,23068672,2801000,256,5095415,1090409092,266646465,584341288,129384,
dcesca,geadd,8000,500,23068672,2801000,240,16020,2386335,162726,981427,262,
dcesca,cesca,8000,500,23068672,2801000,256,7699019,1475466362,25570829,413193513,128916,
dcesca,plssq,8000,500,23068672,2801000,240,27312,3931703,387246,1411881,506,
dcesca,plssq2,8000,500,23068672,2801000,16,16,93911,21878,55330,24,
dcesca,laset,8000,600,23068672,1200000,798,1864,6238885,206204,2888802,1396,
dcesca,gesum,8000,600,23068672,1200000,196,7986572,321646789,137819978,250495434,113265,
dcesca,gessq,8000,600,23068672,1200000,196,6079474,1090096650,258279782,575842848,113466,
dcesca,geadd,8000,600,23068672,1200000,182,14088,2055695,20351,728665,202,
dcesca,cesca,8000,600,23068672,1200000,196,7713142,1475018088,2430710,389893618,112897,
dcesca,plssq,8000,600,23068672,1200000,182,22252,3396046,173275,1048699,399,
dcesca,plssq2,8000,600,23068672,1200000,14,22,93009,21775,54486,20,
dcesca,laset,8000,600,23068672,2801000,798,1735,6255502,213108,2873926,1434,
dcesca,gesum,8000,600,23068672,2801000,196,7984486,321646588,169824740,279325850,112941,
dcesca,gessq,8000,600,23068672,2801000,196,6068522,1090096559,267131713,584697247,113241,
dcesca,geadd,8000,600,23068672,2801000,182,13512,2057314,90713,792028,209,
dcesca,cesca,8000,600,23068672,2801000,196,7715904,1475017856,25148036,412279179,112952,
dcesca,plssq,8000,600,23068672,2801000,182,21260,3397660,336176,1209991,380,
dcesca,plssq2,8000,600,23068672,2801000,14,26,93128,21789,54224,26,
dcesca,laset,8000,700,23068672,1200000,588,1622,5300536,207669,2396283,1046,
dcesca,gesum,8000,700,23068672,1200000,144,7963276,321401882,138278479,251301438,96780,
dcesca,gessq,8000,700,23068672,1200000,144,6822456,1089787265,259168264,576580553,96832,
dcesca,geadd,8000,700,23068672,1200000,132,11910,1730595,17881,606040,155,
dcesca,cesca,8000,700,23068672,1200000,144,7695125,1474573841,2004513,388945584,96495,
dcesca,plssq,8000,700,23068672,1200000,132,17109,2867174,150415,876577,277,
dcesca,plssq2,8000,700,23068672,1200000,12,15,92474,21984,53227,19,
dcesca,laset,8000,700,23068672,2801000,588,1503,5311845,194786,2410766,1150,
dcesca,gesum,8000,700,23068672,2801000,144,7963862,321401603,178760107,288361827,96972,
dcesca,gessq,8000,700,23068672,2801000,144,6816077,1089787012,267578142,584940975,97039,
dcesca,geadd,8000,700,23068672,2801000,132,11671,1729302,77587,660475,162,
dcesca,cesca,8000,700,23068672,2801000,144,7695791,1474573664,22749220,409386600,96720,
dcesca,plssq,8000,700,23068672,2801000,132,15220,2866060,289750,1015840,293,
dcesca,plssq2,8000,700,23068672,2801000,12,37,92411,22165,53993,28,
dcesca,laset,8000,800,23068672,1200000,410,1532,4371822,154535,1909890,732,
dcesca,gesum,8000,800,23068672,1200000,100,7934980,321160200,138490848,251824241,80589,
dcesca,gessq,8000,800,23068672,1200000,100,7487639,1089481199,260067137,577285844,80611,
dcesca,geadd,8000,800,23068672,1200000,90,9682,1405933,14972,487772,118,
dcesca,cesca,8000,800,23068672,1200000,100,7687145,1474134014,1710109,388130353,80369,
dcesca,plssq,8000,800,23068672,1200000,90,9694,2336304,112694,694743,205,
dcesca,plssq2,8000,800,23068672,1200000,10,14,91644,22146,52436,16,
