algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dcesca,12000,500,32,1,laset,10868807,11083101,1510814,1553378,0.121600
dcesca,12000,500,32,1,gesum,10868807,11083101,1510814,1553378,0.121600
dcesca,12000,500,32,1,gessq,10868807,11083101,1510814,1553378,0.121600
dcesca,12000,500,32,1,geadd,10868807,11083101,1510814,1553378,0.121600
dcesca,12000,500,32,1,cesca,10868807,11083101,1510814,1553378,0.121600
dcesca,12000,500,32,1,plssq,10868807,11083101,1510814,1553378,0.121600
dcesca,12000,500,32,1,plssq2,10868807,11083101,1510814,1553378,0.121600
dcesca,12000,500,32,2,laset,8613442,8499856,1421952,1557081,0.105000
dcesca,12000,500,32,2,gesum,8613442,8499856,1421952,1557081,0.105000
dcesca,12000,500,32,2,gessq,8613442,8499856,1421952,1557081,0.105000
dcesca,12000,500,32,2,geadd,8613442,8499856,1421952,1557081,0.105000
dcesca,12000,500,32,2,cesca,8613442,8499856,1421952,1557081,0.105000
dcesca,12000,500,32,2,plssq,8613442,8499856,1421952,1557081,0.105000
dcesca,12000,500,32,2,plssq2,8613442,8499856,1421952,1557081,0.105000
dcesca,12000,500,32,3,laset,8361001,8226236,1510615,1463108,0.083800
dcesca,12000,500,32,3,gesum,8361001,8226236,1510615,1463108,0.083800
dcesca,12000,500,32,3,gessq,8361001,8226236,1510615,1463108,0.083800
dcesca,12000,500,32,3,geadd,8361001,8226236,1510615,1463108,0.083800
dcesca,12000,500,32,3,cesca,8361001,8226236,1510615,1463108,0.083800
dcesca,12000,500,32,3,plssq,8361001,8226236,1510615,1463108,0.083800
dcesca,12000,500,32,3,plssq2,8361001,8226236,1510615,1463108,0.083800
dcesca,12000,500,32,4,laset,8927712,8898537,1629128,1475961,0.096200
dcesca,12000,500,32,4,gesum,8927712,8898537,1629128,1475961,0.096200
dcesca,12000,500,32,4,gessq,8927712,8898537,1629128,1475961,0.096200
dcesca,12000,500,32,4,geadd,8927712,8898537,1629128,1475961,0.096200
dcesca,12000,500,32,4,cesca,8927712,8898537,1629128,1475961,0.096200
