algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
dgesv_nopiv,getrfnpiv,12288,512,23068672,1200000,24,53070,522693691,234969379,56087578,
dgesv_nopiv,trsm,12288,512,23068672,1200000,600,44148014,18735168696,9382328680,3207432200,
dgesv_nopiv,gemm,12288,512,23068672,1200000,4876,510040645,133308552046,42999449528,9062294853,
dgesv_nopiv,getrfnpiv,12288,512,23068672,2801000,24,39060,522693675,243793479,64452688,
dgesv_nopiv,trsm,12288,512,23068672,2801000,600,42805421,18735164228,9776441476,3556562501,
dgesv_nopiv,gemm,12288,512,23068672,2801000,4876,486577887,133308544144,46602191613,12648989234,
dgesv_nopiv,getrfnpiv,12288,768,23068672,1200000,16,197683,965708279,392824789,79937000,
dgesv_nopiv,trsm,12288,768,23068672,1200000,272,44456170,23178073911,11125036563,3757278911,
dgesv_nopiv,gemm,12288,768,23068672,1200000,1480,366634175,127074134829,38469512056,6425235199,
dgesv_nopiv,getrfnpiv,12288,768,23068672,2801000,16,181297,965708102,412326637,98587122,
dgesv_nopiv,trsm,12288,768,23068672,2801000,272,42657136,23178071830,11556782471,4198649311,
dgesv_nopiv,gemm,12288,768,23068672,2801000,1480,358063213,127074127311,40749894401,8654042792,
dgesv_nopiv,getrfnpiv,12288,1024,23068672,1200000,12,404547,1537914150,661380799,174757692,
dgesv_nopiv,trsm,12288,1024,23068672,1200000,156,49595328,26219880081,11760874426,3743867523,
dgesv_nopiv,gemm,12288,1024,23068672,1200000,638,355879977,122782645608,38042570277,6906503287,
dgesv_nopiv,getrfnpiv,12288,1024,23068672,2801000,12,407067,1537914040,699872879,211905860,
dgesv_nopiv,trsm,12288,1024,23068672,2801000,156,47713236,26219879453,12142188910,4085030039,
dgesv_nopiv,gemm,12288,1024,23068672,2801000,638,337981874,122782641495,40070728822,8894783711,
dgesv_nopiv,getrfnpiv,16384,512,23068672,1200000,32,52258,696920821,312703342,74306500,
dgesv_nopiv,trsm,16384,512,23068672,1200000,1056,81858040,33659610102,16779791095,5609923143,
dgesv_nopiv,gemm,16384,512,23068672,1200000,11408,1216625970,321098921142,103443571107,21709403192,
dgesv_nopiv,getrfnpiv,16384,512,23068672,2801000,32,49346,696920759,325565881,85869265,
dgesv_nopiv,trsm,16384,512,23068672,2801000,1056,80244883,33659612998,17552628816,6385337215,
dgesv_nopiv,gemm,16384,512,23068672,2801000,11408,1176348533,321098878155,111995703834,30221900637,
dgesv_nopiv,getrfnpiv,16384,768,23068672,1200000,22,243749,1271760340,517878401,105294740,
dgesv_nopiv,trsm,16384,768,23068672,1200000,506,79503682,41939448693,20133429622,6798057205,
dgesv_nopiv,gemm,16384,768,23068672,1200000,3773,882672705,308978086149,93665300758,15657182248,
dgesv_nopiv,getrfnpiv,16384,768,23068672,2801000,22,243392,1271760045,545337299,131937617,
dgesv_nopiv,trsm,16384,768,23068672,2801000,506,78598945,41939446634,20989965862,7739680054,
dgesv_nopiv,gemm,16384,768,23068672,2801000,3773,873908824,308978065869,99222362268,21195702628,
dgesv_nopiv,getrfnpiv,16384,1024,23068672,1200000,16,577383,2050547879,879020087,230308301,
dgesv_nopiv,trsm,16384,1024,23068672,1200000,272,89174679,47659256767,21294007136,6564999276,
dgesv_nopiv,gemm,16384,1024,23068672,1200000,1480,872093040,300807465592,93068733305,16792078459,
dgesv_nopiv,getrfnpiv,16384,1024,23068672,2801000,16,411398,2050547797,931303209,281487933,
dgesv_nopiv,trsm,16384,1024,23068672,2801000,272,87659925,47659254163,22048079739,7391825927,
dgesv_nopiv,gemm,16384,1024,23068672,2801000,1480,838694421,300807453304,97972971704,21588569850,
