algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCR,PAPI_L3_TCW,
dgesv_nopiv,getrfnpiv,12288,512,23068672,1200000,24,6638464,56555,
dgesv_nopiv,trsm,12288,512,23068672,1200000,600,117099809,4275473,
dgesv_nopiv,gemm,12288,512,23068672,1200000,4876,1494600619,7326094,
dgesv_nopiv,getrfnpiv,12288,512,23068672,2801000,24,6523566,94977,
dgesv_nopiv,trsm,12288,512,23068672,2801000,600,110721713,8216937,
dgesv_nopiv,gemm,12288,512,23068672,2801000,4876,1434389003,10510143,
dgesv_nopiv,getrfnpiv,12288,768,23068672,1200000,16,15043613,60301,
dgesv_nopiv,trsm,12288,768,23068672,1200000,272,146634305,3995996,
dgesv_nopiv,gemm,12288,768,23068672,1200000,1480,1086883733,11524037,
dgesv_nopiv,getrfnpiv,12288,768,23068672,2801000,16,14624377,102978,
dgesv_nopiv,trsm,12288,768,23068672,2801000,272,139593920,7252927,
dgesv_nopiv,gemm,12288,768,23068672,2801000,1480,1055705081,13143495,
dgesv_nopiv,getrfnpiv,12288,1024,23068672,1200000,12,28034181,140867,
dgesv_nopiv,trsm,12288,1024,23068672,1200000,156,172145462,4100792,
dgesv_nopiv,gemm,12288,1024,23068672,1200000,638,1086859657,8273228,
dgesv_nopiv,getrfnpiv,12288,1024,23068672,2801000,12,27611832,203754,
dgesv_nopiv,trsm,12288,1024,23068672,2801000,156,164475223,8142722,
dgesv_nopiv,gemm,12288,1024,23068672,2801000,638,1064914660,10172592,
dgesv_nopiv,getrfnpiv,16384,512,23068672,1200000,32,8827051,74954,
dgesv_nopiv,trsm,16384,512,23068672,1200000,1056,209464344,7919567,
dgesv_nopiv,gemm,16384,512,23068672,1200000,11408,3582642416,16796982,
dgesv_nopiv,getrfnpiv,16384,512,23068672,2801000,32,8716021,120973,
dgesv_nopiv,trsm,16384,512,23068672,2801000,1056,198273510,14637166,
dgesv_nopiv,gemm,16384,512,23068672,2801000,11408,3439876582,24702909,
dgesv_nopiv,getrfnpiv,16384,768,23068672,1200000,22,19622014,107995,
dgesv_nopiv,trsm,16384,768,23068672,1200000,506,266274073,7309946,
dgesv_nopiv,gemm,16384,768,23068672,1200000,3773,2663832897,29112914,
dgesv_nopiv,getrfnpiv,16384,768,23068672,2801000,22,19364993,120035,
dgesv_nopiv,trsm,16384,768,23068672,2801000,506,253719544,13087788,
dgesv_nopiv,gemm,16384,768,23068672,2801000,3773,2581517328,33911112,
dgesv_nopiv,getrfnpiv,16384,1024,23068672,1200000,16,37558785,185186,
dgesv_nopiv,trsm,16384,1024,23068672,1200000,272,311445551,7447285,
dgesv_nopiv,gemm,16384,1024,23068672,1200000,1480,2639180619,19492412,
dgesv_nopiv,getrfnpiv,16384,1024,23068672,2801000,16,36888349,265003,
dgesv_nopiv,trsm,16384,1024,23068672,2801000,272,297653799,14805468,
dgesv_nopiv,gemm,16384,1024,23068672,2801000,1480,2586196119,23794918,
