algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_VEC_DP
dgesv_nopiv,getrfnpiv,12288,512,23068672,1200000,24,53070,522693691,234969379,56087578,11900204,6600808,6638464,56555,318852144
dgesv_nopiv,trsm,12288,512,23068672,1200000,600,44148014,18735168696,9382328680,3207432200,1119153392,90186354,117099809,4275473,10446589056
dgesv_nopiv,gemm,12288,512,23068672,1200000,4876,510040645,133308552046,42999449528,9062294853,1093974222,881855020,1494600619,7326094,145692419552
dgesv_nopiv,getrfnpiv,12288,512,23068672,2801000,24,39060,522693675,243793479,64452688,11426249,6655666,6523566,94977,318852144
dgesv_nopiv,trsm,12288,512,23068672,2801000,600,42805421,18735164228,9776441476,3556562501,1122460094,79186838,110721713,8216937,10446589056
dgesv_nopiv,gemm,12288,512,23068672,2801000,4876,486577887,133308544144,46602191613,12648989234,1102807867,874854424,1434389003,10510143,145692419552
dgesv_nopiv,getrfnpiv,12288,768,23068672,1200000,16,197683,965708279,392824789,79937000,13098719,5286756,15043613,60301,683267936
dgesv_nopiv,trsm,12288,768,23068672,1200000,272,44456170,23178073911,11125036563,3757278911,1320587209,90788462,146634305,3995996,14759383808
dgesv_nopiv,gemm,12288,768,23068672,1200000,1480,366634175,127074134829,38469512056,6425235199,350807136,350771470,1086883733,11524037,140826452800
dgesv_nopiv,getrfnpiv,12288,768,23068672,2801000,16,181297,965708102,412326637,98587122,12757704,5652492,14624377,102978,683267936
dgesv_nopiv,trsm,12288,768,23068672,2801000,272,42657136,23178071830,11556782471,4198649311,1311736071,83249848,139593920,7252927,14759383808
dgesv_nopiv,gemm,12288,768,23068672,2801000,1480,358063213,127074127311,40749894401,8654042792,356340056,346214778,1055705081,13143495,140826452800
dgesv_nopiv,getrfnpiv,12288,1024,23068672,1200000,12,404547,1537914150,661380799,174757692,28916710,22491228,28034181,140867,1184667048
dgesv_nopiv,trsm,12288,1024,23068672,1200000,156,49595328,26219880081,11760874426,3743867523,1224147107,103503568,172145462,4100792,18874284000
dgesv_nopiv,gemm,12288,1024,23068672,1200000,638,355879977,122782645608,38042570277,6906503287,602337711,520248604,1086859657,8273228,136260982264
dgesv_nopiv,getrfnpiv,12288,1024,23068672,2801000,12,407067,1537914040,699872879,211905860,27217517,23339578,27611832,203754,1184667048
dgesv_nopiv,trsm,12288,1024,23068672,2801000,156,47713236,26219879453,12142188910,4085030039,1224835230,92964338,164475223,8142722,18874284000
dgesv_nopiv,gemm,12288,1024,23068672,2801000,638,337981874,122782641495,40070728822,8894783711,615286252,513842298,1064914660,10172592,136260982264
dgesv_nopiv,getrfnpiv,16384,512,23068672,1200000,32,52258,696920821,312703342,74306500,15901837,8532722,8827051,74954,425136192
dgesv_nopiv,trsm,16384,512,23068672,1200000,1056,81858040,33659610102,16779791095,5609923143,2023301841,159745834,209464344,7919567,18772682240
dgesv_nopiv,gemm,16384,512,23068672,1200000,11408,1216625970,321098921142,103443571107,21709403192,2626289517,2128476635,3582642416,16796982,350933455488
dgesv_nopiv,getrfnpiv,16384,512,23068672,2801000,32,49346,696920759,325565881,85869265,15257926,9136552,8716021,120973,425136192
dgesv_nopiv,trsm,16384,512,23068672,2801000,1056,80244883,33659612998,17552628816,6385337215,2018148347,139556648,198273510,14637166,18772682240
dgesv_nopiv,gemm,16384,512,23068672,2801000,11408,1176348533,321098878155,111995703834,30221900637,2638772385,2112400510,3439876582,24702909,350933455488
dgesv_nopiv,getrfnpiv,16384,768,23068672,1200000,22,243749,1271760340,517878401,105294740,17349550,7103673,19622014,107995,898694844
dgesv_nopiv,trsm,16384,768,23068672,1200000,506,79503682,41939448693,20133429622,6798057205,2392719453,161933818,266274073,7309946,26688569448
dgesv_nopiv,gemm,16384,768,23068672,1200000,3773,882672705,308978086149,93665300758,15657182248,861536040,894057358,2663832897,29112914,342087839576
dgesv_nopiv,getrfnpiv,16384,768,23068672,2801000,22,243392,1271760045,545337299,131937617,17027612,6793252,19364993,120035,898694844
dgesv_nopiv,trsm,16384,768,23068672,2801000,506,78598945,41939446634,20989965862,7739680054,2386000265,145844758,253719544,13087788,26688569448
dgesv_nopiv,gemm,16384,768,23068672,2801000,3773,873908824,308978065869,99222362268,21195702628,867622985,878964863,2581517328,33911112,342087839576
dgesv_nopiv,getrfnpiv,16384,1024,23068672,1200000,16,577383,2050547879,879020087,230308301,38450731,30148976,37558785,185186,1579556064
dgesv_nopiv,trsm,16384,1024,23068672,1200000,272,89174679,47659256767,21294007136,6564999276,2225455445,188786854,311445551,7447285,34315176576
dgesv_nopiv,gemm,16384,1024,23068672,1200000,1480,872093040,300807465592,93068733305,16792078459,1455222514,1252857074,2639180619,19492412,333898245920
dgesv_nopiv,getrfnpiv,16384,1024,23068672,2801000,16,411398,2050547797,931303209,281487933,36235457,31121298,36888349,265003,1579556064
dgesv_nopiv,trsm,16384,1024,23068672,2801000,272,87659925,47659254163,22048079739,7391825927,2220092335,168717922,297653799,14805468,34315176576
dgesv_nopiv,gemm,16384,1024,23068672,2801000,1480,838694421,300807453304,97972971704,21588569850,1487154092,1240728814,2586196119,23794918,333898245920
