algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
dgesv_nopiv,getrfnpiv,12288,512,23068672,1200000,24,318852144,
dgesv_nopiv,trsm,12288,512,23068672,1200000,600,10446589056,
dgesv_nopiv,gemm,12288,512,23068672,1200000,4876,145692419552,
dgesv_nopiv,getrfnpiv,12288,512,23068672,2801000,24,318852144,
dgesv_nopiv,trsm,12288,512,23068672,2801000,600,10446589056,
dgesv_nopiv,gemm,12288,512,23068672,2801000,4876,145692419552,
dgesv_nopiv,getrfnpiv,12288,768,23068672,1200000,16,683267936,
dgesv_nopiv,trsm,12288,768,23068672,1200000,272,14759383808,
dgesv_nopiv,gemm,12288,768,23068672,1200000,1480,140826452800,
dgesv_nopiv,getrfnpiv,12288,768,23068672,2801000,16,683267936,
dgesv_nopiv,trsm,12288,768,23068672,2801000,272,14759383808,
dgesv_nopiv,gemm,12288,768,23068672,2801000,1480,140826452800,
dgesv_nopiv,getrfnpiv,12288,1024,23068672,1200000,12,1184667048,
dgesv_nopiv,trsm,12288,1024,23068672,1200000,156,18874284000,
dgesv_nopiv,gemm,12288,1024,23068672,1200000,638,136260982264,
dgesv_nopiv,getrfnpiv,12288,1024,23068672,2801000,12,1184667048,
dgesv_nopiv,trsm,12288,1024,23068672,2801000,156,18874284000,
dgesv_nopiv,gemm,12288,1024,23068672,2801000,638,136260982264,
dgesv_nopiv,getrfnpiv,16384,512,23068672,1200000,32,425136192,
dgesv_nopiv,trsm,16384,512,23068672,1200000,1056,18772682240,
dgesv_nopiv,gemm,16384,512,23068672,1200000,11408,350933455488,
dgesv_nopiv,getrfnpiv,16384,512,23068672,2801000,32,425136192,
dgesv_nopiv,trsm,16384,512,23068672,2801000,1056,18772682240,
dgesv_nopiv,gemm,16384,512,23068672,2801000,11408,350933455488,
dgesv_nopiv,getrfnpiv,16384,768,23068672,1200000,22,898694844,
dgesv_nopiv,trsm,16384,768,23068672,1200000,506,26688569448,
dgesv_nopiv,gemm,16384,768,23068672,1200000,3773,342087839576,
dgesv_nopiv,getrfnpiv,16384,768,23068672,2801000,22,898694844,
dgesv_nopiv,trsm,16384,768,23068672,2801000,506,26688569448,
dgesv_nopiv,gemm,16384,768,23068672,2801000,3773,342087839576,
dgesv_nopiv,getrfnpiv,16384,1024,23068672,1200000,16,1579556064,
dgesv_nopiv,trsm,16384,1024,23068672,1200000,272,34315176576,
dgesv_nopiv,gemm,16384,1024,23068672,1200000,1480,333898245920,
dgesv_nopiv,getrfnpiv,16384,1024,23068672,2801000,16,1579556064,
dgesv_nopiv,trsm,16384,1024,23068672,2801000,272,34315176576,
dgesv_nopiv,gemm,16384,1024,23068672,2801000,1480,333898245920,
