algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dgesv_nopiv,32768,512,32,1,getrfnpiv,3493265960,3507136346,407376852,457271146,23.366700
dgesv_nopiv,32768,512,32,1,trsm,3493265960,3507136346,407376852,457271146,23.366700
dgesv_nopiv,32768,512,32,1,gemm,3493265960,3507136346,407376852,457271146,23.366700
dgesv_nopiv,32768,512,32,2,getrfnpiv,3474534379,3479690310,412857801,452491380,23.300800
dgesv_nopiv,32768,512,32,2,trsm,3474534379,3479690310,412857801,452491380,23.300800
dgesv_nopiv,32768,512,32,2,gemm,3474534379,3479690310,412857801,452491380,23.300800
dgesv_nopiv,32768,512,32,3,getrfnpiv,3491106419,3501671273,427750010,438928711,23.599000
dgesv_nopiv,32768,512,32,3,trsm,3491106419,3501671273,427750010,438928711,23.599000
dgesv_nopiv,32768,512,32,3,gemm,3491106419,3501671273,427750010,438928711,23.599000
dgesv_nopiv,32768,512,32,4,getrfnpiv,3501680367,3516743438,420079646,447543544,23.710200
dgesv_nopiv,32768,512,32,4,trsm,3501680367,3516743438,420079646,447543544,23.710200
dgesv_nopiv,32768,512,32,4,gemm,3501680367,3516743438,420079646,447543544,23.710200
dgesv_nopiv,32768,512,32,5,getrfnpiv,2792635673,2795412643,455998569,469498034,25.921100
dgesv_nopiv,32768,512,32,5,trsm,2792635673,2795412643,455998569,469498034,25.921100
dgesv_nopiv,32768,512,32,5,gemm,2792635673,2795412643,455998569,469498034,25.921100
dgesv_nopiv,32768,512,32,6,getrfnpiv,2799041906,2796390058,460871710,465324133,26.143100
dgesv_nopiv,32768,512,32,6,trsm,2799041906,2796390058,460871710,465324133,26.143100
dgesv_nopiv,32768,512,32,6,gemm,2799041906,2796390058,460871710,465324133,26.143100
dgesv_nopiv,32768,512,32,7,getrfnpiv,2784146987,2825047578,443378532,499463237,26.810900
dgesv_nopiv,32768,512,32,7,trsm,2784146987,2825047578,443378532,499463237,26.810900
dgesv_nopiv,32768,512,32,7,gemm,2784146987,2825047578,443378532,499463237,26.810900
dgesv_nopiv,32768,512,32,8,getrfnpiv,2793727528,2822937232,447231929,493053425,26.794600
dgesv_nopiv,32768,512,32,8,trsm,2793727528,2822937232,447231929,493053425,26.794600
dgesv_nopiv,32768,512,32,8,gemm,2793727528,2822937232,447231929,493053425,26.794600
dgesv_nopiv,32768,768,32,1,getrfnpiv,3231125701,3241830873,379672958,415410484,21.641000
dgesv_nopiv,32768,768,32,1,trsm,3231125701,3241830873,379672958,415410484,21.641000
dgesv_nopiv,32768,768,32,1,gemm,3231125701,3241830873,379672958,415410484,21.641000
dgesv_nopiv,32768,768,32,2,getrfnpiv,3214001599,3212909560,390165744,402087703,21.622500
dgesv_nopiv,32768,768,32,2,trsm,3214001599,3212909560,390165744,402087703,21.622500
dgesv_nopiv,32768,768,32,2,gemm,3214001599,3212909560,390165744,402087703,21.622500
dgesv_nopiv,32768,768,32,3,getrfnpiv,3251102395,3254775359,390409488,411588972,22.120800
dgesv_nopiv,32768,768,32,3,trsm,3251102395,3254775359,390409488,411588972,22.120800
dgesv_nopiv,32768,768,32,3,gemm,3251102395,3254775359,390409488,411588972,22.120800
