algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L2_TCR,PAPI_L2_TCW,
dgetrf_nopiv,getrfnpiv,12288,512,23068672,1200000,24,11836405,6632730,
dgetrf_nopiv,trsm,12288,512,23068672,1200000,552,1123701510,87880992,
dgetrf_nopiv,gemm,12288,512,23068672,1200000,4324,1067572834,880015552,
dgetrf_nopiv,getrfnpiv,12288,512,23068672,2801000,24,11424595,6802850,
dgetrf_nopiv,trsm,12288,512,23068672,2801000,552,1122253271,78421302,
dgetrf_nopiv,gemm,12288,512,23068672,2801000,4324,1080429739,876432658,
dgetrf_nopiv,getrfnpiv,12288,768,23068672,1200000,16,13040298,5845910,
dgetrf_nopiv,trsm,12288,768,23068672,1200000,240,1311595652,89373386,
dgetrf_nopiv,gemm,12288,768,23068672,1200000,1240,326804720,352030308,
dgetrf_nopiv,getrfnpiv,12288,768,23068672,2801000,16,12895575,4859599,
dgetrf_nopiv,trsm,12288,768,23068672,2801000,240,1312326272,80183144,
dgetrf_nopiv,gemm,12288,768,23068672,2801000,1240,332460485,347693265,
dgetrf_nopiv,getrfnpiv,12288,1024,23068672,1200000,12,28876960,22468090,
dgetrf_nopiv,trsm,12288,1024,23068672,1200000,132,1217644481,100013710,
dgetrf_nopiv,gemm,12288,1024,23068672,1200000,506,566122915,487322222,
dgetrf_nopiv,getrfnpiv,12288,1024,23068672,2801000,12,27197723,23463144,
dgetrf_nopiv,trsm,12288,1024,23068672,2801000,132,1214482640,89149116,
dgetrf_nopiv,gemm,12288,1024,23068672,2801000,506,578592432,483635110,
dgetrf_nopiv,getrfnpiv,16384,512,23068672,1200000,32,15636577,9403912,
dgetrf_nopiv,trsm,16384,512,23068672,1200000,992,2021971163,157857996,
dgetrf_nopiv,gemm,16384,512,23068672,1200000,10416,2573682964,2120062685,
dgetrf_nopiv,getrfnpiv,16384,512,23068672,2801000,32,15262384,8847018,
dgetrf_nopiv,trsm,16384,512,23068672,2801000,992,2015419637,141953560,
dgetrf_nopiv,gemm,16384,512,23068672,2801000,10416,2597992279,2118884426,
dgetrf_nopiv,getrfnpiv,16384,768,23068672,1200000,22,17380752,7110112,
dgetrf_nopiv,trsm,16384,768,23068672,1200000,462,2376744879,159981762,
dgetrf_nopiv,gemm,16384,768,23068672,1200000,3311,814881976,896661792,
dgetrf_nopiv,getrfnpiv,16384,768,23068672,2801000,22,17038575,6813130,
dgetrf_nopiv,trsm,16384,768,23068672,2801000,462,2377597130,143994420,
dgetrf_nopiv,gemm,16384,768,23068672,2801000,3311,829271840,882990695,
dgetrf_nopiv,getrfnpiv,16384,1024,23068672,1200000,16,38509957,30032546,
dgetrf_nopiv,trsm,16384,1024,23068672,1200000,240,2219860115,179447764,
dgetrf_nopiv,gemm,16384,1024,23068672,1200000,1240,1387236166,1194469072,
dgetrf_nopiv,getrfnpiv,16384,1024,23068672,2801000,16,36217264,31145142,
dgetrf_nopiv,trsm,16384,1024,23068672,2801000,240,2218869782,165644978,
dgetrf_nopiv,gemm,16384,1024,23068672,2801000,1240,1421315535,1185925686,
