algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_VEC_DP
dgetrf_nopiv,getrfnpiv,12288,512,23068672,1200000,24,46982,522693746,234667940,55761518,11836405,6632730,6642086,57478,318852144
dgetrf_nopiv,trsm,12288,512,23068672,1200000,552,43535642,18714936141,9323349766,3112981106,1123701510,87880992,115624011,4238953,10444652544
dgetrf_nopiv,gemm,12288,512,23068672,1200000,4324,502169073,133266928369,42790597995,8874014052,1067572834,880015552,1472397316,6768114,145656136592
dgetrf_nopiv,getrfnpiv,12288,512,23068672,2801000,24,47743,522693622,244223530,64832217,11424595,6802850,6501426,92417,318852144
dgetrf_nopiv,trsm,12288,512,23068672,2801000,552,42511696,18714931443,9732355461,3523718540,1122253271,78421302,109249421,8125607,10444652544
dgetrf_nopiv,gemm,12288,512,23068672,2801000,4324,481211705,133266917323,46148084408,12210378565,1080429739,876432658,1412774015,9688858,145656136592
dgetrf_nopiv,getrfnpiv,12288,768,23068672,1200000,16,207201,965708413,393147462,80184251,13040298,5845910,14970971,87537,683267936
dgetrf_nopiv,trsm,12288,768,23068672,1200000,240,43847626,23152605259,11155687460,3702781171,1311595652,89373386,144808948,3835095,14756659200
dgetrf_nopiv,gemm,12288,768,23068672,1200000,1240,357362659,127033803376,38271136293,6243438291,326804720,352030308,1065260608,10929892,140790993760
dgetrf_nopiv,getrfnpiv,12288,768,23068672,2801000,16,179619,965708004,412806857,99071413,12895575,4859599,14681914,102102,683267936
dgetrf_nopiv,trsm,12288,768,23068672,2801000,240,41858751,23152603475,11565689436,4250009969,1312326272,80183144,137898521,7056085,14756659200
dgetrf_nopiv,gemm,12288,768,23068672,2801000,1240,349012929,127033796034,40289868432,8214841578,332460485,347693265,1033184776,12281322,140790993760
dgetrf_nopiv,getrfnpiv,12288,1024,23068672,1200000,12,488742,1537913705,660245837,173773381,28876960,22468090,28189035,139608,1184667048
dgetrf_nopiv,trsm,12288,1024,23068672,1200000,132,48854950,26192548595,11680560364,3624765720,1217644481,100013710,169397448,3975072,18870770688
dgetrf_nopiv,gemm,12288,1024,23068672,1200000,506,349015990,122651699229,37805609395,6708247820,566122915,487322222,1056435094,6751972,136226277352
dgetrf_nopiv,getrfnpiv,12288,1024,23068672,2801000,12,351667,1537914044,699840242,211589628,27197723,23463144,27758237,203980,1184667048
dgetrf_nopiv,trsm,12288,1024,23068672,2801000,132,46990172,26192548446,12088808068,4033559336,1214482640,89149116,161833066,7960727,18870770688
dgetrf_nopiv,gemm,12288,1024,23068672,2801000,506,329270026,122651693692,39686700419,8547699966,578592432,483635110,1037382231,8229752,136226277352
dgetrf_nopiv,getrfnpiv,16384,512,23068672,1200000,32,55029,696920220,313775451,75170733,15636577,9403912,8861396,75721,425136192
dgetrf_nopiv,trsm,16384,512,23068672,1200000,992,82333156,33632622915,16757775920,5595909770,2021971163,157857996,207371357,7960540,18770100224
dgetrf_nopiv,gemm,16384,512,23068672,1200000,10416,1201358752,321024124890,103028089969,21393124622,2573682964,2120062685,3542650447,15673349,350868251328
dgetrf_nopiv,getrfnpiv,16384,512,23068672,2801000,32,49833,696920686,325132858,85898650,15262384,8847018,8742530,123686,425136192
dgetrf_nopiv,trsm,16384,512,23068672,2801000,992,79514984,33632638501,17513817041,6356048703,2015419637,141953560,196518719,14545428,18770100224
dgetrf_nopiv,gemm,16384,512,23068672,2801000,10416,1157240328,321024115402,111153263269,29401586800,2597992279,2118884426,3399373444,22817657,350868251328
dgetrf_nopiv,getrfnpiv,16384,768,23068672,1200000,22,211261,1271760020,517222271,105074204,17380752,7110112,19717206,99646,898694844
dgetrf_nopiv,trsm,16384,768,23068672,1200000,462,78827681,41905709585,20112146253,6736975489,2376744879,159981762,263535956,7054539,26684969472
dgetrf_nopiv,gemm,16384,768,23068672,1200000,3311,868506187,308905114241,93267908363,15367774432,814881976,896661792,2622024691,27323640,342023713724
dgetrf_nopiv,getrfnpiv,16384,768,23068672,2801000,22,217115,1271760168,544609466,131103595,17038575,6813130,19289857,117030,898694844
dgetrf_nopiv,trsm,16384,768,23068672,2801000,462,76845195,41905708027,20861718241,7551737113,2377597130,143994420,251373402,12923199,26684969472
dgetrf_nopiv,gemm,16384,768,23068672,2801000,3311,852140299,308905100639,98382999863,20372810182,829271840,882990695,2544783907,31610832,342023713724
dgetrf_nopiv,getrfnpiv,16384,1024,23068672,1200000,16,609810,2050547353,878659514,230180789,38509957,30032546,37297289,185500,1579556064
dgetrf_nopiv,trsm,16384,1024,23068672,1200000,240,87957905,47622816919,21241684407,6597621723,2219860115,179447764,307588782,7182728,34310492160
dgetrf_nopiv,gemm,16384,1024,23068672,1200000,1240,852096285,300569380052,92635386614,16433161917,1387236166,1194469072,2579130861,16531146,333835146080
dgetrf_nopiv,getrfnpiv,16384,1024,23068672,2801000,16,413090,2050547812,929976494,280153482,36217264,31145142,36688975,269198,1579556064
dgetrf_nopiv,trsm,16384,1024,23068672,2801000,240,85205112,47622813483,21982826522,7331388358,2218869782,165644978,293860054,14622857,34310492160
dgetrf_nopiv,gemm,16384,1024,23068672,2801000,1240,813629524,300569364866,97282774508,20972378062,1421315535,1185925686,2534725843,20366711,333835146080
