algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
dgetrf_nopiv,getrfnpiv,12288,512,23068672,1200000,24,46982,522693746,234667940,55761518,
dgetrf_nopiv,trsm,12288,512,23068672,1200000,552,43535642,18714936141,9323349766,3112981106,
dgetrf_nopiv,gemm,12288,512,23068672,1200000,4324,502169073,133266928369,42790597995,8874014052,
dgetrf_nopiv,getrfnpiv,12288,512,23068672,2801000,24,47743,522693622,244223530,64832217,
dgetrf_nopiv,trsm,12288,512,23068672,2801000,552,42511696,18714931443,9732355461,3523718540,
dgetrf_nopiv,gemm,12288,512,23068672,2801000,4324,481211705,133266917323,46148084408,12210378565,
dgetrf_nopiv,getrfnpiv,12288,768,23068672,1200000,16,207201,965708413,393147462,80184251,
dgetrf_nopiv,trsm,12288,768,23068672,1200000,240,43847626,23152605259,11155687460,3702781171,
dgetrf_nopiv,gemm,12288,768,23068672,1200000,1240,357362659,127033803376,38271136293,6243438291,
dgetrf_nopiv,getrfnpiv,12288,768,23068672,2801000,16,179619,965708004,412806857,99071413,
dgetrf_nopiv,trsm,12288,768,23068672,2801000,240,41858751,23152603475,11565689436,4250009969,
dgetrf_nopiv,gemm,12288,768,23068672,2801000,1240,349012929,127033796034,40289868432,8214841578,
dgetrf_nopiv,getrfnpiv,12288,1024,23068672,1200000,12,488742,1537913705,660245837,173773381,
dgetrf_nopiv,trsm,12288,1024,23068672,1200000,132,48854950,26192548595,11680560364,3624765720,
dgetrf_nopiv,gemm,12288,1024,23068672,1200000,506,349015990,122651699229,37805609395,6708247820,
dgetrf_nopiv,getrfnpiv,12288,1024,23068672,2801000,12,351667,1537914044,699840242,211589628,
dgetrf_nopiv,trsm,12288,1024,23068672,2801000,132,46990172,26192548446,12088808068,4033559336,
dgetrf_nopiv,gemm,12288,1024,23068672,2801000,506,329270026,122651693692,39686700419,8547699966,
dgetrf_nopiv,getrfnpiv,16384,512,23068672,1200000,32,55029,696920220,313775451,75170733,
dgetrf_nopiv,trsm,16384,512,23068672,1200000,992,82333156,33632622915,16757775920,5595909770,
dgetrf_nopiv,gemm,16384,512,23068672,1200000,10416,1201358752,321024124890,103028089969,21393124622,
dgetrf_nopiv,getrfnpiv,16384,512,23068672,2801000,32,49833,696920686,325132858,85898650,
dgetrf_nopiv,trsm,16384,512,23068672,2801000,992,79514984,33632638501,17513817041,6356048703,
dgetrf_nopiv,gemm,16384,512,23068672,2801000,10416,1157240328,321024115402,111153263269,29401586800,
dgetrf_nopiv,getrfnpiv,16384,768,23068672,1200000,22,211261,1271760020,517222271,105074204,
dgetrf_nopiv,trsm,16384,768,23068672,1200000,462,78827681,41905709585,20112146253,6736975489,
dgetrf_nopiv,gemm,16384,768,23068672,1200000,3311,868506187,308905114241,93267908363,15367774432,
dgetrf_nopiv,getrfnpiv,16384,768,23068672,2801000,22,217115,1271760168,544609466,131103595,
dgetrf_nopiv,trsm,16384,768,23068672,2801000,462,76845195,41905708027,20861718241,7551737113,
dgetrf_nopiv,gemm,16384,768,23068672,2801000,3311,852140299,308905100639,98382999863,20372810182,
dgetrf_nopiv,getrfnpiv,16384,1024,23068672,1200000,16,609810,2050547353,878659514,230180789,
dgetrf_nopiv,trsm,16384,1024,23068672,1200000,240,87957905,47622816919,21241684407,6597621723,
dgetrf_nopiv,gemm,16384,1024,23068672,1200000,1240,852096285,300569380052,92635386614,16433161917,
dgetrf_nopiv,getrfnpiv,16384,1024,23068672,2801000,16,413090,2050547812,929976494,280153482,
dgetrf_nopiv,trsm,16384,1024,23068672,2801000,240,85205112,47622813483,21982826522,7331388358,
dgetrf_nopiv,gemm,16384,1024,23068672,2801000,1240,813629524,300569364866,97282774508,20972378062,
