algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
dgetrf_nopiv,getrfnpiv,12288,512,23068672,1200000,24,318852144,
dgetrf_nopiv,trsm,12288,512,23068672,1200000,552,10444652544,
dgetrf_nopiv,gemm,12288,512,23068672,1200000,4324,145656136592,
dgetrf_nopiv,getrfnpiv,12288,512,23068672,2801000,24,318852144,
dgetrf_nopiv,trsm,12288,512,23068672,2801000,552,10444652544,
dgetrf_nopiv,gemm,12288,512,23068672,2801000,4324,145656136592,
dgetrf_nopiv,getrfnpiv,12288,768,23068672,1200000,16,683267936,
dgetrf_nopiv,trsm,12288,768,23068672,1200000,240,14756659200,
dgetrf_nopiv,gemm,12288,768,23068672,1200000,1240,140790993760,
dgetrf_nopiv,getrfnpiv,12288,768,23068672,2801000,16,683267936,
dgetrf_nopiv,trsm,12288,768,23068672,2801000,240,14756659200,
dgetrf_nopiv,gemm,12288,768,23068672,2801000,1240,140790993760,
dgetrf_nopiv,getrfnpiv,12288,1024,23068672,1200000,12,1184667048,
dgetrf_nopiv,trsm,12288,1024,23068672,1200000,132,18870770688,
dgetrf_nopiv,gemm,12288,1024,23068672,1200000,506,136226277352,
dgetrf_nopiv,getrfnpiv,12288,1024,23068672,2801000,12,1184667048,
dgetrf_nopiv,trsm,12288,1024,23068672,2801000,132,18870770688,
dgetrf_nopiv,gemm,12288,1024,23068672,2801000,506,136226277352,
dgetrf_nopiv,getrfnpiv,16384,512,23068672,1200000,32,425136192,
dgetrf_nopiv,trsm,16384,512,23068672,1200000,992,18770100224,
dgetrf_nopiv,gemm,16384,512,23068672,1200000,10416,350868251328,
dgetrf_nopiv,getrfnpiv,16384,512,23068672,2801000,32,425136192,
dgetrf_nopiv,trsm,16384,512,23068672,2801000,992,18770100224,
dgetrf_nopiv,gemm,16384,512,23068672,2801000,10416,350868251328,
dgetrf_nopiv,getrfnpiv,16384,768,23068672,1200000,22,898694844,
dgetrf_nopiv,trsm,16384,768,23068672,1200000,462,26684969472,
dgetrf_nopiv,gemm,16384,768,23068672,1200000,3311,342023713724,
dgetrf_nopiv,getrfnpiv,16384,768,23068672,2801000,22,898694844,
dgetrf_nopiv,trsm,16384,768,23068672,2801000,462,26684969472,
dgetrf_nopiv,gemm,16384,768,23068672,2801000,3311,342023713724,
dgetrf_nopiv,getrfnpiv,16384,1024,23068672,1200000,16,1579556064,
dgetrf_nopiv,trsm,16384,1024,23068672,1200000,240,34310492160,
dgetrf_nopiv,gemm,16384,1024,23068672,1200000,1240,333835146080,
dgetrf_nopiv,getrfnpiv,16384,1024,23068672,2801000,16,1579556064,
dgetrf_nopiv,trsm,16384,1024,23068672,2801000,240,34310492160,
dgetrf_nopiv,gemm,16384,1024,23068672,2801000,1240,333835146080,
