algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dgetrf_nopiv,8192,320,32,1,getrfnpiv,72815793,73215755,10184032,6078155,0.549600
dgetrf_nopiv,8192,320,32,1,trsm,72815793,73215755,10184032,6078155,0.549600
dgetrf_nopiv,8192,320,32,1,gemm,72815793,73215755,10184032,6078155,0.549600
dgetrf_nopiv,8192,320,32,2,getrfnpiv,74827323,76828905,10545495,6228798,0.569400
dgetrf_nopiv,8192,320,32,2,trsm,74827323,76828905,10545495,6228798,0.569400
dgetrf_nopiv,8192,320,32,2,gemm,74827323,76828905,10545495,6228798,0.569400
dgetrf_nopiv,8192,320,32,3,getrfnpiv,74305779,74323235,10928499,6663165,0.617200
dgetrf_nopiv,8192,320,32,3,trsm,74305779,74323235,10928499,6663165,0.617200
dgetrf_nopiv,8192,320,32,3,gemm,74305779,74323235,10928499,6663165,0.617200
dgetrf_nopiv,8192,320,32,4,getrfnpiv,74552300,74903617,10905197,6785121,0.625300
dgetrf_nopiv,8192,320,32,4,trsm,74552300,74903617,10905197,6785121,0.625300
dgetrf_nopiv,8192,320,32,4,gemm,74552300,74903617,10905197,6785121,0.625300
dgetrf_nopiv,8192,320,32,5,getrfnpiv,57215796,55671061,10449609,5912976,0.582700
dgetrf_nopiv,8192,320,32,5,trsm,57215796,55671061,10449609,5912976,0.582700
dgetrf_nopiv,8192,320,32,5,gemm,57215796,55671061,10449609,5912976,0.582700
dgetrf_nopiv,8192,320,32,6,getrfnpiv,57224402,54531415,10471136,5756671,0.594800
dgetrf_nopiv,8192,320,32,6,trsm,57224402,54531415,10471136,5756671,0.594800
dgetrf_nopiv,8192,320,32,6,gemm,57224402,54531415,10471136,5756671,0.594800
dgetrf_nopiv,8192,320,32,7,getrfnpiv,58317173,55539286,10800423,6223198,0.625300
dgetrf_nopiv,8192,320,32,7,trsm,58317173,55539286,10800423,6223198,0.625300
dgetrf_nopiv,8192,320,32,7,gemm,58317173,55539286,10800423,6223198,0.625300
dgetrf_nopiv,8192,320,32,8,getrfnpiv,59285371,55786417,10842039,6099865,0.639000
dgetrf_nopiv,8192,320,32,8,trsm,59285371,55786417,10842039,6099865,0.639000
dgetrf_nopiv,8192,320,32,8,gemm,59285371,55786417,10842039,6099865,0.639000
dgetrf_nopiv,8192,640,32,1,getrfnpiv,78548261,74594535,11182097,6920557,0.667200
dgetrf_nopiv,8192,640,32,1,trsm,78548261,74594535,11182097,6920557,0.667200
dgetrf_nopiv,8192,640,32,1,gemm,78548261,74594535,11182097,6920557,0.667200
dgetrf_nopiv,8192,640,32,2,getrfnpiv,81112952,79553324,11750583,7235263,0.731200
dgetrf_nopiv,8192,640,32,2,trsm,81112952,79553324,11750583,7235263,0.731200
dgetrf_nopiv,8192,640,32,2,gemm,81112952,79553324,11750583,7235263,0.731200
dgetrf_nopiv,8192,640,32,3,getrfnpiv,83499908,79578409,12293198,7697139,0.804600
dgetrf_nopiv,8192,640,32,3,trsm,83499908,79578409,12293198,7697139,0.804600
dgetrf_nopiv,8192,640,32,3,gemm,83499908,79578409,12293198,7697139,0.804600
dgetrf_nopiv,8192,640,32,4,getrfnpiv,87173666,84493070,12862741,7938818,0.885300
dgetrf_nopiv,8192,640,32,4,trsm,87173666,84493070,12862741,7938818,0.885300
dgetrf_nopiv,8192,640,32,4,gemm,87173666,84493070,12862741,7938818,0.885300
dgetrf_nopiv,8192,640,32,5,getrfnpiv,67059399,63370871,11892093,7404496,0.734400
dgetrf_nopiv,8192,640,32,5,trsm,67059399,63370871,11892093,7404496,0.734400
dgetrf_nopiv,8192,640,32,5,gemm,67059399,63370871,11892093,7404496,0.734400
dgetrf_nopiv,8192,640,32,6,getrfnpiv,70268191,65219926,12232289,7774665,0.787600
dgetrf_nopiv,8192,640,32,6,trsm,70268191,65219926,12232289,7774665,0.787600
dgetrf_nopiv,8192,640,32,6,gemm,70268191,65219926,12232289,7774665,0.787600
dgetrf_nopiv,8192,640,32,7,getrfnpiv,71221009,66446057,12829646,8170490,0.852400
dgetrf_nopiv,8192,640,32,7,trsm,71221009,66446057,12829646,8170490,0.852400
dgetrf_nopiv,8192,640,32,7,gemm,71221009,66446057,12829646,8170490,0.852400
dgetrf_nopiv,8192,640,32,8,getrfnpiv,73894220,70142887,13208307,8376965,0.924200
dgetrf_nopiv,8192,640,32,8,trsm,73894220,70142887,13208307,8376965,0.924200
dgetrf_nopiv,8192,640,32,8,gemm,73894220,70142887,13208307,8376965,0.924200
dgetrf_nopiv,8192,960,32,1,getrfnpiv,80954504,77827742,11717077,6715231,0.800100
dgetrf_nopiv,8192,960,32,1,trsm,80954504,77827742,11717077,6715231,0.800100
dgetrf_nopiv,8192,960,32,1,gemm,80954504,77827742,11717077,6715231,0.800100
dgetrf_nopiv,8192,960,32,2,getrfnpiv,87481770,84614957,12333422,7761491,0.918700
dgetrf_nopiv,8192,960,32,2,trsm,87481770,84614957,12333422,7761491,0.918700
dgetrf_nopiv,8192,960,32,2,gemm,87481770,84614957,12333422,7761491,0.918700
dgetrf_nopiv,8192,960,32,3,getrfnpiv,90480298,87228841,13679699,8566699,1.040800
dgetrf_nopiv,8192,960,32,3,trsm,90480298,87228841,13679699,8566699,1.040800
dgetrf_nopiv,8192,960,32,3,gemm,90480298,87228841,13679699,8566699,1.040800
dgetrf_nopiv,8192,960,32,4,getrfnpiv,99902820,92796882,14145217,9151358,1.200000
dgetrf_nopiv,8192,960,32,4,trsm,99902820,92796882,14145217,9151358,1.200000
dgetrf_nopiv,8192,960,32,4,gemm,99902820,92796882,14145217,9151358,1.200000
dgetrf_nopiv,8192,960,32,5,getrfnpiv,73322871,69213873,12408056,7905097,0.886800
dgetrf_nopiv,8192,960,32,5,trsm,73322871,69213873,12408056,7905097,0.886800
dgetrf_nopiv,8192,960,32,5,gemm,73322871,69213873,12408056,7905097,0.886800
dgetrf_nopiv,8192,960,32,6,getrfnpiv,80468117,79927469,13413051,8585289,1.069000
dgetrf_nopiv,8192,960,32,6,trsm,80468117,79927469,13413051,8585289,1.069000
dgetrf_nopiv,8192,960,32,6,gemm,80468117,79927469,13413051,8585289,1.069000
dgetrf_nopiv,8192,960,32,7,getrfnpiv,83129609,79916177,14004350,9766020,1.153700
dgetrf_nopiv,8192,960,32,7,trsm,83129609,79916177,14004350,9766020,1.153700
dgetrf_nopiv,8192,960,32,7,gemm,83129609,79916177,14004350,9766020,1.153700
dgetrf_nopiv,8192,960,32,8,getrfnpiv,93428106,91448496,15494249,10114600,1.382300
dgetrf_nopiv,8192,960,32,8,trsm,93428106,91448496,15494249,10114600,1.382300
dgetrf_nopiv,8192,960,32,8,gemm,93428106,91448496,15494249,10114600,1.382300
dgetrf_nopiv,8192,1280,32,1,getrfnpiv,88109699,87530110,12830014,7720488,1.022800
dgetrf_nopiv,8192,1280,32,1,trsm,88109699,87530110,12830014,7720488,1.022800
dgetrf_nopiv,8192,1280,32,1,gemm,88109699,87530110,12830014,7720488,1.022800
dgetrf_nopiv,8192,1280,32,2,getrfnpiv,96452878,105390600,14177224,9627709,1.230900
dgetrf_nopiv,8192,1280,32,2,trsm,96452878,105390600,14177224,9627709,1.230900
dgetrf_nopiv,8192,1280,32,2,gemm,96452878,105390600,14177224,9627709,1.230900
dgetrf_nopiv,8192,1280,32,3,getrfnpiv,103921243,105515416,15627955,10184415,1.407500
dgetrf_nopiv,8192,1280,32,3,trsm,103921243,105515416,15627955,10184415,1.407500
dgetrf_nopiv,8192,1280,32,3,gemm,103921243,105515416,15627955,10184415,1.407500
dgetrf_nopiv,8192,1280,32,4,getrfnpiv,117339848,112272479,16631024,10057899,1.625700
dgetrf_nopiv,8192,1280,32,4,trsm,117339848,112272479,16631024,10057899,1.625700
dgetrf_nopiv,8192,1280,32,4,gemm,117339848,112272479,16631024,10057899,1.625700
dgetrf_nopiv,8192,1280,32,5,getrfnpiv,87917866,90169081,14881820,8834251,1.235400
dgetrf_nopiv,8192,1280,32,5,trsm,87917866,90169081,14881820,8834251,1.235400
dgetrf_nopiv,8192,1280,32,5,gemm,87917866,90169081,14881820,8834251,1.235400
dgetrf_nopiv,8192,1280,32,6,getrfnpiv,106222384,92700690,15881537,9912809,1.479700
dgetrf_nopiv,8192,1280,32,6,trsm,106222384,92700690,15881537,9912809,1.479700
dgetrf_nopiv,8192,1280,32,6,gemm,106222384,92700690,15881537,9912809,1.479700
dgetrf_nopiv,8192,1280,32,7,getrfnpiv,108326566,101004685,17167885,10925026,1.644400
dgetrf_nopiv,8192,1280,32,7,trsm,108326566,101004685,17167885,10925026,1.644400
dgetrf_nopiv,8192,1280,32,7,gemm,108326566,101004685,17167885,10925026,1.644400
dgetrf_nopiv,8192,1280,32,8,getrfnpiv,117416082,115327647,18095830,12966827,1.883700
dgetrf_nopiv,8192,1280,32,8,trsm,117416082,115327647,18095830,12966827,1.883700
dgetrf_nopiv,8192,1280,32,8,gemm,117416082,115327647,18095830,12966827,1.883700
