algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
dgetrs_nopiv,trsm,12288,512,23068672,1200000,48,1936512,
dgetrs_nopiv,gemm,12288,512,23068672,1200000,552,36282960,
dgetrs_nopiv,trsm,12288,512,23068672,2801000,48,1936512,
dgetrs_nopiv,gemm,12288,512,23068672,2801000,552,36282960,
dgetrs_nopiv,trsm,12288,768,23068672,1200000,32,2724608,
dgetrs_nopiv,gemm,12288,768,23068672,1200000,240,35459040,
dgetrs_nopiv,trsm,12288,768,23068672,2801000,32,2724608,
dgetrs_nopiv,gemm,12288,768,23068672,2801000,240,35459040,
dgetrs_nopiv,trsm,12288,1024,23068672,1200000,24,3513312,
dgetrs_nopiv,gemm,12288,1024,23068672,1200000,132,34704912,
dgetrs_nopiv,trsm,12288,1024,23068672,2801000,24,3513312,
dgetrs_nopiv,gemm,12288,1024,23068672,2801000,132,34704912,
dgetrs_nopiv,trsm,16384,512,23068672,1200000,64,2582016,
dgetrs_nopiv,gemm,16384,512,23068672,1200000,992,65204160,
dgetrs_nopiv,trsm,16384,512,23068672,2801000,64,2582016,
dgetrs_nopiv,gemm,16384,512,23068672,2801000,992,65204160,
dgetrs_nopiv,trsm,16384,768,23068672,1200000,44,3599976,
dgetrs_nopiv,gemm,16384,768,23068672,1200000,462,64125852,
dgetrs_nopiv,trsm,16384,768,23068672,2801000,44,3599976,
dgetrs_nopiv,gemm,16384,768,23068672,2801000,462,64125852,
dgetrs_nopiv,trsm,16384,1024,23068672,1200000,32,4684416,
dgetrs_nopiv,gemm,16384,1024,23068672,1200000,240,63099840,
dgetrs_nopiv,trsm,16384,1024,23068672,2801000,32,4684416,
dgetrs_nopiv,gemm,16384,1024,23068672,2801000,240,63099840,
