algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_VEC_DP
dgetrs_nopiv,trsm,12288,512,23068672,1200000,48,1151809,20230182,22928521,16684704,1677922,1352306,1555098,108173,1936512
dgetrs_nopiv,gemm,12288,512,23068672,1200000,552,20442897,41622493,279437276,262298379,22956145,1402,22776543,2522,36282960
dgetrs_nopiv,trsm,12288,512,23068672,2801000,48,1139840,20230343,48019444,41531354,1607312,1333528,1534426,113295,1936512
dgetrs_nopiv,gemm,12288,512,23068672,2801000,552,20460241,41619587,715936824,698341199,23111293,1762,22782863,2794,36282960
dgetrs_nopiv,trsm,12288,768,23068672,1200000,32,1577038,25468704,29590695,21715928,2404815,2083082,2099122,138350,2724608
dgetrs_nopiv,gemm,12288,768,23068672,1200000,240,18911569,40331559,282328135,265646764,22445650,470,22162540,1445,35459040
dgetrs_nopiv,trsm,12288,768,23068672,2801000,32,1544044,25468734,67266893,59127413,2350785,2066018,2016784,146059,2724608
dgetrs_nopiv,gemm,12288,768,23068672,2801000,240,18873330,40329018,742805608,725530612,22453021,298,22164748,1399,35459040
dgetrs_nopiv,trsm,12288,1024,23068672,1200000,24,1992063,27331015,35787155,27355078,3164283,2860894,2790697,151081,3513312
dgetrs_nopiv,gemm,12288,1024,23068672,1200000,132,20521929,130947401,256664687,214994866,31435228,31211510,30979977,1627275,34704912
dgetrs_nopiv,trsm,12288,1024,23068672,2801000,24,1926334,27331440,71347193,62655645,3050610,2812464,2676425,169608,3513312
dgetrs_nopiv,gemm,12288,1024,23068672,2801000,132,19843779,130947680,481051654,438277141,30510416,30763122,28503994,1778232,34704912
dgetrs_nopiv,trsm,16384,512,23068672,1200000,64,1648153,26972987,31018757,22671066,2240268,1788985,2074785,145695,2582016
dgetrs_nopiv,gemm,16384,512,23068672,1200000,992,36685871,74788952,501449665,470796520,41272336,5460,40953114,5743,65204160
dgetrs_nopiv,trsm,16384,512,23068672,2801000,64,1600370,26972161,64995942,56243781,2162877,1752652,2051675,152719,2582016
dgetrs_nopiv,gemm,16384,512,23068672,2801000,992,36708826,74799830,1285175089,1253392755,41570927,6832,40959486,5384,65204160
dgetrs_nopiv,trsm,16384,768,23068672,1200000,44,2148682,33737380,39745751,29347146,3197046,2747108,2770251,181031,3599976
dgetrs_nopiv,gemm,16384,768,23068672,1200000,462,34118462,72971131,507909872,477783050,40596400,1510,40058210,2937,64125852
dgetrs_nopiv,trsm,16384,768,23068672,2801000,44,2098164,33737824,92538365,81689614,3067482,2722030,2669831,189426,3599976
dgetrs_nopiv,gemm,16384,768,23068672,2801000,462,34097356,72973559,1350027431,1319058141,40609204,4516,40064465,2500,64125852
dgetrs_nopiv,trsm,16384,1024,23068672,1200000,32,2640915,36440365,47616683,36409756,4205060,3812988,3726143,202845,4684416
dgetrs_nopiv,gemm,16384,1024,23068672,1200000,240,37383889,238081256,466860137,390959167,57180135,56762166,56365994,2970383,63099840
dgetrs_nopiv,trsm,16384,1024,23068672,2801000,32,2549901,36440667,94168574,82614913,4065259,3747984,3563775,225428,4684416
dgetrs_nopiv,gemm,16384,1024,23068672,2801000,240,36049865,238086070,872632998,795027150,55463929,55992028,51845346,3231899,63099840
