algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
dgetrs_nopiv,trsm,12288,512,23068672,1200000,48,1151809,20230182,22928521,16684704,
dgetrs_nopiv,gemm,12288,512,23068672,1200000,552,20442897,41622493,279437276,262298379,
dgetrs_nopiv,trsm,12288,512,23068672,2801000,48,1139840,20230343,48019444,41531354,
dgetrs_nopiv,gemm,12288,512,23068672,2801000,552,20460241,41619587,715936824,698341199,
dgetrs_nopiv,trsm,12288,768,23068672,1200000,32,1577038,25468704,29590695,21715928,
dgetrs_nopiv,gemm,12288,768,23068672,1200000,240,18911569,40331559,282328135,265646764,
dgetrs_nopiv,trsm,12288,768,23068672,2801000,32,1544044,25468734,67266893,59127413,
dgetrs_nopiv,gemm,12288,768,23068672,2801000,240,18873330,40329018,742805608,725530612,
dgetrs_nopiv,trsm,12288,1024,23068672,1200000,24,1992063,27331015,35787155,27355078,
dgetrs_nopiv,gemm,12288,1024,23068672,1200000,132,20521929,130947401,256664687,214994866,
dgetrs_nopiv,trsm,12288,1024,23068672,2801000,24,1926334,27331440,71347193,62655645,
dgetrs_nopiv,gemm,12288,1024,23068672,2801000,132,19843779,130947680,481051654,438277141,
dgetrs_nopiv,trsm,16384,512,23068672,1200000,64,1648153,26972987,31018757,22671066,
dgetrs_nopiv,gemm,16384,512,23068672,1200000,992,36685871,74788952,501449665,470796520,
dgetrs_nopiv,trsm,16384,512,23068672,2801000,64,1600370,26972161,64995942,56243781,
dgetrs_nopiv,gemm,16384,512,23068672,2801000,992,36708826,74799830,1285175089,1253392755,
dgetrs_nopiv,trsm,16384,768,23068672,1200000,44,2148682,33737380,39745751,29347146,
dgetrs_nopiv,gemm,16384,768,23068672,1200000,462,34118462,72971131,507909872,477783050,
dgetrs_nopiv,trsm,16384,768,23068672,2801000,44,2098164,33737824,92538365,81689614,
dgetrs_nopiv,gemm,16384,768,23068672,2801000,462,34097356,72973559,1350027431,1319058141,
dgetrs_nopiv,trsm,16384,1024,23068672,1200000,32,2640915,36440365,47616683,36409756,
dgetrs_nopiv,gemm,16384,1024,23068672,1200000,240,37383889,238081256,466860137,390959167,
dgetrs_nopiv,trsm,16384,1024,23068672,2801000,32,2549901,36440667,94168574,82614913,
dgetrs_nopiv,gemm,16384,1024,23068672,2801000,240,36049865,238086070,872632998,795027150,
