algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCR,PAPI_L3_TCW,
dgetrs_nopiv,trsm,12288,512,23068672,1200000,48,1555098,108173,
dgetrs_nopiv,gemm,12288,512,23068672,1200000,552,22776543,2522,
dgetrs_nopiv,trsm,12288,512,23068672,2801000,48,1534426,113295,
dgetrs_nopiv,gemm,12288,512,23068672,2801000,552,22782863,2794,
dgetrs_nopiv,trsm,12288,768,23068672,1200000,32,2099122,138350,
dgetrs_nopiv,gemm,12288,768,23068672,1200000,240,22162540,1445,
dgetrs_nopiv,trsm,12288,768,23068672,2801000,32,2016784,146059,
dgetrs_nopiv,gemm,12288,768,23068672,2801000,240,22164748,1399,
dgetrs_nopiv,trsm,12288,1024,23068672,1200000,24,2790697,151081,
dgetrs_nopiv,gemm,12288,1024,23068672,1200000,132,30979977,1627275,
dgetrs_nopiv,trsm,12288,1024,23068672,2801000,24,2676425,169608,
dgetrs_nopiv,gemm,12288,1024,23068672,2801000,132,28503994,1778232,
dgetrs_nopiv,trsm,16384,512,23068672,1200000,64,2074785,145695,
dgetrs_nopiv,gemm,16384,512,23068672,1200000,992,40953114,5743,
dgetrs_nopiv,trsm,16384,512,23068672,2801000,64,2051675,152719,
dgetrs_nopiv,gemm,16384,512,23068672,2801000,992,40959486,5384,
dgetrs_nopiv,trsm,16384,768,23068672,1200000,44,2770251,181031,
dgetrs_nopiv,gemm,16384,768,23068672,1200000,462,40058210,2937,
dgetrs_nopiv,trsm,16384,768,23068672,2801000,44,2669831,189426,
dgetrs_nopiv,gemm,16384,768,23068672,2801000,462,40064465,2500,
dgetrs_nopiv,trsm,16384,1024,23068672,1200000,32,3726143,202845,
dgetrs_nopiv,gemm,16384,1024,23068672,1200000,240,56365994,2970383,
dgetrs_nopiv,trsm,16384,1024,23068672,2801000,32,3563775,225428,
dgetrs_nopiv,gemm,16384,1024,23068672,2801000,240,51845346,3231899,
