algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dgetrs_nopiv,40960,512,32,1,trsm,34736545,35557404,4433956,5079080,0.327400
dgetrs_nopiv,40960,512,32,1,gemm,34736545,35557404,4433956,5079080,0.327400
dgetrs_nopiv,40960,512,32,2,trsm,38522119,39054893,4775834,5017069,0.349800
dgetrs_nopiv,40960,512,32,2,gemm,38522119,39054893,4775834,5017069,0.349800
dgetrs_nopiv,40960,512,32,3,trsm,26679497,25603756,4620676,4936270,0.335100
dgetrs_nopiv,40960,512,32,3,gemm,26679497,25603756,4620676,4936270,0.335100
dgetrs_nopiv,40960,512,32,4,trsm,24235106,24015502,4428233,4722621,0.312000
dgetrs_nopiv,40960,512,32,4,gemm,24235106,24015502,4428233,4722621,0.312000
dgetrs_nopiv,40960,768,32,1,trsm,40167195,41979262,5048755,5589472,0.403800
dgetrs_nopiv,40960,768,32,1,gemm,40167195,41979262,5048755,5589472,0.403800
dgetrs_nopiv,40960,768,32,2,trsm,41493180,43392283,5150669,5276557,0.378100
dgetrs_nopiv,40960,768,32,2,gemm,41493180,43392283,5150669,5276557,0.378100
dgetrs_nopiv,40960,768,32,3,trsm,28235218,27817372,4999581,5161486,0.365600
dgetrs_nopiv,40960,768,32,3,gemm,28235218,27817372,4999581,5161486,0.365600
dgetrs_nopiv,40960,768,32,4,trsm,29683396,29049425,4865920,5558658,0.395400
dgetrs_nopiv,40960,768,32,4,gemm,29683396,29049425,4865920,5558658,0.395400
dgetrs_nopiv,40960,1024,32,1,trsm,36730252,38253748,5052856,5546005,0.356200
dgetrs_nopiv,40960,1024,32,1,gemm,36730252,38253748,5052856,5546005,0.356200
dgetrs_nopiv,40960,1024,32,2,trsm,42799023,43457408,5446601,5620226,0.373200
dgetrs_nopiv,40960,1024,32,2,gemm,42799023,43457408,5446601,5620226,0.373200
dgetrs_nopiv,40960,1024,32,3,trsm,29839645,29513474,5307508,5735465,0.384100
dgetrs_nopiv,40960,1024,32,3,gemm,29839645,29513474,5307508,5735465,0.384100
dgetrs_nopiv,40960,1024,32,4,trsm,30688581,30171798,5220635,6034932,0.403400
dgetrs_nopiv,40960,1024,32,4,gemm,30688581,30171798,5220635,6034932,0.403400
