algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dgram,laset,8000,500,23068672,1200000,272,1614,2830097,73383,1241763,425,
dgram,syssq,8000,500,23068672,1200000,16,339404,64278463,3122851,19386180,8028,
dgram,gessq,8000,500,23068672,1200000,240,6449707,1052318663,124247016,402388691,121534,
dgram,gram,8000,500,23068672,1200000,136,3854950,449640412,44294498,154154540,68470,
dgram,plssq,8000,500,23068672,1200000,271,26146,4140412,190541,1281968,733,
dgram,plssq2,8000,500,23068672,1200000,17,157,94347,22052,55377,26,
dgram,laset,8000,500,23068672,2801000,272,1701,2830794,106273,1280480,380,
dgram,syssq,8000,500,23068672,2801000,16,340142,64278448,5324131,21521871,7983,
dgram,gessq,8000,500,23068672,2801000,240,6436195,1052318414,142541048,420781850,121390,
dgram,gram,8000,500,23068672,2801000,136,3857125,449640525,62331454,173594889,70056,
dgram,plssq,8000,500,23068672,2801000,271,25875,4140138,303584,1397081,709,
dgram,plssq2,8000,500,23068672,2801000,17,74,94334,23521,56684,19,
dgram,laset,8000,600,23068672,1200000,210,1851,2461263,71864,1050692,329,
dgram,syssq,8000,600,23068672,1200000,14,386635,75797657,3544277,22679274,8049,
dgram,gessq,8000,600,23068672,1200000,182,6771677,1039359747,123261641,397716436,100074,
dgram,gram,8000,600,23068672,1200000,105,3869968,449392693,44296914,153841150,58716,
dgram,plssq,8000,600,23068672,1200000,209,21253,3603773,165970,1108023,604,
dgram,plssq2,8000,600,23068672,1200000,15,90,93350,22163,54713,21,
dgram,laset,8000,600,23068672,2801000,210,1629,2462890,91267,1120236,372,
dgram,syssq,8000,600,23068672,2801000,14,387668,75797661,6008319,25066457,8049,
dgram,gessq,8000,600,23068672,2801000,182,6776918,1039359751,143515733,418148908,99888,
dgram,gram,8000,600,23068672,2801000,105,3872523,449392615,62985145,173953763,57752,
dgram,plssq,8000,600,23068672,2801000,209,19901,3604394,252442,1196229,586,
dgram,plssq2,8000,600,23068672,2801000,15,72,93305,24964,58194,21,
dgram,laset,8000,700,23068672,1200000,156,1445,2098980,57281,884267,261,
dgram,syssq,8000,700,23068672,1200000,12,430632,87956855,4036538,26222773,8052,
dgram,gessq,8000,700,23068672,1200000,132,6986819,1025749315,121840413,392560138,84510,
dgram,gram,8000,700,23068672,1200000,78,3878522,449212612,44179596,153454610,50084,
dgram,plssq,8000,700,23068672,1200000,155,15043,3075328,141872,934501,464,
dgram,plssq2,8000,700,23068672,1200000,13,51,92720,22486,54457,27,
dgram,laset,8000,700,23068672,2801000,156,1502,2101724,94905,950923,240,
dgram,syssq,8000,700,23068672,2801000,12,432200,87956849,6522233,28617003,8049,
dgram,gessq,8000,700,23068672,2801000,132,6983253,1025749145,142378268,413179953,84365,
dgram,gram,8000,700,23068672,2801000,78,3871348,449212576,62801280,173521966,50031,
dgram,plssq,8000,700,23068672,2801000,155,15222,3077137,248607,1046811,474,
dgram,plssq2,8000,700,23068672,2801000,13,128,92662,23524,55916,24,
dgram,laset,8000,800,23068672,1200000,110,1426,1741317,48482,729605,293,
dgram,syssq,8000,800,23068672,1200000,10,480611,102676018,4495921,30353960,8079,
dgram,gessq,8000,800,23068672,1200000,90,7087774,1009369068,120193623,386407153,72646,
dgram,gram,8000,800,23068672,1200000,55,3900574,449074156,44038871,153102049,44224,
dgram,plssq,8000,800,23068672,1200000,109,8774,2547399,121820,768003,386,
dgram,plssq2,8000,800,23068672,1200000,11,78,91925,22770,53388,19,
dgram,laset,8000,800,23068672,2801000,110,1277,1742196,84661,784527,181,
dgram,syssq,8000,800,23068672,2801000,10,483524,102676045,7228444,32966310,8048,
dgram,gessq,8000,800,23068672,2801000,90,7062711,1009368795,139996289,406284197,72594,
dgram,gram,8000,800,23068672,2801000,55,3873222,449073999,62152268,172645154,44235,
dgram,plssq,8000,800,23068672,2801000,109,6776,2547435,186366,838616,368,
dgram,plssq2,8000,800,23068672,2801000,11,35,92147,22676,54290,19,
dgram,laset,8000,900,23068672,1200000,90,1098,1561965,47058,656952,165,
dgram,syssq,8000,900,23068672,1200000,9,521595,114195642,4925141,33672964,8069,
dgram,gessq,8000,900,23068672,1200000,72,6914595,996607593,118669804,381465255,63736,
dgram,gram,8000,900,23068672,1200000,45,3875804,448972601,44018521,152990828,41690,
dgram,plssq,8000,900,23068672,1200000,89,5532,2282982,114354,694237,311,
dgram,plssq2,8000,900,23068672,1200000,10,55,91762,22098,52672,21,
dgram,laset,8000,900,23068672,2801000,90,1151,1563336,73676,702459,161,
dgram,syssq,8000,900,23068672,2801000,9,521627,114195623,7634517,36240896,8049,
dgram,gessq,8000,900,23068672,2801000,72,6905121,996607492,138766934,401692540,63613,
dgram,gram,8000,900,23068672,2801000,45,3866139,448972531,62498103,172895641,39790,
dgram,plssq,8000,900,23068672,2801000,89,5587,2283623,187704,770693,308,
dgram,plssq2,8000,900,23068672,2801000,10,16,91804,22799,53965,21,
dgram,laset,8000,1000,23068672,1200000,72,856,1384329,41187,597322,179,
dgram,syssq,8000,1000,23068672,1200000,8,566856,128275240,5435527,37701924,8057,
dgram,gessq,8000,1000,23068672,1200000,56,6627498,981059115,116888809,375473729,56486,
dgram,gram,8000,1000,23068672,1200000,36,3863276,448889126,44019466,152860504,36173,
dgram,plssq,8000,1000,23068672,1200000,71,4632,2020233,100550,613779,273,
dgram,plssq2,8000,1000,23068672,1200000,9,28,91440,22424,52660,20,
dgram,laset,8000,1000,23068672,2801000,72,834,1386004,68973,626033,152,
dgram,syssq,8000,1000,23068672,2801000,8,572171,128275238,8273152,40375500,8063,
dgram,gessq,8000,1000,23068672,2801000,56,6626972,981059078,133736811,392450074,56413,
dgram,gram,8000,1000,23068672,2801000,36,3867515,448889047,61462994,171679823,36146,
dgram,plssq,8000,1000,23068672,2801000,71,4910,2021180,178505,692439,263,
dgram,plssq2,8000,1000,23068672,2801000,9,14,91425,23426,53583,17,
dgram,laset,8000,1100,23068672,1200000,72,852,1384498,46840,589026,143,
dgram,syssq,8000,1100,23068672,1200000,8,593240,137235241,5712897,40231201,8049,
dgram,gessq,8000,1100,23068672,1200000,56,6618359,971217068,115834512,371807782,50821,
dgram,gram,8000,1100,23068672,1200000,36,3871283,448827526,43998974,152736409,33363,
dgram,plssq,8000,1100,23068672,1200000,71,4442,2019758,100274,624919,287,
dgram,plssq2,8000,1100,23068672,1200000,9,6,91185,22390,52521,13,
dgram,laset,8000,1100,23068672,2801000,72,920,1385964,66874,626373,139,
dgram,syssq,8000,1100,23068672,2801000,8,597037,137235235,8473318,42816416,8045,
dgram,gessq,8000,1100,23068672,2801000,56,6614796,971217065,133870554,389972449,50750,
dgram,gram,8000,1100,23068672,2801000,36,3870129,448827436,61388022,171528239,33297,
dgram,plssq,8000,1100,23068672,2801000,71,5136,2021185,179319,692992,247,
dgram,plssq2,8000,1100,23068672,2801000,9,34,91395,24685,54475,11,
dgram,laset,10000,500,23068672,1200000,420,2290,4414821,104621,1898982,525,
dgram,syssq,10000,500,23068672,1200000,20,429185,80348085,3877079,24202312,10069,
dgram,gessq,10000,500,23068672,1200000,380,9802887,1666171372,196566513,636955688,192725,
dgram,gram,10000,500,23068672,1200000,210,6142811,702509785,68978324,240597829,106117,
dgram,plssq,10000,500,23068672,1200000,419,44875,6482102,275500,1981358,1029,
dgram,plssq2,10000,500,23068672,1200000,21,200,117395,27643,69982,32,
dgram,laset,10000,500,23068672,2801000,420,2245,4427613,112164,1974407,594,
dgram,syssq,10000,500,23068672,2801000,20,430993,80348084,6755655,27008009,9989,
dgram,gessq,10000,500,23068672,2801000,380,9802111,1666171306,227057851,667650916,192601,
dgram,gram,10000,500,23068672,2801000,210,6149704,702509754,97868696,271689767,105707,
dgram,plssq,10000,500,23068672,2801000,419,43282,6494899,526584,2233909,1020,
dgram,plssq2,10000,500,23068672,2801000,21,207,117678,30143,72000,30,
dgram,laset,10000,600,23068672,1200000,306,1829,3726841,93820,1589929,417,
dgram,syssq,10000,600,23068672,1200000,17,493616,95066876,4483133,28490370,10061,
dgram,gessq,10000,600,23068672,1200000,272,10512793,1649447849,195387677,630913061,158515,
dgram,gram,10000,600,23068672,1200000,153,6155914,702117312,68925051,239984460,89042,
dgram,plssq,10000,600,23068672,1200000,305,36542,5481339,238505,1657654,802,
dgram,plssq2,10000,600,23068672,1200000,18,39,116575,27490,68493,29,
dgram,laset,10000,600,23068672,2801000,306,1764,3727050,116564,1587768,388,
dgram,syssq,10000,600,23068672,2801000,17,496645,95066873,7526857,31430828,10035,
dgram,gessq,10000,600,23068672,2801000,272,10513552,1649447549,222689010,658395324,158472,
dgram,gram,10000,600,23068672,2801000,153,6158230,702117385,95868573,269036554,88965,
dgram,plssq,10000,600,23068672,2801000,305,36474,5488391,371075,1787745,796,
dgram,plssq2,10000,600,23068672,2801000,18,42,116626,28696,68616,28,
dgram,laset,10000,700,23068672,1200000,240,2149,3276497,79177,1365222,317,
dgram,syssq,10000,700,23068672,1200000,15,553999,110746063,5047701,32970801,10011,
dgram,gessq,10000,700,23068672,1200000,210,10819839,1631873828,193770952,624410215,134299,
dgram,gram,10000,700,23068672,1200000,120,6169324,701839942,68726847,239419066,77929,
dgram,plssq,10000,700,23068672,1200000,239,30241,4821655,213845,1446059,621,
dgram,plssq2,10000,700,23068672,1200000,16,57,115684,27413,66825,19,
dgram,laset,10000,700,23068672,2801000,240,2051,3280385,100360,1416861,398,
dgram,syssq,10000,700,23068672,2801000,15,554062,110746049,8288325,36100434,10067,
dgram,gessq,10000,700,23068672,2801000,210,10805299,1631873866,226049113,656895757,134491,
dgram,gram,10000,700,23068672,2801000,120,6157142,701839992,98196187,271183004,77752,
dgram,plssq,10000,700,23068672,2801000,239,29417,4824743,408438,1647866,647,
dgram,plssq2,10000,700,23068672,2801000,16,40,115968,27950,69446,29,
dgram,laset,10000,800,23068672,1200000,182,1570,2829545,66932,1170714,332,
dgram,syssq,10000,800,23068672,1200000,13,602058,125785259,5557923,37241519,10000,
dgram,gessq,10000,800,23068672,1200000,156,11107960,1615048259,192251401,618188633,116303,
dgram,gram,10000,800,23068672,1200000,91,6166078,701630443,68518282,238875883,67922,
dgram,plssq,10000,800,23068672,1200000,181,24216,4158787,193094,1241345,491,
dgram,plssq2,10000,800,23068672,1200000,14,12,115296,27901,66029,17,
dgram,laset,10000,800,23068672,2801000,182,1552,2829397,98319,1206664,260,
dgram,syssq,10000,800,23068672,2801000,13,605013,125785258,8852238,40396122,10059,
dgram,gessq,10000,800,23068672,2801000,156,11107091,1615047866,222919837,649085531,116238,
dgram,gram,10000,800,23068672,2801000,91,6163679,701630371,96047383,268614603,69116,
dgram,plssq,10000,800,23068672,2801000,181,23998,4161503,374065,1435474,522,
dgram,plssq2,10000,800,23068672,2801000,14,26,115168,28427,67217,21,
dgram,laset,10000,900,23068672,1200000,156,1337,2604254,65776,1066046,249,
dgram,syssq,10000,900,23068672,1200000,12,671063,143064854,6202007,42220479,10068,
dgram,gessq,10000,900,23068672,1200000,132,11107733,1595923301,190090928,610908921,102067,
dgram,gram,10000,900,23068672,1200000,78,6172405,701470155,68580703,238752200,60933,
dgram,plssq,10000,900,23068672,1200000,155,17766,3827701,167529,1136735,472,
dgram,plssq2,10000,900,23068672,1200000,13,61,114722,27754,65831,21,
dgram,laset,10000,900,23068672,2801000,156,1301,2606590,78222,1096730,280,
dgram,syssq,10000,900,23068672,2801000,12,671016,143064811,9597178,45435162,9994,
dgram,gessq,10000,900,23068672,2801000,132,11111439,1595923072,222004040,642970261,102082,
dgram,gram,10000,900,23068672,2801000,78,6175954,701470033,97506981,269973395,60896,
dgram,plssq,10000,900,23068672,2801000,155,19195,3831749,345429,1313389,460,
dgram,plssq2,10000,900,23068672,2801000,13,78,114760,28534,66581,28,
dgram,laset,10000,1000,23068672,1200000,110,1282,2161676,53568,880227,255,
dgram,syssq,10000,1000,23068672,1200000,10,729040,160343958,6818377,47148224,10057,
dgram,gessq,10000,1000,23068672,1200000,90,11170168,1576702049,187993665,603560531,90638,
dgram,gram,10000,1000,23068672,1200000,55,6159473,701336176,68591243,238580803,55236,
dgram,plssq,10000,1000,23068672,1200000,109,9998,3171774,150880,944828,352,
dgram,plssq2,10000,1000,23068672,1200000,11,24,114072,28049,64808,19,
dgram,laset,10000,1000,23068672,2801000,110,1321,2162059,72758,914277,225,
dgram,syssq,10000,1000,23068672,2801000,10,730969,160344040,10112184,50241823,10036,
dgram,gessq,10000,1000,23068672,2801000,90,11171961,1576702049,219270015,635098766,90589,
dgram,gram,10000,1000,23068672,2801000,55,6155479,701335960,96217587,268435436,55200,
dgram,plssq,10000,1000,23068672,2801000,109,9774,3172135,277970,1073214,355,
dgram,plssq2,10000,1000,23068672,2801000,11,80,114014,28781,65596,20,
dgram,laset,10000,1100,23068672,1200000,110,1103,2159757,55829,889117,220,
dgram,syssq,10000,1100,23068672,1200000,10,779458,174744013,7281580,51223242,10027,
dgram,gessq,10000,1100,23068672,1200000,90,11034882,1560884350,186317733,597694356,81563,
dgram,gram,10000,1100,23068672,1200000,55,6167383,701236934,68459207,238347580,53052,
dgram,plssq,10000,1100,23068672,1200000,109,7821,3172166,146113,941506,359,
dgram,plssq2,10000,1100,23068672,1200000,11,19,114031,28032,65040,22,
dgram,laset,10000,1100,23068672,2801000,110,1084,2161508,76068,919212,214,
dgram,syssq,10000,1100,23068672,2801000,10,782088,174744046,10547728,54272849,10045,
dgram,gessq,10000,1100,23068672,2801000,90,11033942,1560884580,216791361,628455253,81584,
dgram,gram,10000,1100,23068672,2801000,55,6166698,701237080,96127358,268202115,50679,
dgram,plssq,10000,1100,23068672,2801000,109,8920,3173878,272144,1072912,357,
dgram,plssq2,10000,1100,23068672,2801000,11,24,114048,28798,66213,21,
dgram,laset,12000,500,23068672,1200000,600,2716,6361407,154096,2661366,710,
