algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dgram,12000,500,32,1,laset,4793261,4825244,722344,731692,0.050200
dgram,12000,500,32,1,syssq,4793261,4825244,722344,731692,0.050200
dgram,12000,500,32,1,gessq,4793261,4825244,722344,731692,0.050200
dgram,12000,500,32,1,gram,4793261,4825244,722344,731692,0.050200
dgram,12000,500,32,1,plssq,4793261,4825244,722344,731692,0.050200
dgram,12000,500,32,1,plssq2,4793261,4825244,722344,731692,0.050200
dgram,12000,500,32,2,laset,4419911,4393727,763179,702101,0.055200
dgram,12000,500,32,2,syssq,4419911,4393727,763179,702101,0.055200
dgram,12000,500,32,2,gessq,4419911,4393727,763179,702101,0.055200
dgram,12000,500,32,2,gram,4419911,4393727,763179,702101,0.055200
dgram,12000,500,32,2,plssq,4419911,4393727,763179,702101,0.055200
dgram,12000,500,32,2,plssq2,4419911,4393727,763179,702101,0.055200
dgram,12000,500,32,3,laset,4395069,4499317,712598,712597,0.047800
dgram,12000,500,32,3,syssq,4395069,4499317,712598,712597,0.047800
dgram,12000,500,32,3,gessq,4395069,4499317,712598,712597,0.047800
dgram,12000,500,32,3,gram,4395069,4499317,712598,712597,0.047800
dgram,12000,500,32,3,plssq,4395069,4499317,712598,712597,0.047800
dgram,12000,500,32,3,plssq2,4395069,4499317,712598,712597,0.047800
dgram,12000,500,32,4,laset,4160084,4281971,716851,712857,0.051900
dgram,12000,500,32,4,syssq,4160084,4281971,716851,712857,0.051900
dgram,12000,500,32,4,gessq,4160084,4281971,716851,712857,0.051900
dgram,12000,500,32,4,gram,4160084,4281971,716851,712857,0.051900
dgram,12000,500,32,4,plssq,4160084,4281971,716851,712857,0.051900
dgram,12000,500,32,4,plssq2,4160084,4281971,716851,712857,0.051900
dgram,12000,500,32,5,laset,5345018,5295763,892312,827470,0.060400
dgram,12000,500,32,5,syssq,5345018,5295763,892312,827470,0.060400
dgram,12000,500,32,5,gessq,5345018,5295763,892312,827470,0.060400
dgram,12000,500,32,5,gram,5345018,5295763,892312,827470,0.060400
dgram,12000,500,32,5,plssq,5345018,5295763,892312,827470,0.060400
dgram,12000,500,32,5,plssq2,5345018,5295763,892312,827470,0.060400
dgram,12000,500,32,6,laset,5108141,4957079,879138,872697,0.063600
dgram,12000,500,32,6,syssq,5108141,4957079,879138,872697,0.063600
dgram,12000,500,32,6,gessq,5108141,4957079,879138,872697,0.063600
dgram,12000,500,32,6,gram,5108141,4957079,879138,872697,0.063600
dgram,12000,500,32,6,plssq,5108141,4957079,879138,872697,0.063600
dgram,12000,500,32,6,plssq2,5108141,4957079,879138,872697,0.063600
dgram,12000,500,32,7,laset,5093798,4981433,872835,834554,0.064000
dgram,12000,500,32,7,syssq,5093798,4981433,872835,834554,0.064000
dgram,12000,500,32,7,gessq,5093798,4981433,872835,834554,0.064000
dgram,12000,500,32,7,gram,5093798,4981433,872835,834554,0.064000
dgram,12000,500,32,7,plssq,5093798,4981433,872835,834554,0.064000
dgram,12000,500,32,7,plssq2,5093798,4981433,872835,834554,0.064000
dgram,12000,500,32,8,laset,5223314,5072557,874747,875068,0.067400
dgram,12000,500,32,8,syssq,5223314,5072557,874747,875068,0.067400
dgram,12000,500,32,8,gessq,5223314,5072557,874747,875068,0.067400
dgram,12000,500,32,8,gram,5223314,5072557,874747,875068,0.067400
dgram,12000,500,32,8,plssq,5223314,5072557,874747,875068,0.067400
dgram,12000,500,32,8,plssq2,5223314,5072557,874747,875068,0.067400
dgram,12000,500,32,9,laset,3845144,3841787,731845,669054,0.048000
dgram,12000,500,32,9,syssq,3845144,3841787,731845,669054,0.048000
dgram,12000,500,32,9,gessq,3845144,3841787,731845,669054,0.048000
dgram,12000,500,32,9,gram,3845144,3841787,731845,669054,0.048000
dgram,12000,500,32,9,plssq,3845144,3841787,731845,669054,0.048000
dgram,12000,500,32,9,plssq2,3845144,3841787,731845,669054,0.048000
dgram,12000,500,32,10,laset,3164298,3168754,587091,644222,0.060800
dgram,12000,500,32,10,syssq,3164298,3168754,587091,644222,0.060800
dgram,12000,500,32,10,gessq,3164298,3168754,587091,644222,0.060800
dgram,12000,500,32,10,gram,3164298,3168754,587091,644222,0.060800
dgram,12000,500,32,10,plssq,3164298,3168754,587091,644222,0.060800
dgram,12000,500,32,10,plssq2,3164298,3168754,587091,644222,0.060800
dgram,12000,500,32,11,laset,3924123,4011831,695844,718427,0.054000
dgram,12000,500,32,11,syssq,3924123,4011831,695844,718427,0.054000
dgram,12000,500,32,11,gessq,3924123,4011831,695844,718427,0.054000
dgram,12000,500,32,11,gram,3924123,4011831,695844,718427,0.054000
dgram,12000,500,32,11,plssq,3924123,4011831,695844,718427,0.054000
dgram,12000,500,32,11,plssq2,3924123,4011831,695844,718427,0.054000
dgram,12000,500,32,12,laset,3697744,3651297,700862,687001,0.052600
dgram,12000,500,32,12,syssq,3697744,3651297,700862,687001,0.052600
dgram,12000,500,32,12,gessq,3697744,3651297,700862,687001,0.052600
dgram,12000,500,32,12,gram,3697744,3651297,700862,687001,0.052600
dgram,12000,500,32,12,plssq,3697744,3651297,700862,687001,0.052600
dgram,12000,500,32,12,plssq2,3697744,3651297,700862,687001,0.052600
dgram,12000,500,32,13,laset,4847887,4640736,869468,891500,0.057900
dgram,12000,500,32,13,syssq,4847887,4640736,869468,891500,0.057900
dgram,12000,500,32,13,gessq,4847887,4640736,869468,891500,0.057900
dgram,12000,500,32,13,gram,4847887,4640736,869468,891500,0.057900
dgram,12000,500,32,13,plssq,4847887,4640736,869468,891500,0.057900
dgram,12000,500,32,13,plssq2,4847887,4640736,869468,891500,0.057900
dgram,12000,500,32,14,laset,3868704,4148427,758681,831280,0.069800
dgram,12000,500,32,14,syssq,3868704,4148427,758681,831280,0.069800
dgram,12000,500,32,14,gessq,3868704,4148427,758681,831280,0.069800
dgram,12000,500,32,14,gram,3868704,4148427,758681,831280,0.069800
dgram,12000,500,32,14,plssq,3868704,4148427,758681,831280,0.069800
dgram,12000,500,32,14,plssq2,3868704,4148427,758681,831280,0.069800
dgram,12000,500,32,15,laset,4651600,4548267,845050,845294,0.057000
dgram,12000,500,32,15,syssq,4651600,4548267,845050,845294,0.057000
dgram,12000,500,32,15,gessq,4651600,4548267,845050,845294,0.057000
dgram,12000,500,32,15,gram,4651600,4548267,845050,845294,0.057000
dgram,12000,500,32,15,plssq,4651600,4548267,845050,845294,0.057000
dgram,12000,500,32,15,plssq2,4651600,4548267,845050,845294,0.057000
dgram,12000,500,32,16,laset,5274278,5007068,941746,926063,0.077200
dgram,12000,500,32,16,syssq,5274278,5007068,941746,926063,0.077200
dgram,12000,500,32,16,gessq,5274278,5007068,941746,926063,0.077200
dgram,12000,500,32,16,gram,5274278,5007068,941746,926063,0.077200
dgram,12000,500,32,16,plssq,5274278,5007068,941746,926063,0.077200
dgram,12000,500,32,16,plssq2,5274278,5007068,941746,926063,0.077200
dgram,12000,500,32,17,laset,4798328,4910632,730560,724486,0.051800
dgram,12000,500,32,17,syssq,4798328,4910632,730560,724486,0.051800
dgram,12000,500,32,17,gessq,4798328,4910632,730560,724486,0.051800
dgram,12000,500,32,17,gram,4798328,4910632,730560,724486,0.051800
dgram,12000,500,32,17,plssq,4798328,4910632,730560,724486,0.051800
dgram,12000,500,32,17,plssq2,4798328,4910632,730560,724486,0.051800
dgram,12000,500,32,18,laset,4464832,4508839,824409,729244,0.043900
dgram,12000,500,32,18,syssq,4464832,4508839,824409,729244,0.043900
dgram,12000,500,32,18,gessq,4464832,4508839,824409,729244,0.043900
dgram,12000,500,32,18,gram,4464832,4508839,824409,729244,0.043900
dgram,12000,500,32,18,plssq,4464832,4508839,824409,729244,0.043900
dgram,12000,500,32,18,plssq2,4464832,4508839,824409,729244,0.043900
dgram,12000,500,32,19,laset,4653431,4719959,704672,739128,0.049200
dgram,12000,500,32,19,syssq,4653431,4719959,704672,739128,0.049200
dgram,12000,500,32,19,gessq,4653431,4719959,704672,739128,0.049200
dgram,12000,500,32,19,gram,4653431,4719959,704672,739128,0.049200
dgram,12000,500,32,19,plssq,4653431,4719959,704672,739128,0.049200
dgram,12000,500,32,19,plssq2,4653431,4719959,704672,739128,0.049200
dgram,12000,500,32,20,laset,4599903,4540332,746716,732136,0.055500
dgram,12000,500,32,20,syssq,4599903,4540332,746716,732136,0.055500
dgram,12000,500,32,20,gessq,4599903,4540332,746716,732136,0.055500
dgram,12000,500,32,20,gram,4599903,4540332,746716,732136,0.055500
dgram,12000,500,32,20,plssq,4599903,4540332,746716,732136,0.055500
dgram,12000,500,32,20,plssq2,4599903,4540332,746716,732136,0.055500
dgram,12000,500,32,21,laset,4118214,3982595,749823,730942,0.056500
dgram,12000,500,32,21,syssq,4118214,3982595,749823,730942,0.056500
dgram,12000,500,32,21,gessq,4118214,3982595,749823,730942,0.056500
dgram,12000,500,32,21,gram,4118214,3982595,749823,730942,0.056500
