algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dpoinv,12000,500,32,1,potrf,271276405,278984271,33581847,34390024,1.775200
dpoinv,12000,500,32,1,trsm,271276405,278984271,33581847,34390024,1.775200
dpoinv,12000,500,32,1,syrk,271276405,278984271,33581847,34390024,1.775200
dpoinv,12000,500,32,1,gemm,271276405,278984271,33581847,34390024,1.775200
dpoinv,12000,500,32,1,trtri,271276405,278984271,33581847,34390024,1.775200
dpoinv,12000,500,32,1,lauum,271276405,278984271,33581847,34390024,1.775200
dpoinv,12000,500,32,1,trmm,271276405,278984271,33581847,34390024,1.775200
dpoinv,12000,500,32,2,potrf,276732263,281745312,32519415,36668255,1.823700
dpoinv,12000,500,32,2,trsm,276732263,281745312,32519415,36668255,1.823700
dpoinv,12000,500,32,2,syrk,276732263,281745312,32519415,36668255,1.823700
dpoinv,12000,500,32,2,gemm,276732263,281745312,32519415,36668255,1.823700
dpoinv,12000,500,32,2,trtri,276732263,281745312,32519415,36668255,1.823700
dpoinv,12000,500,32,2,lauum,276732263,281745312,32519415,36668255,1.823700
dpoinv,12000,500,32,2,trmm,276732263,281745312,32519415,36668255,1.823700
dpoinv,12000,500,32,3,potrf,266563283,271986181,33630410,36444876,1.890300
dpoinv,12000,500,32,3,trsm,266563283,271986181,33630410,36444876,1.890300
dpoinv,12000,500,32,3,syrk,266563283,271986181,33630410,36444876,1.890300
dpoinv,12000,500,32,3,gemm,266563283,271986181,33630410,36444876,1.890300
dpoinv,12000,500,32,3,trtri,266563283,271986181,33630410,36444876,1.890300
dpoinv,12000,500,32,3,lauum,266563283,271986181,33630410,36444876,1.890300
dpoinv,12000,500,32,3,trmm,266563283,271986181,33630410,36444876,1.890300
dpoinv,12000,500,32,4,potrf,269044966,277363609,34578750,36306425,1.926100
dpoinv,12000,500,32,4,trsm,269044966,277363609,34578750,36306425,1.926100
dpoinv,12000,500,32,4,syrk,269044966,277363609,34578750,36306425,1.926100
dpoinv,12000,500,32,4,gemm,269044966,277363609,34578750,36306425,1.926100
dpoinv,12000,500,32,4,trtri,269044966,277363609,34578750,36306425,1.926100
dpoinv,12000,500,32,4,lauum,269044966,277363609,34578750,36306425,1.926100
dpoinv,12000,500,32,4,trmm,269044966,277363609,34578750,36306425,1.926100
dpoinv,12000,500,32,5,potrf,267432909,274459258,33488273,34920092,1.788500
dpoinv,12000,500,32,5,trsm,267432909,274459258,33488273,34920092,1.788500
dpoinv,12000,500,32,5,syrk,267432909,274459258,33488273,34920092,1.788500
dpoinv,12000,500,32,5,gemm,267432909,274459258,33488273,34920092,1.788500
dpoinv,12000,500,32,5,trtri,267432909,274459258,33488273,34920092,1.788500
dpoinv,12000,500,32,5,lauum,267432909,274459258,33488273,34920092,1.788500
dpoinv,12000,500,32,5,trmm,267432909,274459258,33488273,34920092,1.788500
dpoinv,12000,500,32,6,potrf,268639998,274549163,33375405,35006156,1.795000
dpoinv,12000,500,32,6,trsm,268639998,274549163,33375405,35006156,1.795000
dpoinv,12000,500,32,6,syrk,268639998,274549163,33375405,35006156,1.795000
dpoinv,12000,500,32,6,gemm,268639998,274549163,33375405,35006156,1.795000
dpoinv,12000,500,32,6,trtri,268639998,274549163,33375405,35006156,1.795000
dpoinv,12000,500,32,6,lauum,268639998,274549163,33375405,35006156,1.795000
dpoinv,12000,500,32,6,trmm,268639998,274549163,33375405,35006156,1.795000
dpoinv,12000,500,32,7,potrf,265163444,274890105,34579607,36977881,1.946300
dpoinv,12000,500,32,7,trsm,265163444,274890105,34579607,36977881,1.946300
dpoinv,12000,500,32,7,syrk,265163444,274890105,34579607,36977881,1.946300
dpoinv,12000,500,32,7,gemm,265163444,274890105,34579607,36977881,1.946300
dpoinv,12000,500,32,7,trtri,265163444,274890105,34579607,36977881,1.946300
dpoinv,12000,500,32,7,lauum,265163444,274890105,34579607,36977881,1.946300
dpoinv,12000,500,32,7,trmm,265163444,274890105,34579607,36977881,1.946300
dpoinv,12000,500,32,8,potrf,268480453,277452842,33767789,38276867,1.980500
dpoinv,12000,500,32,8,trsm,268480453,277452842,33767789,38276867,1.980500
dpoinv,12000,500,32,8,syrk,268480453,277452842,33767789,38276867,1.980500
dpoinv,12000,500,32,8,gemm,268480453,277452842,33767789,38276867,1.980500
dpoinv,12000,500,32,8,trtri,268480453,277452842,33767789,38276867,1.980500
dpoinv,12000,500,32,8,lauum,268480453,277452842,33767789,38276867,1.980500
dpoinv,12000,500,32,8,trmm,268480453,277452842,33767789,38276867,1.980500
dpoinv,12000,500,32,9,potrf,226234040,228018215,35626861,38774759,2.019900
dpoinv,12000,500,32,9,trsm,226234040,228018215,35626861,38774759,2.019900
dpoinv,12000,500,32,9,syrk,226234040,228018215,35626861,38774759,2.019900
dpoinv,12000,500,32,9,gemm,226234040,228018215,35626861,38774759,2.019900
dpoinv,12000,500,32,9,trtri,226234040,228018215,35626861,38774759,2.019900
dpoinv,12000,500,32,9,lauum,226234040,228018215,35626861,38774759,2.019900
dpoinv,12000,500,32,9,trmm,226234040,228018215,35626861,38774759,2.019900
dpoinv,12000,500,32,10,potrf,222751017,226270661,35683685,38142778,1.993600
dpoinv,12000,500,32,10,trsm,222751017,226270661,35683685,38142778,1.993600
dpoinv,12000,500,32,10,syrk,222751017,226270661,35683685,38142778,1.993600
dpoinv,12000,500,32,10,gemm,222751017,226270661,35683685,38142778,1.993600
dpoinv,12000,500,32,10,trtri,222751017,226270661,35683685,38142778,1.993600
dpoinv,12000,500,32,10,lauum,222751017,226270661,35683685,38142778,1.993600
dpoinv,12000,500,32,10,trmm,222751017,226270661,35683685,38142778,1.993600
dpoinv,12000,500,32,11,potrf,226644073,229536705,36480050,41269317,2.183700
dpoinv,12000,500,32,11,trsm,226644073,229536705,36480050,41269317,2.183700
dpoinv,12000,500,32,11,syrk,226644073,229536705,36480050,41269317,2.183700
dpoinv,12000,500,32,11,gemm,226644073,229536705,36480050,41269317,2.183700
dpoinv,12000,500,32,11,trtri,226644073,229536705,36480050,41269317,2.183700
dpoinv,12000,500,32,11,lauum,226644073,229536705,36480050,41269317,2.183700
dpoinv,12000,500,32,11,trmm,226644073,229536705,36480050,41269317,2.183700
dpoinv,12000,500,32,12,potrf,228764307,226988372,39174089,38393208,2.180700
dpoinv,12000,500,32,12,trsm,228764307,226988372,39174089,38393208,2.180700
dpoinv,12000,500,32,12,syrk,228764307,226988372,39174089,38393208,2.180700
dpoinv,12000,500,32,12,gemm,228764307,226988372,39174089,38393208,2.180700
dpoinv,12000,500,32,12,trtri,228764307,226988372,39174089,38393208,2.180700
dpoinv,12000,500,32,12,lauum,228764307,226988372,39174089,38393208,2.180700
