algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dpotrf,12288,320,32,1,potrf,115972237,116493171,16114848,9406883,0.847600
dpotrf,12288,320,32,1,trsm,115972237,116493171,16114848,9406883,0.847600
dpotrf,12288,320,32,1,syrk,115972237,116493171,16114848,9406883,0.847600
dpotrf,12288,320,32,1,gemm,115972237,116493171,16114848,9406883,0.847600
dpotrf,12288,320,32,1,trsm,115972237,116493171,16114848,9406883,0.847600
dpotrf,12288,320,32,1,gemm,115972237,116493171,16114848,9406883,0.847600
dpotrf,12288,320,32,2,potrf,120818478,121243281,16601632,9673027,0.886300
dpotrf,12288,320,32,2,trsm,120818478,121243281,16601632,9673027,0.886300
dpotrf,12288,320,32,2,syrk,120818478,121243281,16601632,9673027,0.886300
dpotrf,12288,320,32,2,gemm,120818478,121243281,16601632,9673027,0.886300
dpotrf,12288,320,32,2,trsm,120818478,121243281,16601632,9673027,0.886300
dpotrf,12288,320,32,2,gemm,120818478,121243281,16601632,9673027,0.886300
dpotrf,12288,320,32,3,potrf,118603822,117852787,16906423,10037152,0.943200
dpotrf,12288,320,32,3,trsm,118603822,117852787,16906423,10037152,0.943200
dpotrf,12288,320,32,3,syrk,118603822,117852787,16906423,10037152,0.943200
dpotrf,12288,320,32,3,gemm,118603822,117852787,16906423,10037152,0.943200
dpotrf,12288,320,32,3,trsm,118603822,117852787,16906423,10037152,0.943200
dpotrf,12288,320,32,3,gemm,118603822,117852787,16906423,10037152,0.943200
dpotrf,12288,320,32,4,potrf,120897518,121811212,17237592,10349900,0.973100
dpotrf,12288,320,32,4,trsm,120897518,121811212,17237592,10349900,0.973100
dpotrf,12288,320,32,4,syrk,120897518,121811212,17237592,10349900,0.973100
dpotrf,12288,320,32,4,gemm,120897518,121811212,17237592,10349900,0.973100
dpotrf,12288,320,32,4,trsm,120897518,121811212,17237592,10349900,0.973100
dpotrf,12288,320,32,4,gemm,120897518,121811212,17237592,10349900,0.973100
dpotrf,12288,320,32,5,potrf,115615732,116567145,16377609,9668085,0.872100
dpotrf,12288,320,32,5,trsm,115615732,116567145,16377609,9668085,0.872100
dpotrf,12288,320,32,5,syrk,115615732,116567145,16377609,9668085,0.872100
dpotrf,12288,320,32,5,gemm,115615732,116567145,16377609,9668085,0.872100
dpotrf,12288,320,32,5,trsm,115615732,116567145,16377609,9668085,0.872100
dpotrf,12288,320,32,5,gemm,115615732,116567145,16377609,9668085,0.872100
dpotrf,12288,320,32,6,potrf,119369019,117739689,16660063,9706275,0.900300
dpotrf,12288,320,32,6,trsm,119369019,117739689,16660063,9706275,0.900300
dpotrf,12288,320,32,6,syrk,119369019,117739689,16660063,9706275,0.900300
dpotrf,12288,320,32,6,gemm,119369019,117739689,16660063,9706275,0.900300
dpotrf,12288,320,32,6,trsm,119369019,117739689,16660063,9706275,0.900300
dpotrf,12288,320,32,6,gemm,119369019,117739689,16660063,9706275,0.900300
dpotrf,12288,320,32,7,potrf,118752625,116531440,17147459,10292126,0.963600
dpotrf,12288,320,32,7,trsm,118752625,116531440,17147459,10292126,0.963600
dpotrf,12288,320,32,7,syrk,118752625,116531440,17147459,10292126,0.963600
dpotrf,12288,320,32,7,gemm,118752625,116531440,17147459,10292126,0.963600
dpotrf,12288,320,32,7,trsm,118752625,116531440,17147459,10292126,0.963600
dpotrf,12288,320,32,7,gemm,118752625,116531440,17147459,10292126,0.963600
dpotrf,12288,320,32,8,potrf,113326919,115159922,16816811,10092920,0.941800
dpotrf,12288,320,32,8,trsm,113326919,115159922,16816811,10092920,0.941800
dpotrf,12288,320,32,8,syrk,113326919,115159922,16816811,10092920,0.941800
dpotrf,12288,320,32,8,gemm,113326919,115159922,16816811,10092920,0.941800
dpotrf,12288,320,32,8,trsm,113326919,115159922,16816811,10092920,0.941800
dpotrf,12288,320,32,8,gemm,113326919,115159922,16816811,10092920,0.941800
dpotrf,12288,320,32,9,potrf,91685679,86602683,16422500,8722347,0.895400
dpotrf,12288,320,32,9,trsm,91685679,86602683,16422500,8722347,0.895400
dpotrf,12288,320,32,9,syrk,91685679,86602683,16422500,8722347,0.895400
dpotrf,12288,320,32,9,gemm,91685679,86602683,16422500,8722347,0.895400
dpotrf,12288,320,32,9,trsm,91685679,86602683,16422500,8722347,0.895400
dpotrf,12288,320,32,9,gemm,91685679,86602683,16422500,8722347,0.895400
dpotrf,12288,320,32,10,potrf,92117867,87261312,16425117,8853023,0.906000
dpotrf,12288,320,32,10,trsm,92117867,87261312,16425117,8853023,0.906000
dpotrf,12288,320,32,10,syrk,92117867,87261312,16425117,8853023,0.906000
dpotrf,12288,320,32,10,gemm,92117867,87261312,16425117,8853023,0.906000
dpotrf,12288,320,32,10,trsm,92117867,87261312,16425117,8853023,0.906000
dpotrf,12288,320,32,10,gemm,92117867,87261312,16425117,8853023,0.906000
dpotrf,12288,320,32,11,potrf,94916566,88501116,16935080,9198651,0.983500
dpotrf,12288,320,32,11,trsm,94916566,88501116,16935080,9198651,0.983500
dpotrf,12288,320,32,11,syrk,94916566,88501116,16935080,9198651,0.983500
dpotrf,12288,320,32,11,gemm,94916566,88501116,16935080,9198651,0.983500
dpotrf,12288,320,32,11,trsm,94916566,88501116,16935080,9198651,0.983500
dpotrf,12288,320,32,11,gemm,94916566,88501116,16935080,9198651,0.983500
dpotrf,12288,320,32,12,potrf,94620729,88536577,16878776,9194397,0.981700
dpotrf,12288,320,32,12,trsm,94620729,88536577,16878776,9194397,0.981700
dpotrf,12288,320,32,12,syrk,94620729,88536577,16878776,9194397,0.981700
dpotrf,12288,320,32,12,gemm,94620729,88536577,16878776,9194397,0.981700
dpotrf,12288,320,32,12,trsm,94620729,88536577,16878776,9194397,0.981700
dpotrf,12288,320,32,12,gemm,94620729,88536577,16878776,9194397,0.981700
dpotrf,12288,320,32,13,potrf,91132640,86637351,16412081,8916182,0.910300
dpotrf,12288,320,32,13,trsm,91132640,86637351,16412081,8916182,0.910300
dpotrf,12288,320,32,13,syrk,91132640,86637351,16412081,8916182,0.910300
dpotrf,12288,320,32,13,gemm,91132640,86637351,16412081,8916182,0.910300
dpotrf,12288,320,32,13,trsm,91132640,86637351,16412081,8916182,0.910300
dpotrf,12288,320,32,13,gemm,91132640,86637351,16412081,8916182,0.910300
dpotrf,12288,320,32,14,potrf,90898144,86516685,16421780,8663778,0.919600
dpotrf,12288,320,32,14,trsm,90898144,86516685,16421780,8663778,0.919600
dpotrf,12288,320,32,14,syrk,90898144,86516685,16421780,8663778,0.919600
dpotrf,12288,320,32,14,gemm,90898144,86516685,16421780,8663778,0.919600
dpotrf,12288,320,32,14,trsm,90898144,86516685,16421780,8663778,0.919600
dpotrf,12288,320,32,14,gemm,90898144,86516685,16421780,8663778,0.919600
dpotrf,12288,320,32,15,potrf,93824894,88246478,16929603,9136013,0.984800
dpotrf,12288,320,32,15,trsm,93824894,88246478,16929603,9136013,0.984800
dpotrf,12288,320,32,15,syrk,93824894,88246478,16929603,9136013,0.984800
dpotrf,12288,320,32,15,gemm,93824894,88246478,16929603,9136013,0.984800
dpotrf,12288,320,32,15,trsm,93824894,88246478,16929603,9136013,0.984800
dpotrf,12288,320,32,15,gemm,93824894,88246478,16929603,9136013,0.984800
dpotrf,12288,320,32,16,potrf,94213138,87823078,16943954,9305445,0.983900
dpotrf,12288,320,32,16,trsm,94213138,87823078,16943954,9305445,0.983900
dpotrf,12288,320,32,16,syrk,94213138,87823078,16943954,9305445,0.983900
dpotrf,12288,320,32,16,gemm,94213138,87823078,16943954,9305445,0.983900
dpotrf,12288,320,32,16,trsm,94213138,87823078,16943954,9305445,0.983900
dpotrf,12288,320,32,16,gemm,94213138,87823078,16943954,9305445,0.983900
dpotrf,12288,640,32,1,potrf,130844514,124105212,18707371,11047686,1.050700
dpotrf,12288,640,32,1,trsm,130844514,124105212,18707371,11047686,1.050700
dpotrf,12288,640,32,1,syrk,130844514,124105212,18707371,11047686,1.050700
dpotrf,12288,640,32,1,gemm,130844514,124105212,18707371,11047686,1.050700
dpotrf,12288,640,32,1,trsm,130844514,124105212,18707371,11047686,1.050700
dpotrf,12288,640,32,1,gemm,130844514,124105212,18707371,11047686,1.050700
