algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dpotrs,8192,320,32,1,trsm,2136408,2082819,290104,128642,0.026200
dpotrs,8192,320,32,1,gemm,2136408,2082819,290104,128642,0.026200
dpotrs,8192,320,32,2,trsm,2717339,2640924,347019,158967,0.024800
dpotrs,8192,320,32,2,gemm,2717339,2640924,347019,158967,0.024800
dpotrs,8192,320,32,3,trsm,2720574,2545831,402161,225996,0.036700
dpotrs,8192,320,32,3,gemm,2720574,2545831,402161,225996,0.036700
dpotrs,8192,320,32,4,trsm,2761956,2539300,400263,225553,0.036300
dpotrs,8192,320,32,4,gemm,2761956,2539300,400263,225553,0.036300
dpotrs,8192,640,32,1,trsm,3082634,2835319,413391,204072,0.039900
dpotrs,8192,640,32,1,gemm,3082634,2835319,413391,204072,0.039900
dpotrs,8192,640,32,2,trsm,3153252,2968376,419327,182315,0.033500
dpotrs,8192,640,32,2,gemm,3153252,2968376,419327,182315,0.033500
dpotrs,8192,640,32,3,trsm,3382499,3075371,509673,261860,0.048500
dpotrs,8192,640,32,3,gemm,3382499,3075371,509673,261860,0.048500
dpotrs,8192,640,32,4,trsm,2532282,2237604,451029,186568,0.035300
dpotrs,8192,640,32,4,gemm,2532282,2237604,451029,186568,0.035300
dpotrs,8192,960,32,1,trsm,3830801,3452567,546271,250002,0.047800
dpotrs,8192,960,32,1,gemm,3830801,3452567,546271,250002,0.047800
dpotrs,8192,960,32,2,trsm,3876882,3835256,568349,252267,0.047900
dpotrs,8192,960,32,2,gemm,3876882,3835256,568349,252267,0.047900
dpotrs,8192,960,32,3,trsm,3626700,3280509,597312,273090,0.053600
dpotrs,8192,960,32,3,gemm,3626700,3280509,597312,273090,0.053600
dpotrs,8192,960,32,4,trsm,3164055,2898247,531506,234564,0.047800
dpotrs,8192,960,32,4,gemm,3164055,2898247,531506,234564,0.047800
dpotrs,8192,1280,32,1,trsm,3403739,3291252,595308,241924,0.047500
dpotrs,8192,1280,32,1,gemm,3403739,3291252,595308,241924,0.047500
dpotrs,8192,1280,32,2,trsm,4026356,3646597,694467,360269,0.060100
dpotrs,8192,1280,32,2,gemm,4026356,3646597,694467,360269,0.060100
dpotrs,8192,1280,32,3,trsm,4209401,3572867,704780,399713,0.059700
dpotrs,8192,1280,32,3,gemm,4209401,3572867,704780,399713,0.059700
dpotrs,8192,1280,32,4,trsm,4439625,3709281,724409,439507,0.065600
dpotrs,8192,1280,32,4,gemm,4439625,3709281,724409,439507,0.065600
