algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dtradd,24576,512,32,1,tradd,13996363,14266198,2629427,2771013,0.153700
dtradd,24576,512,32,1,geadd,13996363,14266198,2629427,2771013,0.153700
dtradd,24576,512,32,1,trsm,13996363,14266198,2629427,2771013,0.153700
dtradd,24576,512,32,1,trtri,13996363,14266198,2629427,2771013,0.153700
dtradd,24576,512,32,1,gemm,13996363,14266198,2629427,2771013,0.153700
dtradd,24576,512,32,2,tradd,19146191,18908826,2939069,2819102,0.159300
dtradd,24576,512,32,2,geadd,19146191,18908826,2939069,2819102,0.159300
dtradd,24576,512,32,2,trsm,19146191,18908826,2939069,2819102,0.159300
dtradd,24576,512,32,2,trtri,19146191,18908826,2939069,2819102,0.159300
dtradd,24576,512,32,2,gemm,19146191,18908826,2939069,2819102,0.159300
dtradd,24576,512,32,3,tradd,12866422,12063079,3121858,2987509,0.159100
dtradd,24576,512,32,3,geadd,12866422,12063079,3121858,2987509,0.159100
dtradd,24576,512,32,3,trsm,12866422,12063079,3121858,2987509,0.159100
dtradd,24576,512,32,3,trtri,12866422,12063079,3121858,2987509,0.159100
dtradd,24576,512,32,3,gemm,12866422,12063079,3121858,2987509,0.159100
dtradd,24576,512,32,4,tradd,11344209,11337740,2642846,2978604,0.165100
dtradd,24576,512,32,4,geadd,11344209,11337740,2642846,2978604,0.165100
dtradd,24576,512,32,4,trsm,11344209,11337740,2642846,2978604,0.165100
dtradd,24576,512,32,4,trtri,11344209,11337740,2642846,2978604,0.165100
dtradd,24576,512,32,4,gemm,11344209,11337740,2642846,2978604,0.165100
dtradd,24576,768,32,1,tradd,16314045,16612995,3144012,3272028,0.163000
dtradd,24576,768,32,1,geadd,16314045,16612995,3144012,3272028,0.163000
dtradd,24576,768,32,1,trsm,16314045,16612995,3144012,3272028,0.163000
dtradd,24576,768,32,1,trtri,16314045,16612995,3144012,3272028,0.163000
dtradd,24576,768,32,1,gemm,16314045,16612995,3144012,3272028,0.163000
dtradd,24576,768,32,2,tradd,20704781,20935371,3229310,3264500,0.167000
dtradd,24576,768,32,2,geadd,20704781,20935371,3229310,3264500,0.167000
dtradd,24576,768,32,2,trsm,20704781,20935371,3229310,3264500,0.167000
dtradd,24576,768,32,2,trtri,20704781,20935371,3229310,3264500,0.167000
dtradd,24576,768,32,2,gemm,20704781,20935371,3229310,3264500,0.167000
dtradd,24576,768,32,3,tradd,13509182,13036283,3309589,3242453,0.168700
dtradd,24576,768,32,3,geadd,13509182,13036283,3309589,3242453,0.168700
dtradd,24576,768,32,3,trsm,13509182,13036283,3309589,3242453,0.168700
dtradd,24576,768,32,3,trtri,13509182,13036283,3309589,3242453,0.168700
dtradd,24576,768,32,3,gemm,13509182,13036283,3309589,3242453,0.168700
dtradd,24576,768,32,4,tradd,13142301,12649504,3232998,3371080,0.169600
dtradd,24576,768,32,4,geadd,13142301,12649504,3232998,3371080,0.169600
dtradd,24576,768,32,4,trsm,13142301,12649504,3232998,3371080,0.169600
dtradd,24576,768,32,4,trtri,13142301,12649504,3232998,3371080,0.169600
dtradd,24576,768,32,4,gemm,13142301,12649504,3232998,3371080,0.169600
dtradd,24576,1024,32,1,tradd,16369098,16638141,3190188,3247211,0.163400
dtradd,24576,1024,32,1,geadd,16369098,16638141,3190188,3247211,0.163400
dtradd,24576,1024,32,1,trsm,16369098,16638141,3190188,3247211,0.163400
dtradd,24576,1024,32,1,trtri,16369098,16638141,3190188,3247211,0.163400
dtradd,24576,1024,32,1,gemm,16369098,16638141,3190188,3247211,0.163400
dtradd,24576,1024,32,2,tradd,20310251,20975898,3243493,3283579,0.164900
dtradd,24576,1024,32,2,geadd,20310251,20975898,3243493,3283579,0.164900
dtradd,24576,1024,32,2,trsm,20310251,20975898,3243493,3283579,0.164900
dtradd,24576,1024,32,2,trtri,20310251,20975898,3243493,3283579,0.164900
dtradd,24576,1024,32,2,gemm,20310251,20975898,3243493,3283579,0.164900
dtradd,24576,1024,32,3,tradd,13754786,12898831,3292483,3290633,0.169500
dtradd,24576,1024,32,3,geadd,13754786,12898831,3292483,3290633,0.169500
dtradd,24576,1024,32,3,trsm,13754786,12898831,3292483,3290633,0.169500
dtradd,24576,1024,32,3,trtri,13754786,12898831,3292483,3290633,0.169500
dtradd,24576,1024,32,3,gemm,13754786,12898831,3292483,3290633,0.169500
dtradd,24576,1024,32,4,tradd,12571928,11975067,3151693,3172562,0.163100
dtradd,24576,1024,32,4,geadd,12571928,11975067,3151693,3172562,0.163100
dtradd,24576,1024,32,4,trsm,12571928,11975067,3151693,3172562,0.163100
dtradd,24576,1024,32,4,trtri,12571928,11975067,3151693,3172562,0.163100
dtradd,24576,1024,32,4,gemm,12571928,11975067,3151693,3172562,0.163100
