algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dtrsm,36864,512,32,1,trsm,7226744500,7235178621,842895864,961544015,48.304500
dtrsm,36864,512,32,1,gemm,7226744500,7235178621,842895864,961544015,48.304500
dtrsm,36864,512,32,2,trsm,7091997896,7098073321,830479334,952181730,47.517500
dtrsm,36864,512,32,2,gemm,7091997896,7098073321,830479334,952181730,47.517500
dtrsm,36864,512,32,3,trsm,5759547877,5837667001,909617008,1043601096,54.471300
dtrsm,36864,512,32,3,gemm,5759547877,5837667001,909617008,1043601096,54.471300
dtrsm,36864,512,32,4,trsm,5794899289,5796361382,942135444,1023791283,55.120400
dtrsm,36864,512,32,4,gemm,5794899289,5796361382,942135444,1023791283,55.120400
dtrsm,36864,768,32,1,trsm,6803147928,6809267480,787818573,892303711,45.432300
dtrsm,36864,768,32,1,gemm,6803147928,6809267480,787818573,892303711,45.432300
dtrsm,36864,768,32,2,trsm,6617887660,6623891674,781882097,870894314,44.416100
dtrsm,36864,768,32,2,gemm,6617887660,6623891674,781882097,870894314,44.416100
dtrsm,36864,768,32,3,trsm,5352811919,5376150300,825046120,945498155,50.003800
dtrsm,36864,768,32,3,gemm,5352811919,5376150300,825046120,945498155,50.003800
dtrsm,36864,768,32,4,trsm,5378899499,5361739387,863342632,927151680,50.850800
dtrsm,36864,768,32,4,gemm,5378899499,5361739387,863342632,927151680,50.850800
dtrsm,36864,1024,32,1,trsm,7278539778,7304637733,850581438,954417428,48.789100
dtrsm,36864,1024,32,1,gemm,7278539778,7304637733,850581438,954417428,48.789100
dtrsm,36864,1024,32,2,trsm,7001832295,7073041280,829683076,941693212,47.475500
dtrsm,36864,1024,32,2,gemm,7001832295,7073041280,829683076,941693212,47.475500
dtrsm,36864,1024,32,3,trsm,5463555655,5488204700,879483321,969248038,50.798900
dtrsm,36864,1024,32,3,gemm,5463555655,5488204700,879483321,969248038,50.798900
dtrsm,36864,1024,32,4,trsm,5433685919,5570658591,855097018,1021821776,52.707900
dtrsm,36864,1024,32,4,gemm,5433685919,5570658591,855097018,1021821776,52.707900
