algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dtrtri,28672,512,32,1,trsm,1236377267,1246249922,153133875,157825451,8.225500
dtrtri,28672,512,32,1,trtri,1236377267,1246249922,153133875,157825451,8.225500
dtrtri,28672,512,32,1,gemm,1236377267,1246249922,153133875,157825451,8.225500
dtrtri,28672,512,32,2,trsm,1224757668,1239191164,160594767,153145931,8.591000
dtrtri,28672,512,32,2,trtri,1224757668,1239191164,160594767,153145931,8.591000
dtrtri,28672,512,32,2,gemm,1224757668,1239191164,160594767,153145931,8.591000
dtrtri,28672,512,32,3,trsm,1257738968,1266923209,148286514,165700576,8.384600
dtrtri,28672,512,32,3,trtri,1257738968,1266923209,148286514,165700576,8.384600
dtrtri,28672,512,32,3,gemm,1257738968,1266923209,148286514,165700576,8.384600
dtrtri,28672,512,32,4,trsm,1219307792,1231666158,158325425,156773194,8.527600
dtrtri,28672,512,32,4,trtri,1219307792,1231666158,158325425,156773194,8.527600
dtrtri,28672,512,32,4,gemm,1219307792,1231666158,158325425,156773194,8.527600
dtrtri,28672,512,32,5,trsm,987863316,1002396970,161994916,167385167,8.998400
dtrtri,28672,512,32,5,trtri,987863316,1002396970,161994916,167385167,8.998400
dtrtri,28672,512,32,5,gemm,987863316,1002396970,161994916,167385167,8.998400
dtrtri,28672,512,32,6,trsm,985743937,989788360,167766642,170019414,9.489400
dtrtri,28672,512,32,6,trtri,985743937,989788360,167766642,170019414,9.489400
dtrtri,28672,512,32,6,gemm,985743937,989788360,167766642,170019414,9.489400
dtrtri,28672,512,32,7,trsm,986465431,994415850,163506969,164715960,8.989700
dtrtri,28672,512,32,7,trtri,986465431,994415850,163506969,164715960,8.989700
dtrtri,28672,512,32,7,gemm,986465431,994415850,163506969,164715960,8.989700
dtrtri,28672,512,32,8,trsm,991968530,992201684,170414628,169162430,9.566500
dtrtri,28672,512,32,8,trtri,991968530,992201684,170414628,169162430,9.566500
dtrtri,28672,512,32,8,gemm,991968530,992201684,170414628,169162430,9.566500
dtrtri,28672,768,32,1,trsm,1105448525,1113244647,137022011,138808133,7.316100
dtrtri,28672,768,32,1,trtri,1105448525,1113244647,137022011,138808133,7.316100
dtrtri,28672,768,32,1,gemm,1105448525,1113244647,137022011,138808133,7.316100
dtrtri,28672,768,32,2,trsm,1092720836,1106066138,141278961,141551224,7.719700
dtrtri,28672,768,32,2,trtri,1092720836,1106066138,141278961,141551224,7.719700
dtrtri,28672,768,32,2,gemm,1092720836,1106066138,141278961,141551224,7.719700
dtrtri,28672,768,32,3,trsm,1096261537,1103411238,135629971,138490490,7.262800
dtrtri,28672,768,32,3,trtri,1096261537,1103411238,135629971,138490490,7.262800
dtrtri,28672,768,32,3,gemm,1096261537,1103411238,135629971,138490490,7.262800
dtrtri,28672,768,32,4,trsm,1102033617,1115215407,142882095,142098169,7.771100
dtrtri,28672,768,32,4,trtri,1102033617,1115215407,142882095,142098169,7.771100
dtrtri,28672,768,32,4,gemm,1102033617,1115215407,142882095,142098169,7.771100
dtrtri,28672,768,32,5,trsm,907526119,918469999,143215161,147566419,8.002100
dtrtri,28672,768,32,5,trtri,907526119,918469999,143215161,147566419,8.002100
dtrtri,28672,768,32,5,gemm,907526119,918469999,143215161,147566419,8.002100
dtrtri,28672,768,32,6,trsm,907637691,906259155,148558318,154550655,8.669300
dtrtri,28672,768,32,6,trtri,907637691,906259155,148558318,154550655,8.669300
dtrtri,28672,768,32,6,gemm,907637691,906259155,148558318,154550655,8.669300
dtrtri,28672,768,32,7,trsm,902694832,911195116,142189418,148552107,8.000000
dtrtri,28672,768,32,7,trtri,902694832,911195116,142189418,148552107,8.000000
dtrtri,28672,768,32,7,gemm,902694832,911195116,142189418,148552107,8.000000
dtrtri,28672,768,32,8,trsm,912945355,907161862,152065384,153166250,8.764100
dtrtri,28672,768,32,8,trtri,912945355,907161862,152065384,153166250,8.764100
dtrtri,28672,768,32,8,gemm,912945355,907161862,152065384,153166250,8.764100
dtrtri,28672,1024,32,1,trsm,1147861136,1153469825,143256471,142812219,7.635800
dtrtri,28672,1024,32,1,trtri,1147861136,1153469825,143256471,142812219,7.635800
dtrtri,28672,1024,32,1,gemm,1147861136,1153469825,143256471,142812219,7.635800
dtrtri,28672,1024,32,2,trsm,1108952972,1121503415,144933366,144151903,7.861100
dtrtri,28672,1024,32,2,trtri,1108952972,1121503415,144933366,144151903,7.861100
dtrtri,28672,1024,32,2,gemm,1108952972,1121503415,144933366,144151903,7.861100
dtrtri,28672,1024,32,3,trsm,1132263031,1137173175,142622974,141782009,7.519100
dtrtri,28672,1024,32,3,trtri,1132263031,1137173175,142622974,141782009,7.519100
dtrtri,28672,1024,32,3,gemm,1132263031,1137173175,142622974,141782009,7.519100
dtrtri,28672,1024,32,4,trsm,1113484088,1117331734,142407596,147407560,7.879800
dtrtri,28672,1024,32,4,trtri,1113484088,1117331734,142407596,147407560,7.879800
dtrtri,28672,1024,32,4,gemm,1113484088,1117331734,142407596,147407560,7.879800
dtrtri,28672,1024,32,5,trsm,926594491,932477044,149541221,150366579,8.217800
dtrtri,28672,1024,32,5,trtri,926594491,932477044,149541221,150366579,8.217800
dtrtri,28672,1024,32,5,gemm,926594491,932477044,149541221,150366579,8.217800
dtrtri,28672,1024,32,6,trsm,919336514,919627407,155002021,157582717,8.890600
dtrtri,28672,1024,32,6,trtri,919336514,919627407,155002021,157582717,8.890600
dtrtri,28672,1024,32,6,gemm,919336514,919627407,155002021,157582717,8.890600
dtrtri,28672,1024,32,7,trsm,919297207,925370251,148963784,150097146,8.190600
dtrtri,28672,1024,32,7,trtri,919297207,925370251,148963784,150097146,8.190600
dtrtri,28672,1024,32,7,gemm,919297207,925370251,148963784,150097146,8.190600
dtrtri,28672,1024,32,8,trsm,914597146,914825478,155534353,155932489,8.876500
dtrtri,28672,1024,32,8,trtri,914597146,914825478,155534353,155932489,8.876500
dtrtri,28672,1024,32,8,gemm,914597146,914825478,155534353,155932489,8.876500
