algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dcesca,24576,512,32,1,66542860,64248675,11150640,3476328,0.690500
dcesca,24576,512,32,2,55667033,52077626,10418918,3020236,0.592000
dcesca,24576,512,32,3,57584386,48882077,10437813,4177405,0.563300
dcesca,24576,512,32,4,62765464,57620030,11718224,4106107,0.736500
dcesca,24576,512,32,5,50287347,45802190,10477225,2917082,0.574400
dcesca,24576,512,32,6,61277919,55280926,11692674,3717028,0.739900
dcesca,24576,512,32,7,60637601,55476848,11432619,3531163,0.679800
dcesca,24576,512,32,8,60306364,54536542,11605831,3718282,0.737100
dcesca,24576,512,32,9,73871271,70574831,11170745,4345184,0.673000
dcesca,24576,512,32,10,74242912,69180975,11393864,5072210,0.691800
dcesca,24576,512,32,11,61559779,54449201,10637876,4356430,0.591100
dcesca,24576,512,32,12,61185634,55998819,11671162,4119663,0.732200
dcesca,24576,512,32,13,61815454,57328711,11258566,3543113,0.691400
dcesca,24576,512,32,14,60791471,54787091,11627342,3734853,0.734800
dcesca,24576,512,32,15,61543910,56735817,11514259,3597810,0.704800
dcesca,24576,512,32,16,51445303,46553775,10794287,3246262,0.626000
dcesca,24576,512,32,17,64735064,60791714,11142592,4546441,0.677400
dcesca,24576,512,32,18,57918492,53670639,11177568,3594292,0.719700
dcesca,24576,512,32,19,57767064,52823168,11232419,3585478,0.706000
dcesca,24576,512,32,20,56067117,49861017,11453519,3707940,0.735500
dcesca,24576,512,32,21,57091223,51302725,11317456,3676101,0.709700
dcesca,24576,512,32,22,55865274,49459895,11685420,3794063,0.763400
dcesca,24576,512,32,23,56308938,50616997,11508798,3544658,0.706600
dcesca,24576,512,32,24,46489566,40399250,10900470,3226311,0.624800
dcesca,24576,512,32,25,62957663,60074309,11316125,3574233,0.719500
dcesca,24576,512,32,26,60415373,55948221,11549618,3707450,0.744900
dcesca,24576,512,32,27,56305642,50828239,11121891,3615650,0.689400
dcesca,24576,512,32,28,54619245,48744138,11334148,3645806,0.730300
dcesca,24576,512,32,29,57863011,52416980,11485021,3786398,0.725900
dcesca,24576,512,32,30,50058344,44345590,11039088,3510478,0.673400
dcesca,24576,512,32,31,55723612,49904902,11467885,3758414,0.717500
dcesca,24576,512,32,32,45026557,39024375,10660014,3119441,0.617500
dcesca,24576,512,32,33,53753280,50822929,10294926,2900926,0.557400
dcesca,24576,512,32,34,61793421,57930760,11147105,3476084,0.681300
dcesca,24576,512,32,35,49433162,45432867,10219176,2862354,0.557600
dcesca,24576,512,32,36,57727879,52887315,11089853,3447029,0.677200
dcesca,24576,512,32,37,61673548,56588417,11264762,3497549,0.694400
dcesca,24576,512,32,38,64653216,59298311,12270600,4152848,0.806400
dcesca,24576,512,32,39,59910858,55612468,11296617,3540191,0.690800
dcesca,24576,512,32,40,60100982,54465864,11676073,3804835,0.749100
dcesca,24576,512,32,41,56296548,53088976,10377929,3001401,0.579200
dcesca,24576,512,32,42,62404808,57810033,11272030,4793414,0.684900
dcesca,24576,512,32,43,65582046,59887481,11242195,4910948,0.674500
dcesca,24576,512,32,44,60441191,54586774,11608875,3963649,0.721200
dcesca,24576,512,32,45,61213405,57674229,11297259,3500839,0.695900
dcesca,24576,512,32,46,62817528,56634255,11845688,3864765,0.763100
dcesca,24576,512,32,47,48240050,43240124,10408315,2970051,0.569900
dcesca,24576,512,32,48,60436674,54903301,11784335,3800383,0.756600
dcesca,24576,512,32,49,49252011,44934089,10235379,2918154,0.570100
