algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dgesv_nopiv,12288,512,32,1,269580121,256796645,38577145,20046443,2.027500
dgesv_nopiv,12288,512,32,2,270880166,256493057,38646286,20503255,2.038000
dgesv_nopiv,12288,512,32,3,269439251,254531026,39795621,21214766,2.165500
dgesv_nopiv,12288,512,32,4,271946874,254562092,39903058,21593212,2.193600
dgesv_nopiv,12288,512,32,5,209533216,192210324,39724018,20638368,2.125000
dgesv_nopiv,12288,512,32,6,211685981,193122247,40188816,20335735,2.171100
dgesv_nopiv,12288,512,32,7,211456307,193506585,41035808,21141204,2.268300
dgesv_nopiv,12288,512,32,8,212515081,193361077,41096458,21073104,2.293200
dgesv_nopiv,12288,1024,32,1,252270899,239909420,35008818,21657502,2.032400
dgesv_nopiv,12288,1024,32,2,267217883,252354030,36762855,23446394,2.296500
dgesv_nopiv,12288,1024,32,3,275021757,255299823,40153595,23694039,2.574700
dgesv_nopiv,12288,1024,32,4,283074776,266665089,41152288,24992581,2.780000
dgesv_nopiv,12288,1024,32,5,212963628,193943412,37445893,21618915,2.293300
dgesv_nopiv,12288,1024,32,6,218658193,207434344,38402924,22932344,2.495400
dgesv_nopiv,12288,1024,32,7,228927087,205656211,40300828,24185735,2.711800
dgesv_nopiv,12288,1024,32,8,240033810,223501808,41245418,26804483,3.013300
dgesv_nopiv,12288,2048,32,1,297500154,282820626,41765573,26054079,3.072700
dgesv_nopiv,12288,2048,32,2,350877031,314914599,45768466,31530867,4.039400
dgesv_nopiv,12288,2048,32,3,348325646,345393220,52105772,31368855,4.609000
dgesv_nopiv,12288,2048,32,4,395371547,388491010,57120240,37317435,5.571900
dgesv_nopiv,12288,2048,32,5,308732059,307796270,50916992,33815968,4.390400
dgesv_nopiv,12288,2048,32,6,371833033,350243610,57521176,38161429,5.534500
dgesv_nopiv,12288,2048,32,7,371943201,346199919,60000939,38494509,5.717100
dgesv_nopiv,12288,2048,32,8,418949489,390498940,63905989,43688201,6.653400
