algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dgetrf_nopiv,8192,320,32,1,72814388,72647153,10395753,5998993,0.550800
dgetrf_nopiv,8192,320,32,2,74769951,75799061,10512187,6229456,0.565900
dgetrf_nopiv,8192,320,32,3,75032340,75016165,11112114,6757138,0.628400
dgetrf_nopiv,8192,320,32,4,75362844,75478323,11093357,6872592,0.632700
dgetrf_nopiv,8192,320,32,5,57944981,54917340,10630563,5760282,0.593500
dgetrf_nopiv,8192,320,32,6,58141758,55441569,10600192,5984366,0.596500
dgetrf_nopiv,8192,320,32,7,59467743,56495216,10992867,6307470,0.649400
dgetrf_nopiv,8192,320,32,8,59265595,55897318,11019167,6093776,0.643500
dgetrf_nopiv,8192,640,32,1,78322370,75583364,11518222,6628174,0.672000
dgetrf_nopiv,8192,640,32,2,81966343,81119970,11965349,7481715,0.762700
dgetrf_nopiv,8192,640,32,3,83376251,80788733,12496336,7585740,0.823200
dgetrf_nopiv,8192,640,32,4,88298602,83742339,12865832,8128324,0.896500
dgetrf_nopiv,8192,640,32,5,67637461,62649009,12102040,7342974,0.736800
dgetrf_nopiv,8192,640,32,6,70015568,65762588,12421397,7700276,0.795700
dgetrf_nopiv,8192,640,32,7,72471128,66957592,13198270,8077513,0.877000
dgetrf_nopiv,8192,640,32,8,72740780,69412542,13161366,8618413,0.913500
dgetrf_nopiv,8192,960,32,1,81095312,77895186,11730434,6847438,0.804800
dgetrf_nopiv,8192,960,32,2,88443438,84377897,12328694,7678841,0.946800
dgetrf_nopiv,8192,960,32,3,90268812,86047997,13227936,8377408,1.040700
dgetrf_nopiv,8192,960,32,4,99168814,93004034,13841252,9457496,1.213300
dgetrf_nopiv,8192,960,32,5,74445854,67729014,12538932,7342638,0.887400
dgetrf_nopiv,8192,960,32,6,78071516,76104481,13017714,8602823,1.015600
dgetrf_nopiv,8192,960,32,7,82946382,78695965,14279047,9108457,1.145600
dgetrf_nopiv,8192,960,32,8,86991233,88058308,14688658,10420493,1.286100
dgetrf_nopiv,8192,1280,32,1,80876075,90915355,12745343,7946407,1.001500
dgetrf_nopiv,8192,1280,32,2,98203789,98369988,13803216,9769050,1.206000
dgetrf_nopiv,8192,1280,32,3,109145595,96985652,15357038,9530753,1.396500
dgetrf_nopiv,8192,1280,32,4,118940919,113241166,16615249,10436267,1.658300
dgetrf_nopiv,8192,1280,32,5,91549082,86300987,14921983,8834250,1.250700
dgetrf_nopiv,8192,1280,32,6,98630912,100233325,15481121,10654109,1.469600
dgetrf_nopiv,8192,1280,32,7,107228485,100445483,16908948,11421527,1.633900
dgetrf_nopiv,8192,1280,32,8,120025449,113180252,18470267,12326812,1.900100
