algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dgetrs_nopiv,20480,512,32,1,16288654,15740377,2331781,1217360,0.163400
dgetrs_nopiv,20480,512,32,2,19490246,19070386,2520736,1387664,0.181700
dgetrs_nopiv,20480,512,32,3,12642179,11487336,2475464,1330962,0.173600
dgetrs_nopiv,20480,512,32,4,12331145,11169161,2451489,1251953,0.170500
dgetrs_nopiv,20480,1024,32,1,15087913,15375144,2561037,1130043,0.166100
dgetrs_nopiv,20480,1024,32,2,18362563,18213820,2723981,1387342,0.182300
dgetrs_nopiv,20480,1024,32,3,13261318,12175567,2701138,1227611,0.179400
dgetrs_nopiv,20480,1024,32,4,12593534,11447602,2554335,1164192,0.173000
dgetrs_nopiv,20480,2048,32,1,14718529,13801661,3065477,1191733,0.216600
dgetrs_nopiv,20480,2048,32,2,14451440,13710353,2986728,1590771,0.216200
dgetrs_nopiv,20480,2048,32,3,14831689,13558376,3203850,1785526,0.231000
dgetrs_nopiv,20480,2048,32,4,14943382,13425991,3218967,1238688,0.239600
