algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dgram,20480,512,32,1,21048896,19867503,3780095,1062218,0.223400
dgram,20480,512,32,2,21246711,19884044,3803167,1105410,0.214900
dgram,20480,512,32,3,25338558,22019719,3713876,1517087,0.203900
dgram,20480,512,32,4,24009582,22040716,3783935,1482127,0.197500
dgram,20480,512,32,5,20320627,17616593,3852111,1486349,0.201900
dgram,20480,512,32,6,20434274,17800125,3903550,1594826,0.212900
dgram,20480,512,32,7,20795052,19271496,3714672,1517928,0.214000
dgram,20480,512,32,8,19973154,17813859,3896130,1553837,0.208500
dgram,20480,512,32,9,20775826,18605421,3790055,1492362,0.203200
dgram,20480,512,32,10,18804212,16817340,3857345,1103819,0.220400
dgram,20480,512,32,11,18948315,17357194,3672489,1073785,0.207400
dgram,20480,512,32,12,17301409,15833028,3622963,1029598,0.218100
dgram,20480,512,32,13,17283708,15211265,3762071,1139299,0.220600
dgram,20480,512,32,14,15811728,13687648,3676253,1078175,0.226800
dgram,20480,512,32,15,17006975,15005576,3791692,1116334,0.215700
dgram,20480,512,32,16,16062032,13942652,3739549,1081281,0.225700
dgram,20480,512,32,17,21109077,20383859,3803488,1079537,0.215900
dgram,20480,512,32,18,19337109,17631119,3798011,1013334,0.197500
dgram,20480,512,32,19,24618650,21796453,3699984,1521555,0.203900
dgram,20480,512,32,20,24417784,22701114,3863816,1530963,0.206300
dgram,20480,512,32,21,20169870,18036819,3802279,1516123,0.202100
dgram,20480,512,32,22,21357062,18942334,3877265,1631653,0.221500
dgram,20480,512,32,23,19183117,17375993,3660800,1410675,0.190900
dgram,20480,512,32,24,20488534,18904859,3827601,1648881,0.218900
dgram,20480,512,32,25,21220404,18740613,3816065,1495575,0.201800
dgram,20480,512,32,26,17696122,15963155,3633888,1025253,0.220400
dgram,20480,512,32,27,19422069,17737015,3787423,1122790,0.222100
dgram,20480,512,32,28,18905286,17332720,3830416,1118705,0.229900
dgram,20480,512,32,29,17234636,15239890,3792380,1133944,0.224400
dgram,20480,512,32,30,17492021,15275229,3879438,1197653,0.235200
dgram,20480,512,32,31,17195146,15860189,3811536,1170236,0.218800
dgram,20480,512,32,32,16482990,14271875,3730936,1127426,0.223100
dgram,20480,512,32,33,21355902,20253854,3815560,1091640,0.214300
dgram,20480,512,32,34,19399670,17990005,3657603,1004904,0.210900
dgram,20480,512,32,35,22721255,19885569,3628135,1424965,0.188800
dgram,20480,512,32,36,23410523,20793892,3800061,1455581,0.196000
dgram,20480,512,32,37,19522349,17267229,3778396,1438750,0.194500
dgram,20480,512,32,38,20054086,17849380,3774188,1570560,0.212900
dgram,20480,512,32,39,19724497,17479691,3797430,1500471,0.202500
dgram,20480,512,32,40,19547374,16953448,3886399,1500165,0.202700
dgram,20480,512,32,41,19953257,17684403,3761888,1444840,0.193500
dgram,20480,512,32,42,19621348,18022170,3870334,1165110,0.228200
dgram,20480,512,32,43,19471202,18242507,3756686,1089497,0.224000
dgram,20480,512,32,44,18838269,17222063,3773378,1132812,0.223800
dgram,20480,512,32,45,17093218,14977623,3780355,1136392,0.233100
dgram,20480,512,32,46,17990859,15682882,3925398,1254248,0.246400
dgram,20480,512,32,47,16155293,14111780,3676590,1066471,0.216500
dgram,20480,512,32,48,16360432,14103541,3739152,1119853,0.227900
dgram,20480,512,32,49,21130927,20138132,3715620,1100453,0.214200
dgram,20480,512,32,50,21129707,19868236,3812852,1141732,0.221400
dgram,20480,512,32,51,22634341,20102243,3643970,1469626,0.212100
dgram,20480,512,32,52,23530092,22266606,3785389,1469779,0.198500
dgram,20480,512,32,53,19563000,17605485,3633168,1443753,0.194200
dgram,20480,512,32,54,19892283,17743241,3699708,1540343,0.214200
dgram,20480,512,32,55,20032541,17235857,3826316,1479525,0.198700
dgram,20480,512,32,56,20759896,18586378,3762805,1566491,0.217800
dgram,20480,512,32,57,22943117,22002324,3845135,1559728,0.212700
dgram,20480,512,32,58,17798722,15859395,3582479,1037401,0.219900
dgram,20480,512,32,59,18996350,17584122,3662238,1086407,0.215400
dgram,20480,512,32,60,19104626,17409196,3808766,1141349,0.225000
dgram,20480,512,32,61,16894610,14708885,3724387,1094164,0.212400
dgram,20480,512,32,62,16700153,14387964,3791707,1129875,0.230300
dgram,20480,512,32,63,16514850,14459070,3687254,1085474,0.216600
dgram,20480,512,32,64,17610794,15352866,3875827,1220129,0.242600
dgram,20480,1024,32,1,18852552,17219804,3629573,940614,0.185800
dgram,20480,1024,32,2,18946180,17285112,3657435,965322,0.186300
dgram,20480,1024,32,3,23883972,21957342,3666216,1364132,0.185200
dgram,20480,1024,32,4,23844421,22005864,3605369,1335093,0.183100
dgram,20480,1024,32,5,19841075,17830338,3699708,1405718,0.191400
dgram,20480,1024,32,6,19466136,17810136,3713065,1409864,0.191100
