algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dlauum,8192,320,32,1,39979207,38243860,6114660,3326802,0.328500
dlauum,8192,320,32,2,41113481,39053550,6176793,3507586,0.320200
dlauum,8192,320,32,3,38675316,37237148,6048717,3573973,0.318500
dlauum,8192,320,32,4,39867695,37797754,6261051,3394473,0.331200
dlauum,8192,320,32,5,38529320,37423000,6030327,3729161,0.313300
dlauum,8192,320,32,6,38764549,36769681,6095658,3392056,0.327200
dlauum,8192,320,32,7,39513204,37249172,6347878,3533948,0.329500
dlauum,8192,320,32,8,37446193,35348848,5971896,3502492,0.322900
dlauum,8192,320,32,9,31444072,28833483,6290932,3232997,0.330800
dlauum,8192,320,32,10,30072860,27721609,6102436,3282278,0.333100
dlauum,8192,320,32,11,30978009,28571583,6327132,3310752,0.333700
dlauum,8192,320,32,12,30611494,28511340,6324026,3335170,0.338500
dlauum,8192,320,32,13,31921122,29053942,6588654,3052411,0.347600
dlauum,8192,320,32,14,30620710,28310169,6303049,3198863,0.340300
dlauum,8192,320,32,15,30708417,28494800,6310638,3471555,0.334400
dlauum,8192,320,32,16,30958722,28340565,6390840,3385079,0.347800
dlauum,8192,640,32,1,36062957,37966394,5680752,3403760,0.328700
dlauum,8192,640,32,2,36603239,37401699,5628687,3483504,0.320500
dlauum,8192,640,32,3,38736168,38206323,6146530,3285828,0.357000
dlauum,8192,640,32,4,40448444,38083520,6310194,3207232,0.372200
dlauum,8192,640,32,5,37418240,35058931,5790958,3193998,0.336500
dlauum,8192,640,32,6,36412444,37269619,5830876,3358412,0.349500
dlauum,8192,640,32,7,37852259,36520109,6114110,3338965,0.366400
dlauum,8192,640,32,8,41645523,36780911,6640996,2427131,0.399900
dlauum,8192,640,32,9,33568640,30965497,6122249,3475150,0.363400
dlauum,8192,640,32,10,34624484,30862226,6246868,3344365,0.373100
dlauum,8192,640,32,11,33329627,31325115,6314203,3535188,0.379900
dlauum,8192,640,32,12,32118875,31786296,6191038,3878259,0.374200
dlauum,8192,640,32,13,35071810,29636826,6415779,3065630,0.384700
dlauum,8192,640,32,14,33332739,32470131,6396134,3509866,0.391800
dlauum,8192,640,32,15,34369968,31122357,6631601,3319503,0.407300
dlauum,8192,640,32,16,34870272,31754069,6686498,3540267,0.418700
dlauum,8192,960,32,1,36018096,35588227,5723746,2796152,0.368300
dlauum,8192,960,32,2,41064592,29294908,5695731,2310422,0.377200
dlauum,8192,960,32,3,39450460,36260893,6334445,2752454,0.433100
dlauum,8192,960,32,4,36068572,42324049,6315106,3777050,0.459500
dlauum,8192,960,32,5,36644194,38346643,6231017,3398788,0.424300
dlauum,8192,960,32,6,37386196,39503439,6495631,3090172,0.448600
dlauum,8192,960,32,7,42165908,37942163,6699136,3621357,0.505400
dlauum,8192,960,32,8,42313490,40875811,6892818,3773117,0.540500
dlauum,8192,960,32,9,37910608,37471706,6728986,4036890,0.500900
dlauum,8192,960,32,10,37529872,38025904,6924857,4089001,0.506000
dlauum,8192,960,32,11,38248743,36836088,7099277,3640589,0.518000
dlauum,8192,960,32,12,35837982,40634295,7209436,4631922,0.525500
dlauum,8192,960,32,13,43483165,37946436,7516003,3860557,0.584700
dlauum,8192,960,32,14,42385939,38822166,7408750,4221821,0.586200
dlauum,8192,960,32,15,43499278,38008996,7803903,4154715,0.603800
dlauum,8192,960,32,16,43028333,39063621,7936370,3972829,0.608700
dlauum,8192,1280,32,1,44267160,37465846,6646763,3184680,0.494700
dlauum,8192,1280,32,2,50484185,33191809,6958884,2756433,0.523500
dlauum,8192,1280,32,3,53344590,40061726,7713526,3858231,0.635400
dlauum,8192,1280,32,4,55541240,46334537,8187015,4320169,0.705400
dlauum,8192,1280,32,5,54881695,42101088,8113545,4350280,0.657900
dlauum,8192,1280,32,6,54280989,46134465,8324730,4190991,0.697900
dlauum,8192,1280,32,7,55977640,50096918,8916396,4803756,0.785200
dlauum,8192,1280,32,8,58463595,56145852,9579605,5087433,0.877300
dlauum,8192,1280,32,9,57649083,43289623,8872914,4687032,0.762100
dlauum,8192,1280,32,10,55374187,48531919,9245897,4836223,0.792900
dlauum,8192,1280,32,11,56277261,46455081,9305491,4671595,0.804700
dlauum,8192,1280,32,12,56521462,48349425,9521573,4933822,0.828300
dlauum,8192,1280,32,13,63202109,51558889,10232150,5013581,0.923500
dlauum,8192,1280,32,14,61637537,54872968,10213132,5697613,0.945900
dlauum,8192,1280,32,15,62040735,54841900,10543750,5489257,0.965600
dlauum,8192,1280,32,16,64250446,53632370,10701156,5646954,0.981600
