algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dpotrf,12288,320,32,1,117197027,116846258,16231510,9464152,0.858100
dpotrf,12288,320,32,2,122911184,122180474,16806927,9667244,0.899300
dpotrf,12288,320,32,3,119869322,118725526,17235022,10150571,0.949800
dpotrf,12288,320,32,4,120275876,119837523,17212929,10179656,0.958700
dpotrf,12288,320,32,5,115742013,113549819,16417926,9550520,0.861500
dpotrf,12288,320,32,6,118305850,117777348,16599659,9868469,0.894400
dpotrf,12288,320,32,7,118047611,114793773,17227570,10277255,0.959700
dpotrf,12288,320,32,8,120863948,117480107,17626870,10323920,0.993500
dpotrf,12288,320,32,9,91765451,85814233,16474581,8733531,0.897900
dpotrf,12288,320,32,10,90980053,86243859,16373968,8646764,0.905300
dpotrf,12288,320,32,11,94387271,88683366,17060525,9263599,0.982800
dpotrf,12288,320,32,12,94724916,87841450,17022046,9111777,0.981200
dpotrf,12288,320,32,13,91116832,86168053,16475760,8742451,0.909400
dpotrf,12288,320,32,14,91104503,85104762,16448861,8595953,0.900900
dpotrf,12288,320,32,15,93217779,87647908,16961778,9074323,0.976800
dpotrf,12288,320,32,16,93199590,87526693,17124647,9196661,0.973700
dpotrf,12288,640,32,1,129849643,123167409,18504493,11152675,1.041000
dpotrf,12288,640,32,2,131737639,125734053,18864074,11758279,1.059400
dpotrf,12288,640,32,3,137313858,131219269,20318018,13558661,1.256100
dpotrf,12288,640,32,4,141474186,134603049,20843971,13609075,1.336200
dpotrf,12288,640,32,5,129598790,121576593,18836090,11729821,1.064600
dpotrf,12288,640,32,6,132326382,125498885,19276409,11981292,1.128100
dpotrf,12288,640,32,7,140334663,131903654,21272462,12603926,1.335900
dpotrf,12288,640,32,8,138347546,132507107,20360842,13271434,1.354600
dpotrf,12288,640,32,9,108027434,98752372,19318117,11472490,1.090700
dpotrf,12288,640,32,10,107386627,100759447,19313634,11755128,1.104800
dpotrf,12288,640,32,11,118682314,108405362,21297952,12557582,1.350800
dpotrf,12288,640,32,12,118157412,107931303,21060266,12796247,1.340800
dpotrf,12288,640,32,13,106199557,99123099,19682073,11385816,1.115300
dpotrf,12288,640,32,14,110606467,101624007,20069668,11772264,1.183500
dpotrf,12288,640,32,15,116426154,106629610,21321927,12686806,1.342800
dpotrf,12288,640,32,16,119422179,109220912,21358494,13305951,1.396400
dpotrf,12288,960,32,1,125906172,127353190,18836289,10875669,1.141500
dpotrf,12288,960,32,2,136363969,125535506,19267244,12014356,1.204600
dpotrf,12288,960,32,3,150343426,136643693,21530695,14280607,1.555900
dpotrf,12288,960,32,4,150559184,145441889,21660868,15125396,1.670300
dpotrf,12288,960,32,5,126764690,122797354,19033124,11670105,1.171200
dpotrf,12288,960,32,6,136138689,132315702,20061528,12490951,1.358400
dpotrf,12288,960,32,7,146952444,140295234,21522219,14674352,1.653800
dpotrf,12288,960,32,8,159209980,145465082,22551650,14492222,1.819700
dpotrf,12288,960,32,9,112631304,109080776,19910792,11589077,1.267700
dpotrf,12288,960,32,10,116917852,109930749,19932809,12301323,1.328100
dpotrf,12288,960,32,11,132183744,123331838,22443922,14645512,1.692800
dpotrf,12288,960,32,12,134462912,124439195,23074603,13651777,1.727600
dpotrf,12288,960,32,13,111438313,107311310,20118597,11713863,1.290200
dpotrf,12288,960,32,14,121013240,104974219,20665572,11563219,1.371100
dpotrf,12288,960,32,15,134714621,122023552,23004606,13892630,1.743800
dpotrf,12288,960,32,16,136796036,127243571,23441176,14133283,1.817200
dpotrf,12288,1280,32,1,141591496,123660145,19948905,10348736,1.343500
dpotrf,12288,1280,32,2,151298990,150450299,21632165,13325290,1.613300
dpotrf,12288,1280,32,3,168507930,160119341,23966027,15986710,2.026200
dpotrf,12288,1280,32,4,184502152,172329148,25962065,15750891,2.332500
dpotrf,12288,1280,32,5,136061358,146597097,21349115,13172780,1.559000
dpotrf,12288,1280,32,6,152267555,156775599,22674339,14064954,1.832400
dpotrf,12288,1280,32,7,170688711,164815252,24507968,16215445,2.208100
dpotrf,12288,1280,32,8,188827763,180671108,26229831,17823016,2.534000
dpotrf,12288,1280,32,9,125861494,138334119,22510294,14027086,1.689800
dpotrf,12288,1280,32,10,142680665,119777526,22242574,13359960,1.702700
dpotrf,12288,1280,32,11,161550490,155011566,26354265,15682638,2.312900
dpotrf,12288,1280,32,12,164854254,152394996,26344580,15774117,2.331200
dpotrf,12288,1280,32,13,135131734,124004504,23024296,13011549,1.722200
dpotrf,12288,1280,32,14,138503247,128953101,23592691,13260816,1.814400
dpotrf,12288,1280,32,15,163863167,150535198,26947416,15987995,2.359400
dpotrf,12288,1280,32,16,170570974,152704199,26868834,16383301,2.456400
