algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dpotrs,12288,320,32,1,6504500,6489912,859952,511097,0.065500
dpotrs,12288,320,32,2,5529038,5497544,754566,417904,0.054600
dpotrs,12288,320,32,3,4571583,4062856,804398,460760,0.061000
dpotrs,12288,320,32,4,4739978,4208363,791225,348243,0.066700
dpotrs,12288,640,32,1,5866989,5671799,823583,347188,0.062300
dpotrs,12288,640,32,2,6475264,5883530,872054,482791,0.066900
dpotrs,12288,640,32,3,5280809,4820727,928495,545888,0.070500
dpotrs,12288,640,32,4,4703662,4190236,859447,358448,0.067600
dpotrs,12288,960,32,1,5675461,5204333,909019,326671,0.063300
dpotrs,12288,960,32,2,6309188,5706955,926966,483939,0.065300
dpotrs,12288,960,32,3,5251818,4715320,1002578,520567,0.072200
dpotrs,12288,960,32,4,5199267,4579273,961804,381383,0.074400
dpotrs,12288,1280,32,1,6635298,6435287,1107108,487733,0.083300
dpotrs,12288,1280,32,2,6720686,6416853,1131572,629013,0.082800
dpotrs,12288,1280,32,3,6394149,5886154,1213061,635838,0.089800
dpotrs,12288,1280,32,4,6675337,5908249,1211975,629212,0.095300
