algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dtrtri,8192,320,32,1,40108784,39252036,5786154,3137051,0.304100
dtrtri,8192,320,32,2,38278955,36926114,5992979,3142238,0.327000
dtrtri,8192,320,32,3,39499411,38840965,5713510,3045465,0.300900
dtrtri,8192,320,32,4,38783043,36697721,6084137,3237265,0.331200
dtrtri,8192,320,32,5,31414836,30014754,5715606,2918521,0.308500
dtrtri,8192,320,32,6,31474651,29358751,5951211,3138473,0.328300
dtrtri,8192,320,32,7,31624492,30168319,5686245,2972744,0.298900
dtrtri,8192,320,32,8,31974039,29760666,6017046,3119685,0.336400
dtrtri,8192,640,32,1,41808670,40518146,6167017,3362986,0.322200
dtrtri,8192,640,32,2,38434899,35886016,6126350,3432693,0.344500
dtrtri,8192,640,32,3,41020525,39322165,5976609,3412084,0.332200
dtrtri,8192,640,32,4,41307023,37165066,6593336,3702370,0.363200
dtrtri,8192,640,32,5,33756078,32680702,6083510,3533305,0.343300
dtrtri,8192,640,32,6,34826754,31947489,6659141,3903581,0.375500
dtrtri,8192,640,32,7,34544528,32759804,6193394,3569153,0.356200
dtrtri,8192,640,32,8,35305940,32510598,6786667,3970151,0.386000
dtrtri,8192,960,32,1,36407622,38206506,5687485,3005409,0.321900
dtrtri,8192,960,32,2,36700772,36628751,6295919,3167330,0.388300
dtrtri,8192,960,32,3,37950220,36430509,5646802,3114438,0.331400
dtrtri,8192,960,32,4,38211327,36010894,6364555,3297808,0.394900
dtrtri,8192,960,32,5,38480493,39407248,6901539,3759685,0.450100
dtrtri,8192,960,32,6,41203142,37223843,7522826,4085957,0.510700
dtrtri,8192,960,32,7,40173359,38665551,6817757,4022233,0.461300
dtrtri,8192,960,32,8,40224812,38318566,7418526,4206858,0.519400
dtrtri,8192,1280,32,1,48987973,32455422,6355589,2846060,0.428000
dtrtri,8192,1280,32,2,46881106,41512589,7552370,3560738,0.559600
dtrtri,8192,1280,32,3,47523805,38726219,6693642,3195038,0.465200
dtrtri,8192,1280,32,4,51968617,46213993,8382900,4012165,0.660500
dtrtri,8192,1280,32,5,57464635,50944999,9512224,4064720,0.770100
dtrtri,8192,1280,32,6,59808501,48659970,9890761,5079876,0.832800
dtrtri,8192,1280,32,7,57533056,47032961,8899016,4591041,0.727200
dtrtri,8192,1280,32,8,59562958,51656362,10124240,5187817,0.865900
