algorithm,task,matrix_size,tile_size,frequency,papi_l3_tcm,papi_tot_ins,papi_res_stl,papi_tot_cyc,papi_br_msp,weight,l3_cache_size
invert,getrf,8192,512,2801000,2997117,483192339,244515409,403798726,222050,16,23068672
invert,trsm,8192,512,2801000,7756779,3336018797,805228552,1795923691,1125595,120,23068672
invert,gemm,8192,512,2801000,184718745,38216923760,3895629699,13648020046,688851,1240,23068672
invert,getri,8192,512,2801000,2837426,754103980,343748486,566399315,304712,16,23068672
invert,getrf,8192,512,1200000,3112067,483192372,119898386,277932380,221614,16,23068672
invert,trsm,8192,512,1200000,7737102,3336019287,724772559,1715033419,1110270,120,23068672
invert,gemm,8192,512,1200000,190037735,38216926469,2703838713,12441974992,789180,1240,23068672
invert,getri,8192,512,1200000,2722264,754103956,176431294,398121633,305862,16,23068672
invert,getrf,8192,1024,2801000,7413987,1322765902,600832875,1010043405,318087,8,23068672
invert,trsm,8192,1024,2801000,10994863,4885064218,925798855,2304254414,1048818,28,23068672
invert,gemm,8192,1024,2801000,103139327,33935225575,2630846608,11258606837,1969988,140,23068672
invert,getri,8192,1024,2801000,6069459,2077023028,876308544,1462698171,483889,8,23068672
invert,getrf,8192,1024,1200000,6698821,1322765986,292344416,700263606,319431,8,23068672
invert,trsm,8192,1024,1200000,11542321,4885064677,828235927,2205869493,1068901,28,23068672
invert,gemm,8192,1024,1200000,109702658,33935226976,1947349921,10562458791,1939186,140,23068672
invert,getri,8192,1024,1200000,5776583,2077023234,482137955,1064883189,515836,8,23068672
invert,getrf,8192,2048,2801000,32403176,3940181057,2206028683,3371487681,507796,4,23068672
invert,trsm,8192,2048,2801000,16504096,7090078832,966567964,2883720269,903311,6,23068672
invert,gemm,8192,2048,2801000,88864169,26941397867,1770550163,8596678947,264767,14,23068672
invert,getri,8192,2048,2801000,42477138,6682903798,3084005269,4932246772,997385,4,23068672
invert,getrf,8192,2048,1200000,32567895,3940181289,1044325053,2210331781,505532,4,23068672
invert,trsm,8192,2048,1200000,17023914,7090079285,877888287,2788200545,914881,6,23068672
invert,gemm,8192,2048,1200000,89130727,26941399007,1405032821,8217115409,269376,14,23068672
invert,getri,8192,2048,1200000,44484417,6682904148,1661256086,3502311387,944838,4,23068672
invert,getrf,12288,512,2801000,5579259,724779733,412641157,651186663,330365,24,23068672
invert,trsm,12288,512,2801000,19599117,7672840810,1839864212,4212754711,5102385,276,23068672
invert,gemm,12288,512,2801000,674261931,133266108179,14454220014,48468326142,2407822,4324,23068672
invert,getri,12288,512,2801000,4569018,1131139357,518086509,851985087,482069,24,23068672
invert,getrf,12288,512,1200000,5930819,724779790,194887002,431117030,334632,24,23068672
invert,trsm,12288,512,1200000,19326016,7672842388,1742771085,3994131111,2577535,276,23068672
invert,gemm,12288,512,1200000,704409832,133266117041,9735916432,43684226588,2391260,4324,23068672
