algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
invert,16384,512,1,666973329,752078275,46918965,109518364,5.440290
invert,16384,512,2,739621397,687537913,105875755,50434446,5.470850
invert,16384,512,3,559787690,504652090,108761473,49198037,5.647810
invert,16384,512,4,563473777,502078915,109042090,50340412,5.690170
invert,16384,512,5,712971991,658087427,104968863,51371509,5.455170
invert,16384,512,6,709404311,661767166,104986122,51159436,5.468020
invert,16384,512,7,548958555,491582726,109205341,49598683,5.720810
invert,16384,512,8,557078835,495246291,111213313,50583024,5.832260
invert,16384,512,9,729050624,678711153,105200826,51319933,5.395360
invert,16384,512,10,733028885,681733118,105508617,51259911,5.426840
invert,16384,512,11,565982804,503827446,110045786,49549142,5.690280
invert,16384,512,12,558705357,502636104,108974632,50209780,5.646850
invert,16384,512,13,707851033,662416029,105632776,51567120,5.452810
invert,16384,512,14,721253097,672833605,107471591,52659525,5.577310
invert,16384,512,15,549502622,494247758,109476747,50660886,5.709660
invert,16384,512,16,551243279,494698013,109907244,50292738,5.749610
invert,16384,1024,1,718969229,688598640,97670044,55693071,5.192220
invert,16384,1024,2,759711129,724746314,101998506,59463787,5.492350
invert,16384,1024,3,552414296,513057707,101957440,57315820,5.516610
invert,16384,1024,4,569028390,522682073,104801970,59527312,5.726690
invert,16384,1024,5,726354036,675557658,103264596,57820429,5.610550
invert,16384,1024,6,769470687,717870721,107832626,61638926,5.960880
invert,16384,1024,7,551949698,508050213,104930154,60836747,5.826620
invert,16384,1024,8,577106128,521361153,110445834,59808404,6.162610
invert,16384,1024,9,715790221,680168852,96988138,56262261,5.186400
invert,16384,1024,10,754958455,712609748,101178900,59441816,5.497210
invert,16384,1024,11,554331039,509114481,102415630,56983978,5.538710
invert,16384,1024,12,563521079,522974186,104208805,60977461,5.746970
invert,16384,1024,13,740373532,688513008,104005055,59859521,5.696140
invert,16384,1024,14,749867832,721367782,107523060,62104062,5.927760
invert,16384,1024,15,555538068,505516406,105797863,60820514,5.879030
invert,16384,1024,16,569685431,519926404,110018184,61426440,6.133520
invert,16384,2048,1,1157370694,1133374723,137702127,78164732,8.181440
invert,16384,2048,2,1311020142,1331277659,159305528,87750427,9.658090
invert,16384,2048,3,882762144,821063572,148544533,83072375,9.134060
invert,16384,2048,4,951703924,994996049,164067056,97517411,10.378500
invert,16384,2048,5,1242940421,1218460686,159369452,93061638,9.818870
invert,16384,2048,6,1371571623,1361179560,182035942,95281347,11.270700
invert,16384,2048,7,945021384,867527808,168115681,88056809,10.731900
invert,16384,2048,8,1035115819,979786249,186106477,97722370,12.147500
invert,16384,2048,9,1210217849,1176098613,144220171,81238486,8.592330
invert,16384,2048,10,1329353835,1359046570,163171470,91938786,9.934000
invert,16384,2048,11,891189491,882216919,153385422,83521935,9.487180
invert,16384,2048,12,1005318654,940043492,170861801,95284605,10.774800
invert,16384,2048,13,1268242358,1229047085,161403143,96197098,10.089800
invert,16384,2048,14,1441836153,1333134526,182916870,103140483,11.457700
invert,16384,2048,15,947105851,904402714,169437080,98343825,10.872200
invert,16384,2048,16,1056461773,977062990,190901650,93473254,12.358800
