algorithm,task,matrix_size,tile_size,frequency,papi_l3_tcm,papi_tot_ins,papi_res_stl,papi_tot_cyc,papi_br_msp,weight,l3_cache_size
lu,getrfpiv,8192,512,2801000,27548230,2815876419,872625249,1657889135,355253,16,23068672
lu,trsmswp,8192,512,2801000,45076135,5001872723,4045645688,5844372741,1119508,120,23068672
lu,gemm,8192,512,2801000,122255437,38216901866,3339190717,13079053360,689262,1240,23068672
lu,geswp,8192,512,2801000,9647640,200657047,1430631986,1512405953,400,15,23068672
lu,getrfpiv,8192,512,1200000,27972622,2815876574,491063298,1272497130,353784,16,23068672
lu,trsmswp,8192,512,1200000,45081913,5001873317,1737781685,3520432749,1124239,120,23068672
lu,gemm,8192,512,1200000,126478222,38216897482,2517426039,12248760241,690098,1240,23068672
lu,geswp,8192,512,1200000,9483030,200657153,815869806,891684135,600,15,23068672
lu,getrfpiv,8192,1024,2801000,31262235,5055341684,1064847687,2539377692,409542,8,23068672
lu,trsmswp,8192,1024,2801000,45421112,6412467927,4406503072,6528672824,1094447,28,23068672
lu,gemm,8192,1024,2801000,86783874,33935222737,2406333668,11026803171,1947253,140,23068672
lu,geswp,8192,1024,2801000,15891761,185188839,1965373584,2045104059,28792,7,23068672
lu,getrfpiv,8192,1024,1200000,31608538,5055341824,639798508,2068193388,407839,8,23068672
lu,trsmswp,8192,1024,1200000,45261478,6412468773,1848191804,3968953527,1100288,28,23068672
lu,gemm,8192,1024,1200000,86958823,33935224331,1881180945,10493253259,1930631,140,23068672
lu,geswp,8192,1024,1200000,16311090,185188926,887410093,964281721,28752,7,23068672
lu,getrfpiv,8192,2048,2801000,54989205,9884703281,1614470880,4343448547,583818,4,23068672
lu,trsmswp,8192,2048,2801000,61661176,8387738291,4427826980,6981583072,933772,6,23068672
lu,gemm,8192,2048,2801000,91092521,26941397578,1757959937,8584031103,267950,14,23068672
lu,geswp,8192,2048,2801000,33059420,157837172,2902532246,2973774321,12373,3,23068672
lu,getrfpiv,8192,2048,1200000,55257249,9884703761,999014654,3700337404,584913,4,23068672
lu,trsmswp,8192,2048,1200000,60933123,8387738768,1829725896,4378974375,946704,6,23068672
lu,gemm,8192,2048,1200000,93188058,26941398748,1378057585,8186442742,267207,14,23068672
lu,geswp,8192,2048,1200000,31789667,157837190,908717438,976825238,12357,3,23068672
lu,getrfpiv,12288,512,2801000,69264464,6125335891,2027542152,3716570502,697120,24,23068672
