algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
lu,24576,512,1,3092536333,2928617625,438293730,201502239,24.067900
lu,24576,512,2,3013691198,2813298584,433404508,194319119,23.514400
lu,24576,512,3,2510409955,2492822842,276804081,477773865,27.854900
lu,24576,512,4,2500960456,2589405602,285248365,484191939,28.636300
lu,24576,512,5,2629557904,2474469923,428708739,197613882,23.547100
lu,24576,512,6,2626674184,2447731100,429361330,194273280,23.118200
lu,24576,512,7,2459965505,2173864186,493557896,197359749,28.327300
lu,24576,512,8,2482986380,2178451455,500035089,198439929,28.626800
lu,24576,512,9,2875441369,2735420426,427250022,192939655,23.126800
lu,24576,512,10,2840072564,2666707162,427185899,193779105,23.253900
lu,24576,512,11,2593953808,2315727592,492984482,209984054,28.144100
lu,24576,512,12,2607623024,2354056107,502974234,218107299,28.923700
lu,24576,512,13,2586009249,2468850735,433544916,199256337,23.808600
lu,24576,512,14,2540369168,2430385136,433670238,195618992,23.456600
lu,24576,512,15,2430449710,2165830454,494161909,190592100,28.346800
lu,24576,512,16,2368132670,2092292556,489265848,185371342,27.857200
lu,24576,1024,1,4107978070,4021939655,509014598,258112270,31.020700
lu,24576,1024,2,3946519987,3936320611,504533642,251202882,30.609800
lu,24576,1024,3,4222323664,3893630352,671081516,360887158,43.462800
lu,24576,1024,4,4117547992,4141676714,697341978,376278010,46.107600
lu,24576,1024,5,3071270702,3375906519,339768905,471951221,29.393900
lu,24576,1024,6,3229966524,3366335682,510082585,261977219,31.561200
lu,24576,1024,7,3650244134,3347697057,673361477,326566015,43.821900
lu,24576,1024,8,3586140356,3231132842,664162366,317594661,44.175600
lu,24576,1024,9,4097795845,3948990745,513338119,261359665,32.028400
lu,24576,1024,10,3812587285,3798483134,501771808,259701650,30.821200
lu,24576,1024,11,3914303151,3873647432,658840644,353914735,42.653400
lu,24576,1024,12,4062288001,3923628200,683787294,364599031,45.117200
lu,24576,1024,13,3468607515,3220963373,520419616,274206523,32.711100
lu,24576,1024,14,3197872917,3085644688,507349025,259964809,31.378300
lu,24576,1024,15,3498691849,3180975194,668785032,269852557,43.713300
lu,24576,1024,16,3581955552,3263596259,690010385,290780814,45.825100
lu,24576,2048,1,6088350014,6009495846,696523549,370758887,45.346100
lu,24576,2048,2,6097761428,5736726830,699960755,380054050,45.870600
lu,24576,2048,3,7061141103,7785317105,1079624625,600077429,74.252700
lu,24576,2048,4,7327932839,7624310987,1095185980,600395868,75.191500
lu,24576,2048,5,5244488893,5117147179,726543312,400704062,48.626500
lu,24576,2048,6,5043822720,4886743105,733846584,379893461,48.528500
lu,24576,2048,7,6591068271,5744225590,1076020175,600514779,75.509500
lu,24576,2048,8,5893482716,5774554126,1077409124,575796712,75.416700
lu,24576,2048,9,6355636562,5933013803,725177298,395399797,47.894200
lu,24576,2048,10,5751352037,5787698501,709159054,375506125,45.817200
lu,24576,2048,11,6933698070,6481945382,1049286194,568164904,71.873400
lu,24576,2048,12,6845715141,6492409466,1064644380,578238270,73.094800
lu,24576,2048,13,5044096890,4717246102,713088630,392267750,47.125400
lu,24576,2048,14,4965048141,4594485308,724290005,385225053,47.241200
lu,24576,2048,15,5939566032,5455556713,1067682348,462946957,73.619200
lu,24576,2048,16,6052621468,5420335428,1099481868,474853432,77.264800
