algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dcesca,14000,500,32,1,laset,14913353,14952537,2030967,2190317,0.163600
dcesca,14000,500,32,1,gesum,14913353,14952537,2030967,2190317,0.163600
dcesca,14000,500,32,1,gessq,14913353,14952537,2030967,2190317,0.163600
dcesca,14000,500,32,1,geadd,14913353,14952537,2030967,2190317,0.163600
dcesca,14000,500,32,1,cesca,14913353,14952537,2030967,2190317,0.163600
dcesca,14000,500,32,1,plssq,14913353,14952537,2030967,2190317,0.163600
dcesca,14000,500,32,1,plssq2,14913353,14952537,2030967,2190317,0.163600
dcesca,14000,500,32,2,laset,13329128,13267788,2044141,2039949,0.159700
dcesca,14000,500,32,2,gesum,13329128,13267788,2044141,2039949,0.159700
dcesca,14000,500,32,2,gessq,13329128,13267788,2044141,2039949,0.159700
dcesca,14000,500,32,2,geadd,13329128,13267788,2044141,2039949,0.159700
dcesca,14000,500,32,2,cesca,13329128,13267788,2044141,2039949,0.159700
dcesca,14000,500,32,2,plssq,13329128,13267788,2044141,2039949,0.159700
dcesca,14000,500,32,2,plssq2,13329128,13267788,2044141,2039949,0.159700
dcesca,14000,500,32,3,laset,11877045,11868439,2007574,2098487,0.127000
dcesca,14000,500,32,3,gesum,11877045,11868439,2007574,2098487,0.127000
dcesca,14000,500,32,3,gessq,11877045,11868439,2007574,2098487,0.127000
dcesca,14000,500,32,3,geadd,11877045,11868439,2007574,2098487,0.127000
dcesca,14000,500,32,3,cesca,11877045,11868439,2007574,2098487,0.127000
dcesca,14000,500,32,3,plssq,11877045,11868439,2007574,2098487,0.127000
dcesca,14000,500,32,3,plssq2,11877045,11868439,2007574,2098487,0.127000
dcesca,14000,500,32,4,laset,13198514,13197049,2106611,2313987,0.167300
dcesca,14000,500,32,4,gesum,13198514,13197049,2106611,2313987,0.167300
dcesca,14000,500,32,4,gessq,13198514,13197049,2106611,2313987,0.167300
dcesca,14000,500,32,4,geadd,13198514,13197049,2106611,2313987,0.167300
dcesca,14000,500,32,4,cesca,13198514,13197049,2106611,2313987,0.167300
dcesca,14000,500,32,4,plssq,13198514,13197049,2106611,2313987,0.167300
dcesca,14000,500,32,4,plssq2,13198514,13197049,2106611,2313987,0.167300
dcesca,14000,500,32,5,laset,14394372,14074548,2264140,2337733,0.173400
dcesca,14000,500,32,5,gesum,14394372,14074548,2264140,2337733,0.173400
dcesca,14000,500,32,5,gessq,14394372,14074548,2264140,2337733,0.173400
dcesca,14000,500,32,5,geadd,14394372,14074548,2264140,2337733,0.173400
dcesca,14000,500,32,5,cesca,14394372,14074548,2264140,2337733,0.173400
dcesca,14000,500,32,5,plssq,14394372,14074548,2264140,2337733,0.173400
dcesca,14000,500,32,5,plssq2,14394372,14074548,2264140,2337733,0.173400
dcesca,14000,500,32,6,laset,13880519,13321621,2436112,2210666,0.186400
dcesca,14000,500,32,6,gesum,13880519,13321621,2436112,2210666,0.186400
dcesca,14000,500,32,6,gessq,13880519,13321621,2436112,2210666,0.186400
dcesca,14000,500,32,6,geadd,13880519,13321621,2436112,2210666,0.186400
dcesca,14000,500,32,6,cesca,13880519,13321621,2436112,2210666,0.186400
dcesca,14000,500,32,6,plssq,13880519,13321621,2436112,2210666,0.186400
dcesca,14000,500,32,6,plssq2,13880519,13321621,2436112,2210666,0.186400
dcesca,14000,500,32,7,laset,11786896,11631318,2278537,2151058,0.133900
dcesca,14000,500,32,7,gesum,11786896,11631318,2278537,2151058,0.133900
dcesca,14000,500,32,7,gessq,11786896,11631318,2278537,2151058,0.133900
dcesca,14000,500,32,7,geadd,11786896,11631318,2278537,2151058,0.133900
dcesca,14000,500,32,7,cesca,11786896,11631318,2278537,2151058,0.133900
dcesca,14000,500,32,7,plssq,11786896,11631318,2278537,2151058,0.133900
dcesca,14000,500,32,7,plssq2,11786896,11631318,2278537,2151058,0.133900
dcesca,14000,500,32,8,laset,12207610,12014312,2207423,2414723,0.169300
dcesca,14000,500,32,8,gesum,12207610,12014312,2207423,2414723,0.169300
dcesca,14000,500,32,8,gessq,12207610,12014312,2207423,2414723,0.169300
dcesca,14000,500,32,8,geadd,12207610,12014312,2207423,2414723,0.169300
dcesca,14000,500,32,8,cesca,12207610,12014312,2207423,2414723,0.169300
dcesca,14000,500,32,8,plssq,12207610,12014312,2207423,2414723,0.169300
dcesca,14000,500,32,8,plssq2,12207610,12014312,2207423,2414723,0.169300
dcesca,14000,500,32,9,laset,15271995,15741232,2069341,2193362,0.160200
dcesca,14000,500,32,9,gesum,15271995,15741232,2069341,2193362,0.160200
dcesca,14000,500,32,9,gessq,15271995,15741232,2069341,2193362,0.160200
dcesca,14000,500,32,9,geadd,15271995,15741232,2069341,2193362,0.160200
dcesca,14000,500,32,9,cesca,15271995,15741232,2069341,2193362,0.160200
dcesca,14000,500,32,9,plssq,15271995,15741232,2069341,2193362,0.160200
dcesca,14000,500,32,9,plssq2,15271995,15741232,2069341,2193362,0.160200
dcesca,14000,500,32,10,laset,11824311,11898590,2074833,2021023,0.120200
dcesca,14000,500,32,10,gesum,11824311,11898590,2074833,2021023,0.120200
dcesca,14000,500,32,10,gessq,11824311,11898590,2074833,2021023,0.120200
dcesca,14000,500,32,10,geadd,11824311,11898590,2074833,2021023,0.120200
dcesca,14000,500,32,10,cesca,11824311,11898590,2074833,2021023,0.120200
dcesca,14000,500,32,10,plssq,11824311,11898590,2074833,2021023,0.120200
