algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dgetrf_nopiv,12288,320,32,1,getrfnpiv,237904115,235366768,33823772,19526563,1.735300
dgetrf_nopiv,12288,320,32,1,trsm,237904115,235366768,33823772,19526563,1.735300
dgetrf_nopiv,12288,320,32,1,gemm,237904115,235366768,33823772,19526563,1.735300
dgetrf_nopiv,12288,320,32,2,getrfnpiv,238038575,236996402,33599045,19874777,1.724700
dgetrf_nopiv,12288,320,32,2,trsm,238038575,236996402,33599045,19874777,1.724700
dgetrf_nopiv,12288,320,32,2,gemm,238038575,236996402,33599045,19874777,1.724700
dgetrf_nopiv,12288,320,32,3,getrfnpiv,235531502,232876846,34600629,20216059,1.822500
dgetrf_nopiv,12288,320,32,3,trsm,235531502,232876846,34600629,20216059,1.822500
dgetrf_nopiv,12288,320,32,3,gemm,235531502,232876846,34600629,20216059,1.822500
dgetrf_nopiv,12288,320,32,4,getrfnpiv,237712038,235646675,34969741,20485216,1.850500
dgetrf_nopiv,12288,320,32,4,trsm,237712038,235646675,34969741,20485216,1.850500
dgetrf_nopiv,12288,320,32,4,gemm,237712038,235646675,34969741,20485216,1.850500
dgetrf_nopiv,12288,320,32,5,getrfnpiv,181331689,171414295,34187315,18021962,1.787100
dgetrf_nopiv,12288,320,32,5,trsm,181331689,171414295,34187315,18021962,1.787100
dgetrf_nopiv,12288,320,32,5,gemm,181331689,171414295,34187315,18021962,1.787100
dgetrf_nopiv,12288,320,32,6,getrfnpiv,180640406,172688218,34318955,18117725,1.803500
dgetrf_nopiv,12288,320,32,6,trsm,180640406,172688218,34318955,18117725,1.803500
dgetrf_nopiv,12288,320,32,6,gemm,180640406,172688218,34318955,18117725,1.803500
dgetrf_nopiv,12288,320,32,7,getrfnpiv,180295620,172296495,34609365,19256519,1.874900
dgetrf_nopiv,12288,320,32,7,trsm,180295620,172296495,34609365,19256519,1.874900
dgetrf_nopiv,12288,320,32,7,gemm,180295620,172296495,34609365,19256519,1.874900
dgetrf_nopiv,12288,320,32,8,getrfnpiv,182342490,172537583,34718730,19017977,1.884600
