algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dgetrs_nopiv,12288,320,32,1,trsm,5757859,5478685,803021,441696,0.059300
dgetrs_nopiv,12288,320,32,1,gemm,5757859,5478685,803021,441696,0.059300
dgetrs_nopiv,12288,320,32,2,trsm,6932355,7091839,884799,526626,0.071100
dgetrs_nopiv,12288,320,32,2,gemm,6932355,7091839,884799,526626,0.071100
dgetrs_nopiv,12288,320,32,3,trsm,5244311,4820727,924074,576458,0.076700
dgetrs_nopiv,12288,320,32,3,gemm,5244311,4820727,924074,576458,0.076700
dgetrs_nopiv,12288,320,32,4,trsm,4821827,4337514,841837,535041,0.071000
dgetrs_nopiv,12288,320,32,4,gemm,4821827,4337514,841837,535041,0.071000
dgetrs_nopiv,12288,640,32,1,trsm,6409896,6197311,934600,377252,0.071200
dgetrs_nopiv,12288,640,32,1,gemm,6409896,6197311,934600,377252,0.071200
dgetrs_nopiv,12288,640,32,2,trsm,7678813,7327923,954047,517691,0.070000
dgetrs_nopiv,12288,640,32,2,gemm,7678813,7327923,954047,517691,0.070000
dgetrs_nopiv,12288,640,32,3,trsm,5528184,5119128,1044179,621990,0.082100
dgetrs_nopiv,12288,640,32,3,gemm,5528184,5119128,1044179,621990,0.082100
dgetrs_nopiv,12288,640,32,4,trsm,5451402,4937182,1052717,413972,0.081400
dgetrs_nopiv,12288,640,32,4,gemm,5451402,4937182,1052717,413972,0.081400
dgetrs_nopiv,12288,960,32,1,trsm,6874372,6694868,1102916,419037,0.082400
dgetrs_nopiv,12288,960,32,1,gemm,6874372,6694868,1102916,419037,0.082400
dgetrs_nopiv,12288,960,32,2,trsm,7488445,7578838,1075253,579534,0.078600
dgetrs_nopiv,12288,960,32,2,gemm,7488445,7578838,1075253,579534,0.078600
dgetrs_nopiv,12288,960,32,3,trsm,5871506,5173693,1100666,587443,0.080900
dgetrs_nopiv,12288,960,32,3,gemm,5871506,5173693,1100666,587443,0.080900
dgetrs_nopiv,12288,960,32,4,trsm,5660752,5237962,1115753,441145,0.086600
dgetrs_nopiv,12288,960,32,4,gemm,5660752,5237962,1115753,441145,0.086600
dgetrs_nopiv,12288,1280,32,1,trsm,6656294,6799299,1160306,554028,0.091500
dgetrs_nopiv,12288,1280,32,1,gemm,6656294,6799299,1160306,554028,0.091500
dgetrs_nopiv,12288,1280,32,2,trsm,6850019,6326156,1187693,654014,0.086700
dgetrs_nopiv,12288,1280,32,2,gemm,6850019,6326156,1187693,654014,0.086700
dgetrs_nopiv,12288,1280,32,3,trsm,6157882,5551927,1166043,631890,0.084100
dgetrs_nopiv,12288,1280,32,3,gemm,6157882,5551927,1166043,631890,0.084100
dgetrs_nopiv,12288,1280,32,4,trsm,6517501,5994126,1201447,685501,0.098600
dgetrs_nopiv,12288,1280,32,4,gemm,6517501,5994126,1201447,685501,0.098600
