algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dgram,16000,500,32,1,laset,8899208,8935524,1244533,1395039,0.096500
dgram,16000,500,32,1,syssq,8899208,8935524,1244533,1395039,0.096500
dgram,16000,500,32,1,gessq,8899208,8935524,1244533,1395039,0.096500
dgram,16000,500,32,1,gram,8899208,8935524,1244533,1395039,0.096500
dgram,16000,500,32,1,plssq,8899208,8935524,1244533,1395039,0.096500
dgram,16000,500,32,1,plssq2,8899208,8935524,1244533,1395039,0.096500
dgram,16000,500,32,2,laset,7418316,7378155,1169976,1333012,0.087000
dgram,16000,500,32,2,syssq,7418316,7378155,1169976,1333012,0.087000
dgram,16000,500,32,2,gessq,7418316,7378155,1169976,1333012,0.087000
dgram,16000,500,32,2,gram,7418316,7378155,1169976,1333012,0.087000
dgram,16000,500,32,2,plssq,7418316,7378155,1169976,1333012,0.087000
dgram,16000,500,32,2,plssq2,7418316,7378155,1169976,1333012,0.087000
dgram,16000,500,32,3,laset,6687727,6926069,1081129,1240401,0.082100
dgram,16000,500,32,3,syssq,6687727,6926069,1081129,1240401,0.082100
dgram,16000,500,32,3,gessq,6687727,6926069,1081129,1240401,0.082100
dgram,16000,500,32,3,gram,6687727,6926069,1081129,1240401,0.082100
dgram,16000,500,32,3,plssq,6687727,6926069,1081129,1240401,0.082100
dgram,16000,500,32,3,plssq2,6687727,6926069,1081129,1240401,0.082100
dgram,16000,500,32,4,laset,6695478,6739790,1172776,1216075,0.084700
dgram,16000,500,32,4,syssq,6695478,6739790,1172776,1216075,0.084700
dgram,16000,500,32,4,gessq,6695478,6739790,1172776,1216075,0.084700
dgram,16000,500,32,4,gram,6695478,6739790,1172776,1216075,0.084700
dgram,16000,500,32,4,plssq,6695478,6739790,1172776,1216075,0.084700
dgram,16000,500,32,4,plssq2,6695478,6739790,1172776,1216075,0.084700
dgram,16000,500,32,5,laset,7601299,7434063,1341014,1437802,0.105300
dgram,16000,500,32,5,syssq,7601299,7434063,1341014,1437802,0.105300
dgram,16000,500,32,5,gessq,7601299,7434063,1341014,1437802,0.105300
dgram,16000,500,32,5,gram,7601299,7434063,1341014,1437802,0.105300
dgram,16000,500,32,5,plssq,7601299,7434063,1341014,1437802,0.105300
dgram,16000,500,32,5,plssq2,7601299,7434063,1341014,1437802,0.105300
dgram,16000,500,32,6,laset,7626323,7402813,1396936,1448879,0.105200
dgram,16000,500,32,6,syssq,7626323,7402813,1396936,1448879,0.105200
dgram,16000,500,32,6,gessq,7626323,7402813,1396936,1448879,0.105200
dgram,16000,500,32,6,gram,7626323,7402813,1396936,1448879,0.105200
dgram,16000,500,32,6,plssq,7626323,7402813,1396936,1448879,0.105200
dgram,16000,500,32,6,plssq2,7626323,7402813,1396936,1448879,0.105200
dgram,16000,500,32,7,laset,8331033,8403909,1434941,1491444,0.103700
dgram,16000,500,32,7,syssq,8331033,8403909,1434941,1491444,0.103700
dgram,16000,500,32,7,gessq,8331033,8403909,1434941,1491444,0.103700
dgram,16000,500,32,7,gram,8331033,8403909,1434941,1491444,0.103700
dgram,16000,500,32,7,plssq,8331033,8403909,1434941,1491444,0.103700
dgram,16000,500,32,7,plssq2,8331033,8403909,1434941,1491444,0.103700
dgram,16000,500,32,8,laset,7603924,7418316,1353086,1451970,0.109500
dgram,16000,500,32,8,syssq,7603924,7418316,1353086,1451970,0.109500
dgram,16000,500,32,8,gessq,7603924,7418316,1353086,1451970,0.109500
dgram,16000,500,32,8,gram,7603924,7418316,1353086,1451970,0.109500
dgram,16000,500,32,8,plssq,7603924,7418316,1353086,1451970,0.109500
dgram,16000,500,32,8,plssq2,7603924,7418316,1353086,1451970,0.109500
dgram,16000,500,32,9,laset,8270548,8284525,1336149,1310460,0.086200
dgram,16000,500,32,9,syssq,8270548,8284525,1336149,1310460,0.086200
dgram,16000,500,32,9,gessq,8270548,8284525,1336149,1310460,0.086200
dgram,16000,500,32,9,gram,8270548,8284525,1336149,1310460,0.086200
dgram,16000,500,32,9,plssq,8270548,8284525,1336149,1310460,0.086200
dgram,16000,500,32,9,plssq2,8270548,8284525,1336149,1310460,0.086200
dgram,16000,500,32,10,laset,8397012,8413126,1356988,1394519,0.103600
dgram,16000,500,32,10,syssq,8397012,8413126,1356988,1394519,0.103600
dgram,16000,500,32,10,gessq,8397012,8413126,1356988,1394519,0.103600
dgram,16000,500,32,10,gram,8397012,8413126,1356988,1394519,0.103600
dgram,16000,500,32,10,plssq,8397012,8413126,1356988,1394519,0.103600
dgram,16000,500,32,10,plssq2,8397012,8413126,1356988,1394519,0.103600
dgram,16000,500,32,11,laset,7864299,7674785,1228115,1352657,0.089500
dgram,16000,500,32,11,syssq,7864299,7674785,1228115,1352657,0.089500
dgram,16000,500,32,11,gessq,7864299,7674785,1228115,1352657,0.089500
dgram,16000,500,32,11,gram,7864299,7674785,1228115,1352657,0.089500
dgram,16000,500,32,11,plssq,7864299,7674785,1228115,1352657,0.089500
dgram,16000,500,32,11,plssq2,7864299,7674785,1228115,1352657,0.089500
dgram,16000,500,32,12,laset,8396829,8266398,1301342,1431514,0.101300
dgram,16000,500,32,12,syssq,8396829,8266398,1301342,1431514,0.101300
dgram,16000,500,32,12,gessq,8396829,8266398,1301342,1431514,0.101300
dgram,16000,500,32,12,gram,8396829,8266398,1301342,1431514,0.101300
dgram,16000,500,32,12,plssq,8396829,8266398,1301342,1431514,0.101300
dgram,16000,500,32,12,plssq2,8396829,8266398,1301342,1431514,0.101300
dgram,16000,500,32,13,laset,8436380,8278910,1444274,1635631,0.116600
dgram,16000,500,32,13,syssq,8436380,8278910,1444274,1635631,0.116600
dgram,16000,500,32,13,gessq,8436380,8278910,1444274,1635631,0.116600
dgram,16000,500,32,13,gram,8436380,8278910,1444274,1635631,0.116600
dgram,16000,500,32,13,plssq,8436380,8278910,1444274,1635631,0.116600
dgram,16000,500,32,13,plssq2,8436380,8278910,1444274,1635631,0.116600
dgram,16000,500,32,14,laset,7752788,7442730,1474492,1585447,0.116600
dgram,16000,500,32,14,syssq,7752788,7442730,1474492,1585447,0.116600
dgram,16000,500,32,14,gessq,7752788,7442730,1474492,1585447,0.116600
dgram,16000,500,32,14,gram,7752788,7442730,1474492,1585447,0.116600
dgram,16000,500,32,14,plssq,7752788,7442730,1474492,1585447,0.116600
dgram,16000,500,32,14,plssq2,7752788,7442730,1474492,1585447,0.116600
dgram,16000,500,32,15,laset,7777934,7520428,1437603,1496937,0.103800
dgram,16000,500,32,15,syssq,7777934,7520428,1437603,1496937,0.103800
dgram,16000,500,32,15,gessq,7777934,7520428,1437603,1496937,0.103800
dgram,16000,500,32,15,gram,7777934,7520428,1437603,1496937,0.103800
dgram,16000,500,32,15,plssq,7777934,7520428,1437603,1496937,0.103800
dgram,16000,500,32,15,plssq2,7777934,7520428,1437603,1496937,0.103800
