algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dlauum,lauum,8192,320,23068672,1200000,26,287192,52306698,4627817,19496684,28085,
dlauum,syrk,8192,320,23068672,1200000,325,4829773,1436623218,141000405,508236215,175610,
dlauum,trmm,8192,320,23068672,1200000,325,2931288,1271237287,118731244,443000481,218336,
dlauum,gemm,8192,320,23068672,1200000,2600,43848910,19252101327,1363166928,6246941555,1496107,
dlauum,lauum,8192,320,23068672,2801000,26,276839,52306597,7832058,22985106,29003,
dlauum,syrk,8192,320,23068672,2801000,325,4808250,1436622101,243534464,611472070,178398,
dlauum,trmm,8192,320,23068672,2801000,325,2817902,1271237321,188209212,513593359,220342,
dlauum,gemm,8192,320,23068672,2801000,2600,42025910,19252100953,2200211353,7084355694,1403095,
dlauum,lauum,8192,640,23068672,1200000,13,716472,158678375,14264210,56388005,40193,
dlauum,syrk,8192,640,23068672,1200000,78,5168397,2494642286,201526846,835983170,246771,
dlauum,trmm,8192,640,23068672,1200000,78,6699592,2269897790,167059780,743103680,173583,
dlauum,gemm,8192,640,23068672,1200000,286,32148457,16449499604,979825407,5142244796,1053544,
dlauum,lauum,8192,640,23068672,2801000,13,702007,158678331,24314199,66682578,41242,
dlauum,syrk,8192,640,23068672,2801000,78,5132113,2494641393,330175339,966262309,251143,
dlauum,trmm,8192,640,23068672,2801000,78,6751288,2269896323,270624236,848434718,176271,
dlauum,gemm,8192,640,23068672,2801000,286,31585421,16449498855,1525747828,5698776058,1077933,
dlauum,lauum,8192,960,23068672,1200000,9,1102242,318896673,24871510,108050985,58704,
dlauum,syrk,8192,960,23068672,1200000,36,6151585,3455668581,231800077,1105732933,160424,
dlauum,trmm,8192,960,23068672,1200000,36,8066787,3089134389,187881205,968886817,146004,
dlauum,gemm,8192,960,23068672,1200000,84,21543652,14262003977,715482022,4308320067,160013,
dlauum,lauum,8192,960,23068672,2801000,9,1073989,318896633,40488703,123930681,57334,
dlauum,syrk,8192,960,23068672,2801000,36,6089169,3455668597,365357851,1241333676,160517,
dlauum,trmm,8192,960,23068672,2801000,36,7923591,3089134123,283963228,1066614651,145062,
dlauum,gemm,8192,960,23068672,2801000,84,20877068,14262003519,1015001731,4610574322,156158,
dlauum,lauum,8192,1280,23068672,1200000,7,1514226,533574417,42792896,180708538,83044,
dlauum,syrk,8192,1280,23068672,1200000,21,8079096,4333383397,291293857,1388163141,154933,
dlauum,trmm,8192,1280,23068672,1200000,21,10572664,3826269937,230091224,1198596165,183142,
dlauum,gemm,8192,1280,23068672,1200000,35,23377824,12338181511,629536500,3742027064,116923,
dlauum,lauum,8192,1280,23068672,2801000,7,1485534,533574360,69924498,208257676,81693,
dlauum,syrk,8192,1280,23068672,2801000,21,7521008,4333383346,442435705,1542394782,152414,
dlauum,trmm,8192,1280,23068672,2801000,21,10269331,3826269796,371475200,1344448667,200553,
dlauum,gemm,8192,1280,23068672,2801000,35,22270280,12338180994,899327802,4018909013,115745,
dlauum,lauum,12288,320,23068672,1200000,39,447422,78779368,6891837,29238797,43612,
dlauum,syrk,12288,320,23068672,1200000,741,11856139,3275500113,323453574,1160354327,391898,
dlauum,trmm,12288,320,23068672,1200000,741,7860973,2916446636,273923297,1017571972,498388,
dlauum,gemm,12288,320,23068672,1200000,9139,170061227,67671136735,4821429974,21987402374,5352222,
dlauum,lauum,12288,320,23068672,2801000,39,437445,78778627,12333217,35140484,41841,
dlauum,syrk,12288,320,23068672,2801000,741,11724823,3275495583,583096625,1421886732,405560,
dlauum,trmm,12288,320,23068672,2801000,741,7877601,2916443662,455189766,1201354954,500449,
dlauum,gemm,12288,320,23068672,2801000,9139,167603887,67671117113,8227279388,25397818670,5303543,
dlauum,lauum,12288,640,23068672,1200000,20,1139719,240511867,21130112,84761263,60053,
dlauum,syrk,12288,640,23068672,1200000,190,12651309,5768119426,463504676,1929623412,615808,
dlauum,trmm,12288,640,23068672,1200000,190,19432678,5287502394,389916468,1732203313,378008,
dlauum,gemm,12288,640,23068672,1200000,1140,130866551,60493696954,3658819099,18990406493,4784712,
dlauum,lauum,12288,640,23068672,2801000,20,1146583,240511737,37478395,101537784,61165,
