algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dlauum,8192,320,32,1,lauum,40541156,38773582,6171760,3345789,0.324800
dlauum,8192,320,32,1,syrk,40541156,38773582,6171760,3345789,0.324800
dlauum,8192,320,32,1,trmm,40541156,38773582,6171760,3345789,0.324800
dlauum,8192,320,32,1,gemm,40541156,38773582,6171760,3345789,0.324800
dlauum,8192,320,32,1,laset,40541156,38773582,6171760,3345789,0.324800
dlauum,8192,320,32,1,zasum,40541156,38773582,6171760,3345789,0.324800
dlauum,8192,320,32,1,gessq,40541156,38773582,6171760,3345789,0.324800
dlauum,8192,320,32,1,lacpy,40541156,38773582,6171760,3345789,0.324800
dlauum,8192,320,32,1,lascal,40541156,38773582,6171760,3345789,0.324800
dlauum,8192,320,32,1,gemv,40541156,38773582,6171760,3345789,0.324800
dlauum,8192,320,32,1,plssq2,40541156,38773582,6171760,3345789,0.324800
dlauum,8192,320,32,2,lauum,40910235,39351217,6149819,3407310,0.321800
dlauum,8192,320,32,2,syrk,40910235,39351217,6149819,3407310,0.321800
dlauum,8192,320,32,2,trmm,40910235,39351217,6149819,3407310,0.321800
dlauum,8192,320,32,2,gemm,40910235,39351217,6149819,3407310,0.321800
dlauum,8192,320,32,2,laset,40910235,39351217,6149819,3407310,0.321800
dlauum,8192,320,32,2,zasum,40910235,39351217,6149819,3407310,0.321800
dlauum,8192,320,32,2,gessq,40910235,39351217,6149819,3407310,0.321800
dlauum,8192,320,32,2,lacpy,40910235,39351217,6149819,3407310,0.321800
dlauum,8192,320,32,2,lascal,40910235,39351217,6149819,3407310,0.321800
dlauum,8192,320,32,2,gemv,40910235,39351217,6149819,3407310,0.321800
dlauum,8192,320,32,2,plssq2,40910235,39351217,6149819,3407310,0.321800
dlauum,8192,320,32,3,lauum,40406574,39005943,6352499,3417026,0.338900
dlauum,8192,320,32,3,syrk,40406574,39005943,6352499,3417026,0.338900
dlauum,8192,320,32,3,trmm,40406574,39005943,6352499,3417026,0.338900
dlauum,8192,320,32,3,gemm,40406574,39005943,6352499,3417026,0.338900
dlauum,8192,320,32,3,laset,40406574,39005943,6352499,3417026,0.338900
dlauum,8192,320,32,3,zasum,40406574,39005943,6352499,3417026,0.338900
dlauum,8192,320,32,3,gessq,40406574,39005943,6352499,3417026,0.338900
dlauum,8192,320,32,3,lacpy,40406574,39005943,6352499,3417026,0.338900
dlauum,8192,320,32,3,lascal,40406574,39005943,6352499,3417026,0.338900
dlauum,8192,320,32,3,gemv,40406574,39005943,6352499,3417026,0.338900
dlauum,8192,320,32,3,plssq2,40406574,39005943,6352499,3417026,0.338900
dlauum,8192,320,32,4,lauum,41549881,39756185,6512950,3601482,0.338200
dlauum,8192,320,32,4,syrk,41549881,39756185,6512950,3601482,0.338200
dlauum,8192,320,32,4,trmm,41549881,39756185,6512950,3601482,0.338200
dlauum,8192,320,32,4,gemm,41549881,39756185,6512950,3601482,0.338200
dlauum,8192,320,32,4,laset,41549881,39756185,6512950,3601482,0.338200
dlauum,8192,320,32,4,zasum,41549881,39756185,6512950,3601482,0.338200
dlauum,8192,320,32,4,gessq,41549881,39756185,6512950,3601482,0.338200
dlauum,8192,320,32,4,lacpy,41549881,39756185,6512950,3601482,0.338200
dlauum,8192,320,32,4,lascal,41549881,39756185,6512950,3601482,0.338200
dlauum,8192,320,32,4,gemv,41549881,39756185,6512950,3601482,0.338200
dlauum,8192,320,32,4,plssq2,41549881,39756185,6512950,3601482,0.338200
dlauum,8192,320,32,5,lauum,39854329,37925989,6214279,3358533,0.323600
dlauum,8192,320,32,5,syrk,39854329,37925989,6214279,3358533,0.323600
dlauum,8192,320,32,5,trmm,39854329,37925989,6214279,3358533,0.323600
dlauum,8192,320,32,5,gemm,39854329,37925989,6214279,3358533,0.323600
dlauum,8192,320,32,5,laset,39854329,37925989,6214279,3358533,0.323600
dlauum,8192,320,32,5,zasum,39854329,37925989,6214279,3358533,0.323600
dlauum,8192,320,32,5,gessq,39854329,37925989,6214279,3358533,0.323600
dlauum,8192,320,32,5,lacpy,39854329,37925989,6214279,3358533,0.323600
dlauum,8192,320,32,5,lascal,39854329,37925989,6214279,3358533,0.323600
dlauum,8192,320,32,5,gemv,39854329,37925989,6214279,3358533,0.323600
dlauum,8192,320,32,5,plssq2,39854329,37925989,6214279,3358533,0.323600
dlauum,8192,320,32,6,lauum,38534631,37813868,6052221,3526742,0.323800
dlauum,8192,320,32,6,syrk,38534631,37813868,6052221,3526742,0.323800
dlauum,8192,320,32,6,trmm,38534631,37813868,6052221,3526742,0.323800
dlauum,8192,320,32,6,gemm,38534631,37813868,6052221,3526742,0.323800
dlauum,8192,320,32,6,laset,38534631,37813868,6052221,3526742,0.323800
dlauum,8192,320,32,6,zasum,38534631,37813868,6052221,3526742,0.323800
dlauum,8192,320,32,6,gessq,38534631,37813868,6052221,3526742,0.323800
dlauum,8192,320,32,6,lacpy,38534631,37813868,6052221,3526742,0.323800
dlauum,8192,320,32,6,lascal,38534631,37813868,6052221,3526742,0.323800
dlauum,8192,320,32,6,gemv,38534631,37813868,6052221,3526742,0.323800
dlauum,8192,320,32,6,plssq2,38534631,37813868,6052221,3526742,0.323800
dlauum,8192,320,32,7,lauum,39228904,37700709,6202803,3758460,0.326200
dlauum,8192,320,32,7,syrk,39228904,37700709,6202803,3758460,0.326200
dlauum,8192,320,32,7,trmm,39228904,37700709,6202803,3758460,0.326200
dlauum,8192,320,32,7,gemm,39228904,37700709,6202803,3758460,0.326200
dlauum,8192,320,32,7,laset,39228904,37700709,6202803,3758460,0.326200
dlauum,8192,320,32,7,zasum,39228904,37700709,6202803,3758460,0.326200
dlauum,8192,320,32,7,gessq,39228904,37700709,6202803,3758460,0.326200
dlauum,8192,320,32,7,lacpy,39228904,37700709,6202803,3758460,0.326200
dlauum,8192,320,32,7,lascal,39228904,37700709,6202803,3758460,0.326200
dlauum,8192,320,32,7,gemv,39228904,37700709,6202803,3758460,0.326200
dlauum,8192,320,32,7,plssq2,39228904,37700709,6202803,3758460,0.326200
dlauum,8192,320,32,8,lauum,39495504,38752708,6457304,3578379,0.336500
dlauum,8192,320,32,8,syrk,39495504,38752708,6457304,3578379,0.336500
dlauum,8192,320,32,8,trmm,39495504,38752708,6457304,3578379,0.336500
dlauum,8192,320,32,8,gemm,39495504,38752708,6457304,3578379,0.336500
dlauum,8192,320,32,8,laset,39495504,38752708,6457304,3578379,0.336500
dlauum,8192,320,32,8,zasum,39495504,38752708,6457304,3578379,0.336500
dlauum,8192,320,32,8,gessq,39495504,38752708,6457304,3578379,0.336500
dlauum,8192,320,32,8,lacpy,39495504,38752708,6457304,3578379,0.336500
dlauum,8192,320,32,8,lascal,39495504,38752708,6457304,3578379,0.336500
dlauum,8192,320,32,8,gemv,39495504,38752708,6457304,3578379,0.336500
dlauum,8192,320,32,8,plssq2,39495504,38752708,6457304,3578379,0.336500
dlauum,8192,320,32,9,lauum,31832438,29279893,6462720,3293402,0.341400
dlauum,8192,320,32,9,syrk,31832438,29279893,6462720,3293402,0.341400
dlauum,8192,320,32,9,trmm,31832438,29279893,6462720,3293402,0.341400
dlauum,8192,320,32,9,gemm,31832438,29279893,6462720,3293402,0.341400
dlauum,8192,320,32,9,laset,31832438,29279893,6462720,3293402,0.341400
dlauum,8192,320,32,9,zasum,31832438,29279893,6462720,3293402,0.341400
dlauum,8192,320,32,9,gessq,31832438,29279893,6462720,3293402,0.341400
dlauum,8192,320,32,9,lacpy,31832438,29279893,6462720,3293402,0.341400
dlauum,8192,320,32,9,lascal,31832438,29279893,6462720,3293402,0.341400
dlauum,8192,320,32,9,gemv,31832438,29279893,6462720,3293402,0.341400
dlauum,8192,320,32,9,plssq2,31832438,29279893,6462720,3293402,0.341400
dlauum,8192,320,32,10,lauum,33049415,29571153,6718628,2790827,0.353900
dlauum,8192,320,32,10,syrk,33049415,29571153,6718628,2790827,0.353900
dlauum,8192,320,32,10,trmm,33049415,29571153,6718628,2790827,0.353900
dlauum,8192,320,32,10,gemm,33049415,29571153,6718628,2790827,0.353900
dlauum,8192,320,32,10,laset,33049415,29571153,6718628,2790827,0.353900
dlauum,8192,320,32,10,zasum,33049415,29571153,6718628,2790827,0.353900
dlauum,8192,320,32,10,gessq,33049415,29571153,6718628,2790827,0.353900
dlauum,8192,320,32,10,lacpy,33049415,29571153,6718628,2790827,0.353900
dlauum,8192,320,32,10,lascal,33049415,29571153,6718628,2790827,0.353900
dlauum,8192,320,32,10,gemv,33049415,29571153,6718628,2790827,0.353900
dlauum,8192,320,32,10,plssq2,33049415,29571153,6718628,2790827,0.353900
dlauum,8192,320,32,11,lauum,30208724,27818594,6085285,3344794,0.329200
