algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dpoinv,potrf,8000,500,23068672,1200000,16,479656,249887458,16229567,106417615,122117,
dpoinv,trsm,8000,500,23068672,1200000,360,20697548,12654869392,1933843414,6169068593,3940127,
dpoinv,syrk,8000,500,23068672,1200000,240,11170811,3941299459,301735727,1316758280,548783,
dpoinv,gemm,8000,500,23068672,1200000,1680,166348759,48921358595,2783538786,15198112394,1143937,
dpoinv,trtri,8000,500,23068672,1200000,16,521547,294778950,47240476,143678223,171500,
dpoinv,lauum,8000,500,23068672,1200000,16,243474,105540266,10065619,39006611,62072,
dpoinv,trmm,8000,500,23068672,1200000,120,5794348,1809577679,128322735,588128641,197056,
dpoinv,potrf,8000,500,23068672,2801000,16,472467,249887337,21361225,111729220,120722,
dpoinv,trsm,8000,500,23068672,2801000,360,20555253,12654867838,2219864775,6443180675,3310158,
dpoinv,syrk,8000,500,23068672,2801000,240,10951068,3941294866,436015834,1452579006,548935,
dpoinv,gemm,8000,500,23068672,2801000,1680,158076983,48921356136,3989039252,16408155250,1121418,
dpoinv,trtri,8000,500,23068672,2801000,16,503577,294778757,53363160,150904151,209714,
dpoinv,lauum,8000,500,23068672,2801000,16,242912,105540182,17317451,46606117,61468,
dpoinv,trmm,8000,500,23068672,2801000,120,5692423,1809577211,208249911,670216230,196049,
dpoinv,potrf,8000,600,23068672,1200000,14,597268,321782093,21783466,135309132,110835,
dpoinv,trsm,8000,600,23068672,1200000,273,20929137,13371972705,1911530614,6300866527,3225136,
dpoinv,syrk,8000,600,23068672,1200000,182,11306573,4463906454,277069138,1420615493,576537,
dpoinv,gemm,8000,600,23068672,1200000,1092,150529307,46612594735,2497625657,14338659451,4143325,
dpoinv,trtri,8000,600,23068672,1200000,14,742995,343947259,56907707,167145839,206233,
dpoinv,lauum,8000,600,23068672,1200000,14,268158,139406322,14491204,51904333,65040,
dpoinv,trmm,8000,600,23068672,1200000,91,6142582,2031164107,136062281,650648998,159854,
dpoinv,potrf,8000,600,23068672,2801000,14,560364,321781415,27550525,141300210,108761,
dpoinv,trsm,8000,600,23068672,2801000,273,20685404,13371972477,2212072570,6598126648,3239741,
dpoinv,syrk,8000,600,23068672,2801000,182,11147629,4463905186,394992635,1540295187,581229,
